brewery_id,original_index,unique_index,count
408,0,0,1
177,1,1,14
177,2,1,14
177,3,1,14
177,4,1,14
177,5,1,14
177,6,1,14
177,7,1,14
177,8,1,14
177,9,1,14
177,10,1,14
177,11,1,14
177,12,1,14
177,13,1,14
177,14,1,14
154,15,2,4
154,16,2,4
154,17,2,4
154,18,2,4
368,19,3,20
368,20,3,20
368,21,3,20
368,22,3,20
368,23,3,20
368,24,3,20
368,25,3,20
368,26,3,20
368,27,3,20
368,28,3,20
368,29,3,20
368,30,3,20
368,31,3,20
368,32,3,20
368,33,3,20
368,34,3,20
368,35,3,20
368,36,3,20
368,37,3,20
368,38,3,20
67,39,4,3
67,40,4,3
67,41,4,3
60,42,5,8
60,43,5,8
60,44,5,8
60,45,5,8
60,46,5,8
60,47,5,8
60,48,5,8
60,49,5,8
27,50,6,7
27,51,6,7
27,52,6,7
27,53,6,7
27,54,6,7
27,55,6,7
27,56,6,7
481,57,7,4
481,58,7,4
481,59,7,4
481,60,7,4
373,61,8,1
462,62,9,2
462,63,9,2
533,64,10,3
533,65,10,3
533,66,10,3
62,67,11,2
62,68,11,2
1,69,12,13
1,70,12,13
1,71,12,13
1,72,12,13
1,73,12,13
1,74,12,13
1,75,12,13
1,76,12,13
1,77,12,13
1,78,12,13
1,79,12,13
1,80,12,13
1,81,12,13
367,82,13,3
367,83,13,3
367,84,13,3
117,85,14,3
117,86,14,3
117,87,14,3
270,88,15,2
270,89,15,2
73,90,16,1
388,91,17,2
388,92,17,2
401,93,18,3
401,94,18,3
401,95,18,3
35,96,19,5
35,97,19,5
35,98,19,5
35,99,19,5
35,100,19,5
171,101,20,18
171,102,20,18
171,103,20,18
171,104,20,18
171,105,20,18
171,106,20,18
171,107,20,18
171,108,20,18
171,109,20,18
171,110,20,18
171,111,20,18
171,112,20,18
171,113,20,18
171,114,20,18
171,115,20,18
171,116,20,18
171,117,20,18
171,118,20,18
146,119,21,1
542,120,22,2
542,121,22,2
434,122,23,3
434,123,23,3
434,124,23,3
193,125,24,3
193,126,24,3
193,127,24,3
69,128,25,3
69,129,25,3
69,130,25,3
541,131,26,2
541,132,26,2
513,133,27,1
426,134,28,2
426,135,28,2
461,136,29,1
429,137,30,1
528,138,31,3
528,139,31,3
528,140,31,3
353,141,32,3
353,142,32,3
353,143,32,3
523,144,33,2
523,145,33,2
374,146,34,4
374,147,34,4
374,148,34,4
374,149,34,4
72,150,35,6
72,151,35,6
72,152,35,6
72,153,35,6
72,154,35,6
72,155,35,6
413,156,36,5
413,157,36,5
413,158,36,5
413,159,36,5
413,160,36,5
37,161,37,6
37,162,37,6
37,163,37,6
37,164,37,6
37,165,37,6
37,166,37,6
360,167,38,6
360,168,38,6
360,169,38,6
360,170,38,6
360,171,38,6
360,172,38,6
