city,original_index,unique_index,count
Bend,0,0,11
Gary,1,1,14
Gary,2,1,14
Gary,3,1,14
Gary,4,1,14
Gary,5,1,14
Gary,6,1,14
Gary,7,1,14
Gary,8,1,14
Gary,9,1,14
Gary,10,1,14
Gary,11,1,14
Gary,12,1,14
Gary,13,1,14
Gary,14,1,14
Corvallis,15,2,4
Corvallis,16,2,4
Corvallis,17,2,4
Corvallis,18,2,4
San Francisco,19,3,31
San Francisco CA,20,4,1
San Francisco,21,3,31
San Francisco,22,3,31
San Francisco,23,3,31
San Francisco,24,3,31
San Francisco,25,3,31
San Francisco,26,3,31
San Francisco,27,3,31
San Francisco,28,3,31
San Francisco,29,3,31
San Francisco,30,3,31
San Francisco,31,3,31
San Francisco,32,3,31
San Francisco,33,3,31
San Francisco,34,3,31
San Francisco,35,3,31
San Francisco,36,3,31
San Francisco,37,3,31
San Francisco,38,3,31
St Petersburg,39,5,3
St Petersburg,40,5,3
St Petersburg,41,5,3
Saint Louis,42,6,18
Saint Louis,43,6,18
Saint Louis,44,6,18
Saint Louis,45,6,18
Saint Louis,46,6,18
Saint Louis MO,47,7,1
Saint Louis,48,6,18
Saint Louis,49,6,18
Columbus,50,8,17
Columbus,51,8,17
Columbus,52,8,17
Columbus,53,8,17
Columbus,54,8,17
Columbus,55,8,17
Columbus,56,8,17
Gig Harbor,57,9,4
Gig Harbor,58,9,4
Gig Harbor,59,9,4
Gig Harbor,60,9,4
Dunedin,61,10,1
Golden,62,11,2
Golden,63,11,2
Abita Springs,64,12,3
Abita Springs,65,12,3
Abita Springs,66,12,3
Louisville,67,13,15
Louisville,68,13,15
Louisville,69,13,15
Louisville,70,13,15
Louisville,71,13,15
Louisville,72,13,15
Louisville,73,13,15
Louisville,74,13,15
Louisville,75,13,15
Louisville,76,13,15
Louisville,77,13,15
Louisville,78,13,15
Louisville,79,13,15
Louisville,80,13,15
Louisville,81,13,15
Kent,82,14,3
Kent,83,14,3
Kent,84,14,3
Portland,85,15,57
Portland,86,15,57
Portland,87,15,57
Juneau,88,16,2
Juneau,89,16,2
Madison WI,90,17,1
Lexington,91,18,8
Lexington,92,18,8
Washougal,93,19,3
Washougal,94,19,3
Washougal,95,19,3
San Francisco,96,3,31
San Francisco,97,3,31
San Francisco,98,3,31
San Francisco,99,3,31
San Francisco,100,3,31
Boonville,101,20,18
Boonville,102,20,18
Boonville,103,20,18
Boonville,104,20,18
Boonville,105,20,18
Boonville,106,20,18
Boonville,107,20,18
Boonville,108,20,18
Boonville,109,20,18
Boonville,110,20,18
Boonville,111,20,18
Boonville,112,20,18
Boonville,113,20,18
Boonville,114,20,18
Boonville,115,20,18
Boonville,116,20,18
Boonville,117,20,18
Boonville,118,20,18
Hayward,119,21,2
Hayward,120,21,2
Hayward WI,121,22,1
Cincinnati,122,23,19
Cincinnati,123,23,19
Cincinnati,124,23,19
Oklahoma City,125,24,8
Oklahoma City,126,24,8
Oklahoma City,127,24,8
Boone,128,25,3
Boone,129,25,3
Boone,130,25,3
Battle Creek,131,26,2
Battle Creek,132,26,2
Colorado Springs,133,27,1
Denton TX,134,28,1
Denton,135,29,1
South San Francisco,136,30,1
Boulder,137,31,38
Asheville,138,32,5
Asheville NC,139,33,1
Asheville,140,32,5
Bellingham,141,34,4
Bellingham,142,34,4
Bellingham,143,34,4
Aspen,144,35,2
Aspen,145,35,2
Astoria,146,36,16
Astoria,147,36,16
Astoria,148,36,16
Astoria,149,36,16
Detroit,150,37,5
Detroit,151,37,5
Detroit,152,37,5
Detroit,153,37,5
Detroit,154,37,5
Detroit MI,155,38,1
Austin,156,39,25
Austin,157,39,25
Austin,158,39,25
Austin,159,39,25
Austin,160,39,25
Boulder,161,31,38
Boulder,162,31,38
Boulder,163,31,38
Boulder,164,31,38
Boulder,165,31,38
Boulder,166,31,38
Fuquay-Varina,167,40,6
Fuquay-Varina,168,40,6
Fuquay-Varina,169,40,6
Fuquay-Varina,170,40,6
Fuquay-Varina,171,40,6
Fuquay-Varina,172,40,6
Bloomfield,173,41,6
Bloomfield,174,41,6
Bloomfield,175,41,6
Bloomfield,176,41,6
Bloomfield,177,41,6
Gadsden,178,42,2
Gadsden,179,42,2
Yakima,180,43,2
Yakima,181,43,2
San Diego,182,44,39
San Diego CA,183,45,3
San Diego,184,44,39
San Diego,185,44,39
San Diego,186,44,39
San Diego,187,44,39
Williamsburg,188,46,3
Williamsburg,189,46,3
Williamsburg,190,46,3
Granger,191,47,1
Tucson,192,48,3
Tucson,193,48,3
Portland,194,15,57
Portland,195,15,57
Portland,196,15,57
Portland,197,15,57
Portland,198,15,57
Minneapolis,199,49,16
Minneapolis,200,49,16
Minneapolis,201,49,16
Minneapolis,202,49,16
Lewiston,203,50,9
Lewiston,204,50,9
Lewiston,205,50,9
Lewiston,206,50,9
Lewiston,207,50,9
Lewiston,208,50,9
Lewiston,209,50,9
Lewiston,210,50,9
Lewiston,211,50,9
Virginia Beach,212,51,1
Lowell,213,52,4
Lowell,214,52,4
Lowell,215,52,4
Lowell,216,52,4
Kalamazoo,217,53,7
Kalamazoo,218,53,7
Kalamazoo,219,53,7
Kalamazoo,220,53,7
Kalamazoo,221,53,7
Kalamazoo,222,53,7
Roseville,223,54,3
Roseville,224,54,3
Roseville,225,54,3
Duluth,226,55,5
Duluth,227,55,5
Duluth,228,55,5
Duluth,229,55,5
Duluth MN,230,56,1
Duluth,231,55,5
South Deerfield,232,57,2
South Deerfield,233,57,2
Alpine,234,58,5
Alpine,235,58,5
Alpine,236,58,5
Alpine,237,58,5
Alpine,238,58,5
Broomfield,239,59,4
Broomfield,240,59,4
Broomfield,241,59,4
Broomfield,242,59,4
Sheffield,243,60,3
Sheffield,244,60,3
Sheffield,245,60,3
Holland,246,61,2
Holland,247,61,2
Murphysboro,248,62,2
Murphysboro,249,62,2
Chattanooga,250,63,2
Chattanooga,251,63,2
Missoula,252,64,18
Missoula,253,64,18
Missoula,254,64,18
Missoula,255,64,18
Missoula,256,64,18
Missoula,257,64,18
Missoula,258,64,18
Missoula,259,64,18
Missoula,260,64,18
Missoula,261,64,18
Missoula,262,64,18
Missoula,263,64,18
Odessa,264,65,2
Odessa,265,65,2
Vadnais Heights,266,66,5
Vadnais Heights,267,66,5
Vadnais Heights,268,66,5
Vadnais Heights,269,66,5
Vadnais Heights,270,66,5
Charlotte,271,67,7
Hamilton,272,68,3
Hamilton,273,68,3
Hamilton,274,68,3
Indianapolis,275,69,39
Temecula,276,70,5
Temecula,277,70,5
Temecula,278,70,5
Temecula,279,70,5
Denver,280,71,37
Denver,281,71,37
Denver,282,71,37
Denver,283,71,37
Sheridan,284,72,6
Sheridan,285,72,6
Marquette,286,73,7
Marquette,287,73,7
Marquette,288,73,7
Marquette,289,73,7
Marquette,290,73,7
Marquette,291,73,7
Marquette,292,73,7
Lincoln,293,74,15
Lincoln,294,74,15
Lincoln,295,74,15
Lincoln,296,74,15
Lincoln,297,74,15
Lincoln,298,74,15
Lincoln,299,74,15
Lincoln,300,74,15
Lincoln,301,74,15
