ibu,original_index,unique_index,count
,0,0,
,1,0,
,2,0,
,3,0,
,4,0,
,5,0,
,6,0,
,7,0,
,8,0,
,9,0,
,10,0,
,11,0,
,12,0,
,13,0,
60.0,14,1,44.0
,15,0,
,16,0,
,17,0,
,18,0,
,19,0,
,20,0,
92.0,21,2,3.0
45.0,22,3,39.0
,23,0,
42.0,24,4,25.0
17.0,25,5,25.0
17.0,26,5,25.0
17.0,27,5,25.0
70.0,28,6,48.0
70.0,29,6,48.0
70.0,30,6,48.0
52.0,31,7,9.0
94.0,32,8,5.0
42.0,33,4,25.0
45.0,34,3,39.0
65.0,35,9,54.0
35.0,36,10,60.0
65.0,37,9,54.0
17.0,38,5,25.0
82.0,39,11,5.0
,40,0,
,41,0,
11.0,42,12,15.0
18.0,43,13,46.0
,44,0,
,45,0,
,46,0,
,47,0,
,48,0,
28.0,49,14,25.0
,50,0,
45.0,51,3,39.0
,52,0,
65.0,53,9,54.0
50.0,54,15,23.0
15.0,55,16,40.0
18.0,56,13,46.0
75.0,57,17,31.0
30.0,58,18,53.0
30.0,59,18,53.0
82.0,60,11,5.0
,61,0,
26.0,62,19,15.0
26.0,63,19,15.0
52.0,64,7,9.0
13.0,65,20,12.0
17.0,66,5,25.0
68.0,67,21,10.0
20.0,68,22,82.0
68.0,69,21,10.0
80.0,70,23,21.0
25.0,71,24,45.0
42.0,72,4,25.0
25.0,73,24,45.0
21.0,74,25,22.0
13.0,75,20,12.0
17.0,76,5,25.0
68.0,77,21,10.0
38.0,78,26,8.0
,79,0,
65.0,80,9,54.0
20.0,81,22,82.0
35.0,82,10,60.0
35.0,83,10,60.0
33.0,84,27,13.0
20.0,85,22,82.0
36.0,86,28,15.0
103.0,87,29,3.0
40.0,88,30,41.0
18.0,89,13,46.0
,90,0,
,91,0,
,92,0,
,93,0,
,94,0,
43.0,95,31,7.0
,96,0,
,97,0,
,98,0,
,99,0,
,100,0,
,101,0,
,102,0,
,103,0,
,104,0,
13.0,105,20,12.0
4.0,106,32,3.0
80.0,107,23,21.0
15.0,108,16,40.0
13.0,109,20,12.0
25.0,110,24,45.0
15.0,111,16,40.0
4.0,112,32,3.0
13.0,113,20,12.0
6.0,114,33,3.0
80.0,115,23,21.0
15.0,116,16,40.0
4.0,117,32,3.0
28.0,118,14,25.0
,119,0,
,120,0,
,121,0,
,122,0,
,123,0,
,124,0,
,125,0,
,126,0,
,127,0,
75.0,128,17,31.0
19.0,129,34,11.0
23.0,130,35,26.0
55.0,131,36,31.0
17.0,132,5,25.0
,133,0,
50.0,134,15,23.0
20.0,135,22,82.0
10.0,136,37,18.0
45.0,137,3,39.0
27.0,138,38,20.0
26.0,139,19,15.0
69.0,140,39,13.0
,141,0,
,142,0,
,143,0,
27.0,144,38,20.0
67.0,145,40,3.0
40.0,146,30,41.0
138.0,147,41,1.0
35.0,148,10,60.0
35.0,149,10,60.0
115.0,150,42,5.0
12.0,151,43,16.0
,152,0,
8.0,153,44,9.0
62.0,154,45,7.0
12.0,155,43,16.0
,156,0,
,157,0,
,158,0,
,159,0,
,160,0,
,161,0,
,162,0,
42.0,163,4,25.0
10.0,164,37,18.0
69.0,165,39,13.0
17.0,166,5,25.0
17.0,167,5,25.0
22.0,168,46,35.0
23.0,169,35,26.0
,170,0,
5.0,171,47,5.0
41.0,172,48,3.0
,173,0,
,174,0,
,175,0,
,176,0,
,177,0,
,178,0,
43.0,179,31,7.0
70.0,180,6,48.0
38.0,181,26,8.0
,182,0,
40.0,183,30,41.0
23.0,184,35,26.0
75.0,185,17,31.0
,186,0,
70.0,187,6,48.0
,188,0,
20.0,189,22,82.0
45.0,190,3,39.0
46.0,191,49,6.0
60.0,192,1,44.0
,193,0,
22.0,194,46,35.0
60.0,195,1,44.0
62.0,196,45,7.0
20.0,197,22,82.0
45.0,198,3,39.0
55.0,199,36,31.0
70.0,200,6,48.0
28.0,201,14,25.0
48.0,202,50,8.0
,203,0,
42.0,204,4,25.0
,205,0,
,206,0,
,207,0,
,208,0,
35.0,209,10,60.0
28.0,210,14,25.0
69.0,211,39,13.0
108.0,212,51,1.0
10.0,213,37,18.0
45.0,214,3,39.0
85.0,215,52,30.0
16.0,216,53,24.0
,217,0,
,218,0,
