brewery_name,city,original_index,unique_index,count
10 Barrel Brewing Company,Bend,0,0,1
18th Street Brewery,Gary,1,1,14
18th Street Brewery,Gary,2,1,14
18th Street Brewery,Gary,3,1,14
18th Street Brewery,Gary,4,1,14
18th Street Brewery,Gary,5,1,14
18th Street Brewery,Gary,6,1,14
18th Street Brewery,Gary,7,1,14
18th Street Brewery,Gary,8,1,14
18th Street Brewery,Gary,9,1,14
18th Street Brewery,Gary,10,1,14
18th Street Brewery,Gary,11,1,14
18th Street Brewery,Gary,12,1,14
18th Street Brewery,Gary,13,1,14
18th Street Brewery,Gary,14,1,14
2 Towns Ciderhouse,Corvallis,15,2,4
2 Towns Ciderhouse,Corvallis,16,2,4
2 Towns Ciderhouse,Corvallis,17,2,4
2 Towns Ciderhouse,Corvallis,18,2,4
21st Amendment Brewery,San Francisco,19,3,19
21st Amendment Brewery,San Francisco CA,20,4,1
21st Amendment Brewery,San Francisco,21,3,19
21st Amendment Brewery,San Francisco,22,3,19
21st Amendment Brewery,San Francisco,23,3,19
21st Amendment Brewery,San Francisco,24,3,19
21st Amendment Brewery,San Francisco,25,3,19
21st Amendment Brewery,San Francisco,26,3,19
21st Amendment Brewery,San Francisco,27,3,19
21st Amendment Brewery,San Francisco,28,3,19
21st Amendment Brewery,San Francisco,29,3,19
21st Amendment Brewery,San Francisco,30,3,19
21st Amendment Brewery,San Francisco,31,3,19
21st Amendment Brewery,San Francisco,32,3,19
21st Amendment Brewery,San Francisco,33,3,19
21st Amendment Brewery,San Francisco,34,3,19
21st Amendment Brewery,San Francisco,35,3,19
21st Amendment Brewery,San Francisco,36,3,19
21st Amendment Brewery,San Francisco,37,3,19
21st Amendment Brewery,San Francisco,38,3,19
3 Daughters Brewing,St Petersburg,39,5,3
3 Daughters Brewing,St Petersburg,40,5,3
3 Daughters Brewing,St Petersburg,41,5,3
4 Hands Brewing Company,Saint Louis,42,6,7
4 Hands Brewing Company,Saint Louis,43,6,7
4 Hands Brewing Company,Saint Louis,44,6,7
4 Hands Brewing Company,Saint Louis,45,6,7
