ounces,abv,original_index,unique_index,count
12.0 oz,0.05,0,0,28.0
12.0 oz.,0.066,1,1,2.0
12.0 ounce,0.071,2,2,4.0
12.0 oz,0.09%,3,3,1.0
12.0 OZ.,0.075,4,4,1.0
12.0 oz,0.077,5,5,2.0
12.0 oz.,0.045%,6,6,11.0
12.0 ounce,0.065,7,7,11.0
12.0 oz.,0.055,8,8,27.0
12.0 ounce,0.086,9,9,2.0
12.0 oz.,0.072,10,10,11.0
12.0 oz.,0.073,11,11,4.0
12.0 OZ.,0.069%,12,12,1.0
12.0 oz.,0.085,13,13,4.0
12.0 ounce,0.061%,14,14,2.0
12.0 ounce,0.06,15,15,13.0
12.0 oz.,0.06,16,16,31.0
12.0 oz. Alumi-Tek,0.06,17,17,3.0
12.0 ounce,0.06,18,15,13.0
12.0 oz.,0.082,19,18,3.0
12.0 oz.,0.082,20,18,3.0
8.4 ounce,0.099,21,19,1.0
12.0 OZ.,0.079,22,20,1.0
12.0 oz.,0.079,23,21,2.0
12.0 oz,0.044,24,22,5.0
12.0 ounce,0.049,25,23,5.0
12.0 oz.,0.049%,26,24,5.0
12.0 oz.,0.049,27,25,17.0
12.0 oz.,0.07,28,26,11.0
12.0 OZ.,0.07%,29,27,1.0
12.0 oz.,0.07%,30,28,3.0
12.0 oz.,0.085,31,13,4.0
12.0 oz.,0.097,32,29,1.0
12.0 oz,0.044,33,22,5.0
12.0 ounce,0.079%,34,30,1.0
12.0 ounce,0.068%,35,31,3.0
12.0 OZ.,0.083,36,32,1.0
12.0 oz.,0.07,37,26,11.0
12.0 oz.,0.049,38,25,17.0
12.0 ounce,0.07,39,33,15.0
12.0 oz.,0.05,40,34,32.0
12.0 oz.,0.059,41,35,6.0
12.0 oz,0.035,42,36,3.0
12.0 oz,0.045%,43,37,5.0
12.0 oz,0.055%,44,38,6.0
12.0 oz.,0.06,45,16,31.0
12.0 oz.,0.055%,46,39,16.0
12.0 oz,0.065,47,40,14.0
12.0 oz.,0.065,48,41,18.0
12.0 oz.,0.05,49,34,32.0
16.0 ounce,0.065,50,42,8.0
16.0 ounce,0.05,51,43,14.0
16.0 oz.,0.09,52,44,3.0
16.0 oz.,0.069,53,45,6.0
16.0 oz. Alumi-Tek,0.09%,54,46,1.0
16.0 ounce,0.046%,55,47,3.0
16.0 oz,0.052000000000000005%,56,48,2.0
16.0 oz,0.059,57,49,2.0
16.0 oz,0.054,58,50,4.0
16.0 ounce,0.054,59,51,4.0
16.0 oz.,0.084,60,52,2.0
12.0 oz.,0.038,61,53,1.0
12.0 oz,0.055,62,54,15.0
12.0 ounce,0.055,63,55,27.0
12.0 oz.,0.065,64,41,18.0
12.0 oz,0.042,65,56,4.0
12.0 oz.,0.045,66,57,15.0
16.0 ounce,0.082,67,58,2.0
16.0 ounce,0.05,68,43,14.0
16.0 ounce,0.08,69,59,3.0
16.0 oz.,0.125%,70,60,1.0
16.0 OZ.,0.077,71,61,1.0
16.0 oz.,0.042,72,62,4.0
16.0 oz,0.05,73,63,15.0
16.0 ounce,0.066,74,64,2.0
16.0 oz,0.04,75,65,1.0
16.0 oz.,0.055,76,66,13.0
16.0 ounce,0.076,77,67,1.0
16.0 OZ.,0.051%,78,68,1.0
16.0 ounce,0.065%,79,69,7.0
16.0 oz.,0.06,80,70,12.0
16.0 oz,0.05,81,63,15.0
16.0 ounce,0.053,82,71,4.0
16.0 OZ.,0.05,83,72,1.0
16.0 oz.,0.052,84,73,13.0
12.0 OZ.,0.04,85,74,2.0
12.0 oz. Alumi-Tek,0.053,86,75,4.0
12.0 oz,0.082,87,76,3.0
12.0 oz.,0.053,88,77,9.0
12.0 OZ.,0.053,89,78,2.0
12.0 OZ.,0.057,90,79,3.0
16.0 oz,0.043,91,80,1.0
16.0 OZ.,0.065,92,81,3.0
16.0 oz. Alumi-Tek,0.054,93,82,1.0
16.0 oz,0.062,94,83,1.0
16.0 ounce,0.062,95,84,4.0
12.0 oz. Alumi-Tek,0.059000000000000004%,96,85,1.0
12.0 ounce,0.065%,97,86,5.0
12.0 oz,0.045%,98,37,5.0
12.0 oz.,0.049,99,25,17.0
12.0 ounce,0.055999999999999994%,100,87,3.0
12.0 oz.,0.042,101,88,12.0
12.0 oz,0.042,102,56,4.0
12.0 oz.,0.048%,103,89,7.0
12.0 oz,0.06,104,90,10.0
12.0 ounce,0.057,105,91,9.0
12.0 ounce,0.056,106,92,10.0
12.0 oz,0.07,107,93,8.0
12.0 oz.,0.057999999999999996%,108,94,7.0
12.0 oz. Alumi-Tek,0.057,109,95,3.0
16.0 oz,0.055,110,96,11.0
12.0 oz.,0.057999999999999996%,111,94,7.0
12.0 oz,0.056,112,97,5.0
12.0 oz,0.057%,113,98,1.0
12.0 ounce,0.069%,114,99,1.0
12.0 ounce,0.07,115,33,15.0
12.0 ounce,0.058,116,100,6.0
12.0 oz.,0.056,117,101,14.0
12.0 oz.,0.055,118,8,27.0
16.0 ounce,0.06,119,102,7.0
16.0 oz,0.054000000000000006%,120,103,1.0
16.0 oz.,0.047%,121,104,4.0
16.0 oz.,0.05,122,105,17.0
16.0 oz.,0.05%,123,106,5.0
12.0 OZ.,0.05,124,107,11.0
12.0 oz.,0.068,125,108,9.0
12.0 ounce,0.06,126,15,13.0
12.0 OZ.,0.085%,127,109,1.0
16.0 oz.,0.071,128,110,1.0
16.0 oz. Alumi-Tek,0.047,129,111,1.0
16.0 ounce,0.06,130,102,7.0
12.0 oz. Silo Can,0.06%,131,112,1.0
12.0 oz.,0.062,132,113,14.0
12.0 oz,0.052,133,114,17.0
12.0 ounce,0.092,134,115,2.0
12.0 oz.,0.051%,135,116,5.0
16.0 oz,0.052,136,117,12.0
16.0 oz.,0.07,137,118,8.0
12.0 oz,0.032,138,119,1.0
12.0 oz,0.053,139,120,11.0
12.0 oz.,0.06,140,16,31.0
16.0 ounce,0.048,141,121,4.0
16.0 oz. Alumi-Tek,0.077,142,122,1.0
16.0 oz. Silo Can,0.077,143,123,1.0
12.0 oz.,0.056,144,101,14.0
12.0 oz,0.07%,145,124,6.0
12.0 oz.,0.057,146,125,9.0
12.0 oz.,0.08199999999999999%,147,126,1.0
12.0 ounce,0.062,148,127,7.0
12.0 OZ.,0.06,149,128,8.0
16.0 ounce,0.075,150,129,4.0
16.0 oz.,0.055%,151,130,8.0
16.0 oz,0.052,152,117,12.0
12.0 oz.,0.045,153,57,15.0
12.0 oz,0.05%,154,131,14.0
12.0 oz.,0.05,155,34,32.0
16.0 oz,0.07,156,132,4.0
12.0 OZ.,0.062%,157,133,1.0
12.0 oz,0.051,158,134,9.0
12.0 oz.,0.053,159,77,9.0
12.0 ounce,0.052,160,135,10.0
12.0 oz.,0.08%,161,136,3.0
12.0 oz.,0.064,162,137,2.0
12.0 oz.,0.047,163,138,15.0
12.0 oz.,0.056,164,101,14.0
12.0 oz,0.063,165,139,5.0
12.0 ounce,0.055,166,55,27.0
12.0 oz. Alumi-Tek,0.062,167,140,2.0
12.0 oz.,0.072,168,10,11.0
12.0 ounce,0.048%,169,141,5.0
12.0 oz.,0.067,170,142,4.0
12.0 oz.,0.092,171,143,4.0
12.0 ounce,0.061,172,144,4.0
12.0 ounce,0.086,173,9,2.0
12.0 oz.,0.06,174,16,31.0
12.0 OZ.,0.049%,175,145,3.0
12.0 oz.,0.07,176,26,11.0
12.0 ounce,0.05,177,146,25.0
12.0 ounce,0.06%,178,147,3.0
12.0 oz,0.06%,179,148,8.0
12.0 ounce,0.068,180,149,4.0
12.0 ounce,0.044000000000000004%,181,150,1.0
12.0 ounce,0.07%,182,151,3.0
12.0 ounce,0.038%,183,152,1.0
12.0 OZ.,0.052000000000000005%,184,153,1.0
12.0 OZ.,0.07,185,154,1.0
12.0 oz,0.046,186,155,4.0
12.0 oz.,0.07,187,26,11.0
12.0 oz. Alumi-Tek,0.045,188,156,4.0
12.0 oz,0.045%,189,37,5.0
12.0 ounce,0.035,190,157,1.0
16.0 oz,0.07,191,132,4.0
12.0 oz.,0.06,192,16,31.0
12.0 oz,0.045,193,158,16.0
12.0 oz. Alumi-Tek,0.049%,194,159,3.0
12.0 oz.,0.067,195,142,4.0
12.0 ounce,0.068,196,149,4.0
12.0 oz.,0.05,197,34,32.0
12.0 oz,0.051,198,134,9.0
12.0 ounce,0.054,199,160,6.0
12.0 oz.,0.067%,200,161,1.0
12.0 oz.,0.05,201,34,32.0
12.0 oz.,0.054,202,162,5.0
12.0 oz,0.053,203,120,11.0
16.0 oz,0.07%,204,163,4.0
12.0 oz,0.047,205,164,12.0
12.0 oz.,0.068,206,108,9.0
12.0 ounce,0.066,207,165,3.0
12.0 oz.,0.047,208,138,15.0
12.0 oz.,0.055,209,8,27.0
12.0 OZ.,0.049%,210,145,3.0
12.0 oz,0.069,211,166,5.0
16.0 ounce,0.088,212,167,3.0
12.0 OZ.,0.05,213,107,11.0
12.0 oz. Alumi-Tek,0.057999999999999996%,214,168,2.0
12.0 oz.,0.068%,215,169,2.0
