ounces,ibu,original_index,unique_index,count
12.0 oz,,0,0,
12.0 oz.,,1,1,
12.0 ounce,,2,2,
12.0 oz,,3,0,
12.0 OZ.,,4,3,
12.0 oz,,5,0,
12.0 oz.,,6,1,
12.0 ounce,,7,2,
12.0 oz.,,8,1,
12.0 ounce,,9,2,
12.0 oz.,,10,1,
12.0 oz.,,11,1,
12.0 OZ.,,12,3,
12.0 oz.,,13,1,
12.0 ounce,60.0,14,4,10.0
12.0 ounce,,15,2,
12.0 oz.,,16,1,
12.0 oz. Alumi-Tek,,17,5,
12.0 ounce,,18,2,
12.0 oz.,,19,1,
12.0 oz.,,20,1,
8.4 ounce,92.0,21,6,1.0
12.0 OZ.,45.0,22,7,2.0
12.0 oz.,,23,1,
12.0 oz,42.0,24,8,8.0
12.0 ounce,17.0,25,9,5.0
12.0 oz.,17.0,26,10,10.0
12.0 oz.,17.0,27,10,10.0
12.0 oz.,70.0,28,11,12.0
12.0 OZ.,70.0,29,12,2.0
12.0 oz.,70.0,30,11,12.0
12.0 oz.,52.0,31,13,4.0
12.0 oz.,94.0,32,14,1.0
12.0 oz,42.0,33,8,8.0
12.0 ounce,45.0,34,15,8.0
12.0 ounce,65.0,35,16,8.0
12.0 OZ.,35.0,36,17,6.0
12.0 oz.,65.0,37,18,14.0
12.0 oz.,17.0,38,10,10.0
12.0 ounce,82.0,39,19,2.0
12.0 oz.,,40,1,
12.0 oz.,,41,1,
12.0 oz,11.0,42,20,4.0
12.0 oz,18.0,43,21,9.0
12.0 oz,,44,0,
12.0 oz.,,45,1,
12.0 oz.,,46,1,
12.0 oz,,47,0,
12.0 oz.,,48,1,
12.0 oz.,28.0,49,22,13.0
16.0 ounce,,50,23,
16.0 ounce,45.0,51,24,4.0
16.0 oz.,,52,25,
16.0 oz.,65.0,53,26,7.0
16.0 oz. Alumi-Tek,50.0,54,27,2.0
16.0 ounce,15.0,55,28,4.0
16.0 oz,18.0,56,29,5.0
16.0 oz,75.0,57,30,6.0
16.0 oz,30.0,58,31,6.0
16.0 ounce,30.0,59,32,6.0
16.0 oz.,82.0,60,33,1.0
12.0 oz.,,61,1,
12.0 oz,26.0,62,34,2.0
12.0 ounce,26.0,63,35,4.0
12.0 oz.,52.0,64,13,4.0
12.0 oz,13.0,65,36,3.0
12.0 oz.,17.0,66,10,10.0
16.0 ounce,68.0,67,37,3.0
16.0 ounce,20.0,68,38,13.0
16.0 ounce,68.0,69,37,3.0
16.0 oz.,80.0,70,39,5.0
16.0 OZ.,25.0,71,40,1.0
16.0 oz.,42.0,72,41,2.0
16.0 oz,25.0,73,42,7.0
16.0 ounce,21.0,74,43,1.0
16.0 oz,13.0,75,44,3.0
16.0 oz.,17.0,76,45,2.0
16.0 ounce,68.0,77,37,3.0
16.0 OZ.,38.0,78,46,1.0
16.0 ounce,,79,23,
16.0 oz.,65.0,80,26,7.0
16.0 oz,20.0,81,47,14.0
16.0 ounce,35.0,82,48,7.0
16.0 OZ.,35.0,83,49,2.0
16.0 oz.,33.0,84,50,4.0
12.0 OZ.,20.0,85,51,3.0
12.0 oz. Alumi-Tek,36.0,86,52,3.0
12.0 oz,103.0,87,53,3.0
12.0 oz.,40.0,88,54,15.0
12.0 OZ.,18.0,89,55,1.0
12.0 OZ.,,90,3,
16.0 oz,,91,56,
16.0 OZ.,,92,57,
16.0 oz. Alumi-Tek,,93,58,
