abv,original_index,unique_index,count
0.05,0,0,150.0
0.066,1,1,12.0
0.071,2,2,14.0
0.09%,3,3,9.0
0.075,4,4,30.0
0.077,5,5,11.0
0.045%,6,6,25.0
0.065,7,7,86.0
0.055,8,8,112.0
0.086,9,9,3.0
0.072,10,10,28.0
0.073,11,11,12.0
0.069%,12,12,11.0
0.085,13,13,24.0
0.061%,14,14,4.0
0.06,15,15,92.0
0.06,16,15,92.0
0.06,17,15,92.0
0.06,18,15,92.0
0.082,19,16,17.0
0.082,20,16,17.0
0.099,21,17,25.0
0.079,22,18,5.0
0.079,23,18,5.0
0.044,24,19,13.0
0.049,25,20,34.0
0.049%,26,21,25.0
0.049,27,20,34.0
0.07,28,22,62.0
0.07%,29,23,30.0
0.07%,30,23,30.0
0.085,31,13,24.0
0.097,32,24,3.0
0.044,33,19,13.0
0.079%,34,25,2.0
0.068%,35,26,16.0
0.083,36,27,6.0
0.07,37,22,62.0
0.049,38,20,34.0
0.07,39,22,62.0
0.05,40,0,150.0
0.059,41,28,22.0
0.035,42,29,4.0
0.045%,43,6,25.0
0.055%,44,30,46.0
0.06,45,15,92.0
0.055%,46,30,46.0
0.065,47,7,86.0
0.065,48,7,86.0
0.05,49,0,150.0
0.065,50,7,86.0
0.05,51,0,150.0
0.09,52,31,15.0
0.069,53,32,21.0
0.09%,54,3,9.0
0.046%,55,33,10.0
0.052000000000000005%,56,34,27.0
0.059,57,28,22.0
0.054,58,35,35.0
0.054,59,35,35.0
0.084,60,36,3.0
0.038,61,37,3.0
0.055,62,8,112.0
0.055,63,8,112.0
0.065,64,7,86.0
0.042,65,38,27.0
0.045,66,39,64.0
0.082,67,16,17.0
0.05,68,0,150.0
0.08,69,40,40.0
0.125%,70,41,1.0
0.077,71,5,11.0
0.042,72,38,27.0
0.05,73,0,150.0
0.066,74,1,12.0
0.04,75,42,28.0
0.055,76,8,112.0
0.076,77,43,4.0
0.051%,78,44,18.0
0.065%,79,45,37.0
0.06,80,15,92.0
0.05,81,0,150.0
0.053,82,46,47.0
0.05,83,0,150.0
0.052,84,47,80.0
0.04,85,42,28.0
0.053,86,46,47.0
0.082,87,16,17.0
0.053,88,46,47.0
0.053,89,46,47.0
0.057,90,48,35.0
0.043,91,49,8.0
0.065,92,7,86.0
0.054,93,35,35.0
0.062,94,50,44.0
0.062,95,50,44.0
0.059000000000000004%,96,51,12.0
0.065%,97,45,37.0
0.045%,98,6,25.0
0.049,99,20,34.0
0.055999999999999994%,100,52,28.0
0.042,101,38,27.0
0.042,102,38,27.0
0.048%,103,53,22.0
0.06,104,15,92.0
0.057,105,48,35.0
0.056,106,54,38.0
0.07,107,22,62.0
0.057999999999999996%,108,55,28.0
0.057,109,48,35.0
0.055,110,8,112.0
0.057999999999999996%,111,55,28.0
0.056,112,54,38.0
0.057%,113,56,17.0
0.069%,114,12,11.0
0.07,115,22,62.0
0.058,116,57,38.0
0.056,117,54,38.0
0.055,118,8,112.0
0.06,119,15,92.0
0.054000000000000006%,120,58,15.0
0.047%,121,59,18.0
0.05,122,0,150.0
0.05%,123,60,65.0
0.05,124,0,150.0
0.068,125,61,36.0
0.06,126,15,92.0
0.085%,127,62,2.0
0.071,128,2,14.0
0.047,129,63,39.0
0.06,130,15,92.0
0.06%,131,64,33.0
0.062,132,50,44.0
0.052,133,47,80.0
0.092,134,65,11.0
0.051%,135,44,18.0
0.052,136,47,80.0
0.07,137,22,62.0
0.032,138,66,3.0
0.053,139,46,47.0
0.06,140,15,92.0
0.048,141,67,50.0
0.077,142,5,11.0
0.077,143,5,11.0
0.056,144,54,38.0
0.07%,145,23,30.0
0.057,146,48,35.0
0.08199999999999999%,147,68,5.0
0.062,148,50,44.0
0.06,149,15,92.0
0.075,150,4,30.0
0.055%,151,30,46.0
0.052,152,47,80.0
0.045,153,39,64.0
0.05%,154,60,65.0
0.05,155,0,150.0
0.07,156,22,62.0
0.062%,157,69,15.0
0.051,158,70,44.0
0.053,159,46,47.0
0.052,160,47,80.0
0.08%,161,71,17.0
0.064,162,72,18.0
0.047,163,63,39.0
0.056,164,54,38.0
0.063,165,73,31.0
0.055,166,8,112.0
0.062,167,50,44.0
0.072,168,10,28.0
