beer_name,original_index,unique_index,count
Pub Beer,0,0,1
Devil's Cup,1,1,1
Rise of the Phoenix,2,2,1
Sinister,3,3,1
Sex and Candy,4,4,1
Black Exodus,5,5,1
Lake Street Express,6,6,1
Foreman,7,7,1
Jade,8,8,1
Cone Crusher,9,9,1
Sophomoric Saison,10,10,1
Regional Ring Of Fire,11,11,1
Garce Selé,12,12,1
Troll Destroyer,13,13,1
Bitter Bitch,14,14,1
Ginja Ninja,15,15,1
Cherried Away,16,16,1
Rhubarbarian,17,17,1
BrightCider,18,18,1
He Said Baltic-Style Porter,19,19,1
He Said Belgian-Style Tripel,20,20,1
Lower De Boom,21,21,1
Fireside Chat,22,22,1
Marooned On Hog Island,23,23,1
Bitter American,24,24,1
Hell or High Watermelon Wheat (2009),25,25,2
Hell or High Watermelon Wheat (2009),26,25,2
21st Amendment Watermelon Wheat Beer (2006),27,26,1
21st Amendment IPA (2006),28,27,1
Brew Free! or Die IPA (2008),29,28,1
Brew Free! or Die IPA (2009),30,29,1
Special Edition: Allies Win The War!,31,30,1
Hop Crisis,32,31,1
Bitter American (2011),33,32,1
Fireside Chat (2010),34,33,1
Back in Black,35,34,1
Monk's Blood,36,35,1
Brew Free! or Die IPA,37,36,1
Hell or High Watermelon Wheat,38,37,1
Bimini Twist,39,38,1
Beach Blonde,40,39,2
Rod Bender Red,41,40,1
Passion Fruit Prussia,42,41,1
Send Help,43,42,1
Cast Iron Oatmeal Brown,44,43,1
Reprise Centennial Red,45,44,1
Alter Ego,46,45,2
Divided Sky,47,46,1
Resurrected,48,47,1
Contact High,49,48,1
Galaxyfest,50,49,1
Citrafest,51,50,1
Barn Yeti,52,51,1
Scarecrow,53,52,1
Ironman,54,53,1
Honey Kolsch,55,54,1
Copperhead Amber,56,55,1
Rude Parrot IPA,57,56,1
British Pale Ale (2010),58,57,1
British Pale Ale,59,58,1
Ballz Deep Double IPA,60,59,1
Wolfman's Berliner,61,60,1
Colorado Native,62,61,1
Colorado Native (2011),63,62,1
Jockamo IPA,64,63,1
Purple Haze,65,64,1
Abita Amber,66,65,1
Citra Ass Down,67,66,2
The Brown Note,68,67,2
Citra Ass Down,69,66,2
London Balling,70,68,1
35 K,71,69,1
A Beer,72,70,1
Rules are Rules,73,71,1
Flesh Gourd'n,74,72,1
Sho'nuff,75,73,1
Bloody Show,76,74,1
Rico Sauvin,77,75,1
Coq de la Marche,78,76,1
Kamen Knuddeln,79,77,1
Pile of Face,80,78,1
The Brown Note,81,67,2
Maylani's Coconut Stout,82,79,1
Oatmeal PSA,83,80,1
Pre Flight Pilsner,84,81,1
P-Town Pilsner,85,82,1
Klickitat Pale Ale,86,83,1
Yellow Wolf Imperial IPA,87,84,1
Freeride APA,88,85,1
Alaskan Amber,89,86,1
Hopalicious,90,87,1
Kentucky Kölsch,91,88,1
Kentucky IPA,92,89,1
Dusty Trail Pale Ale,93,90,1
Damnesia,94,91,1
Desolation IPA,95,92,1
Liberty Ale,96,93,1
IPA,97,94,1
Summer Wheat,98,95,1
California Lager,99,96,1
Brotherhood Steam,100,97,1
Blood Orange Gose,101,98,1
Keebarlin' Pale Ale,102,99,1
"the Kimmie, the Yink and the Holy Gose",103,100,1
Fall Hornin',104,101,1
Barney Flats Oatmeal Stout,105,102,2
Summer Solstice,106,103,1
Hop Ottin' IPA,107,104,1
Boont Amber Ale,108,105,1
Barney Flats Oatmeal Stout,109,102,2
El Steinber Dark Lager,110,106,1
Boont Amber Ale (2010),111,107,1
Summer Solstice Cerveza Crema (2009),112,108,1
Barney Flats Oatmeal Stout (2012),113,109,1
Winter Solstice,114,110,1
Hop Ottin' IPA (2011),115,111,1
Boont Amber Ale (2011),116,112,1
Summer Solstice (2011),117,113,1
Poleeko Gold Pale Ale (2009),118,114,1
Charlie's Rye IPA,119,115,1
River Pig Pale Ale,120,116,1
Oaky's Oatmeal Stout,121,117,1
Angry Orchard Apple Ginger,122,118,1
Angry Orchard Crisp Apple,123,119,2
Angry Orchard Crisp Apple,124,119,2
Golden One,125,120,1
Arjuna,126,121,1
Uroboros,127,122,1
Long Leaf,128,123,1
Honey Badger Blonde,129,124,1
Porter (a/k/a Black Gold Porter),130,125,1
Sky High Rye,131,126,1
Whitsun,132,127,1
On-On Ale (2008),133,128,1
Quakertown Stout,134,129,1
Greenbelt Farmhouse Ale,135,130,1
Mo's Gose,136,131,1
Green Bullet Organic India Pale Ale,137,132,1
Rocket Girl,138,133,1
Ninja Porter,139,134,1
Shiva IPA,140,135,1
Aslan Kölsch,141,136,1
Aslan IPA,142,137,1
Aslan Amber,143,138,1
This Season's Blonde,144,139,1
Independence Pass Ale,145,140,1
Trolley Stop Stout,146,141,1
Bitter Bitch Imperial IPA,147,142,1
Poop Deck Porter,148,143,1
Old Red Beard Amber Ale,149,144,1
Hop A-Peel,150,145,1
Vanilla Java Porter,151,146,1
Michelada,152,147,1
Dirty Blonde Ale,153,148,1
Grand Circus IPA,154,149,1
Atwater's Lager,155,150,1
Heavy Machinery IPA Series #1: Heavy Fist,156,151,1
Fire Eagle IPA,157,152,1
Peacemaker,158,153,1
Pearl-Snap,159,154,1
Black Thunder,160,155,1
Raja,161,156,1
Perzik Saison,162,157,1
Avery Joe’s Premium American Pilsner,163,158,1
White Rascal,164,159,1
Avery India Pale Ale,165,160,1
Ellie’s Brown Ale,166,161,1
Pumpkin Beast,167,162,1
OktoberBeast,168,163,1
Mad Beach,169,164,1
Hog Wild India Pale Ale,170,165,1
Devils Tramping Ground Tripel,171,166,1
Hot Rod Red,172,167,1
Palate Mallet,173,168,1
Back East Porter,174,169,1
Back East Golden Ale,175,170,1
Misty Mountain IPA,176,171,1
Back East Ale,177,172,1
Truck Stop Honey Brown Ale,178,173,1
Naked Pig Pale Ale,179,174,1
Topcutter India Pale Ale,180,175,1
Field 41 Pale Ale,181,176,1
Grapefruit Sculpin,182,177,1
Even Keel,183,178,1
Ballast Point Pale Ale,184,179,1
Big Eye India Pale Ale,185,180,1
Longfin Lager,186,181,1
Sculpin IPA,187,182,1
All Nighter Ale,188,183,1
Banner American Rye,189,184,1
Banner American Ale,190,185,1
Thai.p.a,191,186,1
Barrio Blanco,192,187,1
Barrio Tucson Blonde,193,188,1
Hop in the ‘Pool Helles,194,189,1
Ultra Gnar Gnar IPA,195,190,1
In-Tents India Pale Lager,196,191,1
Lost Meridian Wit,197,192,1
Celestial Meridian Cascadian Dark Lager,198,193,1
Wagon Party,199,194,1
Sky-Five,200,195,1
Stargrazer,201,196,1
Wonderstuff,202,197,1
Tarnation California-Style Lager,203,198,1
On the Count of 3 (2015),204,199,1
Summer Swelter,205,200,1
Phantom Punch Winter Stout,206,201,1
Hayride Autumn Ale,207,202,1
Celsius Summer Ale (2012),208,203,1
Amber Road,209,204,1
Pamola Xtra Pale Ale,210,205,1
Stowaway IPA,211,206,1
Hoptopus Double IPA,212,207,1
Watermelon Ale,213,208,2
Fenway American Pale Ale,214,209,1
Back Bay IPA,215,210,1
Bunker Hill Blueberry Ale,216,211,1
Oberon,217,212,2
Smitten,218,213,1
Winter White,219,214,1
Oberon,220,212,2
Two Hearted,221,215,1
Best Brown,222,216,1
Moar,223,217,1
Uber Lupin Schwarz IPA,224,218,1
Nordic Blonde,225,219,1
Cold Press,226,220,1
Harness the Winter,227,221,1
14° ESB,228,222,1
Bent Hop Golden IPA,229,223,1
Bent Paddle Black Ale,230,224,1
Venture Pils,231,225,1
Lost Sailor IPA,232,226,1
Steel Rail Extra Pale Ale,233,227,1
La Frontera Premium IPA,234,228,1
Tejas Lager,235,229,1
Number 22 Porter,236,230,1
Big Bend Hefeweizen,237,231,1
Terlingua Gold,238,232,1
Aprè Shred,239,233,1
Hemlock Double IPA,240,234,1
West Portal Colorado Common Summer Ale,241,235,1
Disconnected Red,242,236,1
Big Elm IPA,243,237,1
Gerry Dog Stout,244,238,1
413 Farmhouse Ale,245,239,1
Dark Star,246,240,1
Ryecoe,247,241,1
Blueberry Blonde,248,242,1
Galaxy IPA,249,243,1
Big River Pilsner,250,244,1
House Brand IPA,251,245,1
Big Sky IPA,252,246,1
Scape Goat Pale Ale,253,247,1
Montana Trout Slayer Ale,254,248,1
Moose Drool Brown Ale,255,249,1
Powder Hound Winter Ale,256,250,1
Moose Drool Brown Ale (2011),257,251,1
Montana Trout Slayer Ale (2012),258,252,1
Big Sky IPA (2012),259,253,1
Summer Honey,260,254,1
Scape Goat Pale Ale (2010),261,255,1
Montana Trout Slayer Ale (2009),262,256,1
Moose Drool Brown Ale (2009),263,257,1
Arcus IPA,264,258,1
Wavemaker,265,259,1
Jack Pine Savage,266,260,1
Forest Fire Imperial Smoked Rye,267,261,1
Bad Axe Imperial IPA,268,262,1
Morning Wood,269,263,1
Bark Bite IPA,270,264,1
Jalapeno Pale Ale,271,265,1
Blown Out Brown,272,266,1
Single Hop Ale,273,267,1
Sawtooth Ale,274,268,1
Saucy Intruder,275,269,1
Deception,276,270,1
Blackmarket Rye IPA,277,271,1
Black Market Hefeweizen,278,272,1
Aftermath Pale Ale,279,273,1
American India Red Ale,280,274,1
American Red Porter,281,275,1
American Red Saison,282,276,1
Colorado Red Ale,283,277,2
Saddle Bronc Brown Ale,284,278,1
Bomber Mountain Amber Ale,285,279,1
Flying Sailor,286,280,1
Nordskye,287,281,1
North Third Stout,288,282,1
Honey Lav,289,283,1
Coconut Brown Ale,290,284,1
51K IPA,291,285,1
Grand Rabbits,292,286,1
1800 Big Log Wheat (2012),293,287,1
Double Play Pilsner,294,288,1
Brewerhood Brown Ale,295,289,1
Last Call Imperial Amber Ale,296,290,1
Pernicious Double IPA,297,291,1
6-4-3 Double Play Pilsner,298,292,1
N Street Drive-In 50th Anniversary IPA,299,293,1
467 Ethan's Stout,300,294,1
1335 Wicked Snout,301,295,1
543 Skull Creek Fresh Hopped Pale Ale,302,296,1
1327 Pod's ESB,303,297,3
1327 Pod's ESB,304,297,3
1327 Pod's ESB,305,297,3
834 Happy As Ale,306,298,1
Yellow Collar,307,299,1
Green Collar,308,300,1
Quarter Mile Double IPA,309,301,1
Full Nelson Pale Ale,310,302,1
Steel Wheels ESB,311,303,1
Blue Mountain Classic Lager,312,304,1
Full Nelson Pale Ale (2010),313,305,1
Kölsch 151,314,306,1
Professor Black,315,307,1
Little Boss,316,308,1
Van Dayum!,317,309,1
Spirit Animal,318,310,1
Toxic Sludge,319,311,1
Blue Point White IPA,320,312,1
Blue Point Summer Ale,321,313,1
Toasted Lager,322,314,1
Bohemian Export Lager,323,315,1
Altus Bohemes Altbier,324,316,1
Cherny Bock,325,317,1
Czech Pilsner,326,318,1
Viennese Lager,327,319,1
Mad Manatee IPA,328,320,1
Killer Whale Cream Ale,329,321,1
Duke's Cold Nose Brown Ale,330,322,1
Longhop IPA,331,323,1
Lucky Buck,332,324,1
Bomb Lager (New Recipe),333,325,1
Bomb Lager (Old Recipe),334,326,1
Firestarter India Pale Ale,335,327,2
Kilt Dropper Scotch Ale,336,328,1
Wood Splitter Pilsner,337,329,1
Gyptoberfest,338,330,1
Farmer Wirtz India Pale Ale,339,331,1
Slow & Steady Golden Ale,340,332,1
Pink-I Raspberry IPA,341,333,1
Moe's Original Bar B Que 'Bama Brew Golden Ale,342,334,1
Live Local Golden Ale,343,335,1
Screaming Eagle Special Ale ESB,344,336,1
Dirtbag Dunkel,345,337,1
Kindler Pale Ale,346,338,1
Mistress Winter Wheat,347,339,1
Tent Pole Vanilla Porter,348,340,1
Awry Rye Pale Ale,349,341,1
Demshitz Brown Ale,350,342,1
Wood Splitter Pilsner (2012),351,343,1
Brush Creek Blonde,352,344,1
Firestarter India Pale Ale,353,327,2
Noche Dulce,354,345,1
Porch Rocker,355,346,1
Rebel IPA,356,347,1
Cold Snap,357,348,1
Samuel Adams Winter Lager,358,349,1
Boston Lager,359,350,3
Boston Lager,360,350,3
Samuel Adams Octoberfest,361,351,1
Samuel Adams Summer Ale,362,352,1
Boston Lager,363,350,3
Hazed & Infused,364,353,1
Hoopla Pale Ale,365,354,1
Hazed & Infused (2010),366,355,1
Heavy Lifting,367,356,1
1492,368,357,1
Mango Ginger,369,358,1
Passenger,370,359,1
Plum St. Porter,371,360,2
Plum St. Porter,372,360,2
Bozone HopZone IPA,373,361,1
Bozone Hefe Weizen,374,362,1
Bozone Select Amber Ale,375,363,1
Evil Owl,376,364,1
Post Time Kölsch,377,365,1
Agave Wheat,378,366,1
SummerBright Ale,379,367,1
Lucky U IPA,380,368,1
Avalanche Ale,381,369,1
"You're My Boy, Blue",382,370,1
Last Stop IPA,383,371,1
Rollin Dirty Red Ale,384,372,1
Are Wheat There Yet?,385,373,1
Insert Hop Reference,386,374,1
Manitou Amber,387,375,1
Belfort,388,376,1
Star Runner,389,377,1
Tart Side of the Barrel,390,378,1
Linnaeus Mango IPA,391,379,1
Beasts A'Burnin',392,380,1
Verdun,393,381,1
Barrel Aged Triomphe,394,382,1
Cherry Doppelbock,395,383,1
Tropical Saison,396,384,1
Beach Patrol,397,385,1
Nuit Serpent,398,386,1
Paris,399,387,1
The Grand Army,400,388,1
Acidulated Trip,401,389,1
Root Stock,402,390,1
Mind Games,403,391,1
Sous Chef,404,392,1
Dubbelicious,405,393,1
Psychopomp,406,394,1
Fat Paczki,407,395,1
Earth-Like Planets,408,396,1
Ski Patrol,409,397,1
Viking Ice Hole,410,398,1
Rye Porter,411,399,2
Wizard Burial Ground,412,400,1
Smoky Wheat,413,401,1
BRIPA,414,402,1
Mela,415,403,1
W.I.P.A Snappa,416,404,1
Pepper in the Rye,417,405,1
Moe Lasses',418,406,1
Pumpkin Tart,419,407,1
Undertaker,420,408,1
Undertaker (2014),421,409,1
Coq D'Or,422,410,1
North French,423,411,1
Agent a Deux,424,412,1
Belgian Wit,425,413,1
Pothole Stout,426,414,1
Tree Bucket,427,415,1
Le Flaneur Ale,428,416,1
Maize & Blueberry,429,417,1
Trebuchet Double IPA,430,418,1
Contemplation,431,419,1
Black Rabbit,432,420,1
Zaison,433,421,1
Vivant Tripel,434,422,1
Tart Side of the Moon,435,423,1
Big Red Coq,436,424,1
Hubris Quadrupel Anniversary Ale,437,425,1
Plow Horse Belgian Style Imperial Stout,438,426,1
Escoffier Bretta Ale,439,427,1
Contemplation (2012),440,428,1
Vivant Belgian Style Imperial Stout (2012),441,429,1
Big Red Coq (2012),442,430,1
Zaison (2012),443,431,1
Vivant Tripel (2012),444,432,1
Trebuchet Double IPA (2012),445,433,1
Kludde,446,434,1
Farm Hand,447,435,1
Solitude,448,436,1
Triomphe,449,437,1
Tampa Pale Ale,450,438,1
Orange Grove Wheat Ale,451,439,1
Broad Brook Ale,452,440,1
Northern Lights Amber Ale,453,441,1
Polar Pale Ale,454,442,1
Chugach Session Ale,455,443,1
Fairweather IPA,456,444,1
East India Pale Ale,457,445,2
Brooklyn Summer Ale,458,446,1
East India Pale Ale,459,445,2
Brooklyn Summer Ale (2011),460,447,1
Brooklyn Lager (16 oz.),461,448,1
