ounces,original_index,unique_index,count
12.0 oz,0,0,393
12.0 oz.,1,1,580
12.0 ounce,2,2,360
12.0 oz,3,0,393
12.0 OZ.,4,3,98
12.0 oz,5,0,393
12.0 oz.,6,1,580
12.0 ounce,7,2,360
12.0 oz.,8,1,580
12.0 ounce,9,2,360
12.0 oz.,10,1,580
12.0 oz.,11,1,580
12.0 OZ.,12,3,98
12.0 oz.,13,1,580
12.0 ounce,14,2,360
12.0 ounce,15,2,360
12.0 oz.,16,1,580
12.0 oz. Alumi-Tek,17,4,87
12.0 ounce,18,2,360
12.0 oz.,19,1,580
12.0 oz.,20,1,580
8.4 ounce,21,5,1
12.0 OZ.,22,3,98
12.0 oz.,23,1,580
12.0 oz,24,0,393
12.0 ounce,25,2,360
12.0 oz.,26,1,580
12.0 oz.,27,1,580
12.0 oz.,28,1,580
12.0 OZ.,29,3,98
12.0 oz.,30,1,580
12.0 oz.,31,1,580
12.0 oz.,32,1,580
12.0 oz,33,0,393
12.0 ounce,34,2,360
12.0 ounce,35,2,360
12.0 OZ.,36,3,98
12.0 oz.,37,1,580
12.0 oz.,38,1,580
12.0 ounce,39,2,360
12.0 oz.,40,1,580
12.0 oz.,41,1,580
12.0 oz,42,0,393
12.0 oz,43,0,393
12.0 oz,44,0,393
12.0 oz.,45,1,580
12.0 oz.,46,1,580
12.0 oz,47,0,393
12.0 oz.,48,1,580
12.0 oz.,49,1,580
16.0 ounce,50,6,202
16.0 ounce,51,6,202
16.0 oz.,52,7,327
16.0 oz.,53,7,327
16.0 oz. Alumi-Tek,54,8,38
16.0 ounce,55,6,202
16.0 oz,56,9,220
16.0 oz,57,9,220
16.0 oz,58,9,220
16.0 ounce,59,6,202
16.0 oz.,60,7,327
12.0 oz.,61,1,580
12.0 oz,62,0,393
12.0 ounce,63,2,360
12.0 oz.,64,1,580
12.0 oz,65,0,393
12.0 oz.,66,1,580
16.0 ounce,67,6,202
16.0 ounce,68,6,202
16.0 ounce,69,6,202
16.0 oz.,70,7,327
16.0 OZ.,71,10,50
16.0 oz.,72,7,327
16.0 oz,73,9,220
16.0 ounce,74,6,202
16.0 oz,75,9,220
16.0 oz.,76,7,327
16.0 ounce,77,6,202
16.0 OZ.,78,10,50
16.0 ounce,79,6,202
16.0 oz.,80,7,327
16.0 oz,81,9,220
16.0 ounce,82,6,202
16.0 OZ.,83,10,50
16.0 oz.,84,7,327
12.0 OZ.,85,3,98
12.0 oz. Alumi-Tek,86,4,87
12.0 oz,87,0,393
12.0 oz.,88,1,580
12.0 OZ.,89,3,98
12.0 OZ.,90,3,98
16.0 oz,91,9,220
16.0 OZ.,92,10,50
16.0 oz. Alumi-Tek,93,8,38
16.0 oz,94,9,220
16.0 ounce,95,6,202
12.0 oz. Alumi-Tek,96,4,87
12.0 ounce,97,2,360
12.0 oz,98,0,393
12.0 oz.,99,1,580
12.0 ounce,100,2,360
12.0 oz.,101,1,580
12.0 oz,102,0,393
12.0 oz.,103,1,580
12.0 oz,104,0,393
12.0 ounce,105,2,360
12.0 ounce,106,2,360
12.0 oz,107,0,393
12.0 oz.,108,1,580
12.0 oz. Alumi-Tek,109,4,87
16.0 oz,110,9,220
12.0 oz.,111,1,580
12.0 oz,112,0,393
12.0 oz,113,0,393
12.0 ounce,114,2,360
12.0 ounce,115,2,360
12.0 ounce,116,2,360
12.0 oz.,117,1,580
12.0 oz.,118,1,580
16.0 ounce,119,6,202
16.0 oz,120,9,220
16.0 oz.,121,7,327
16.0 oz.,122,7,327
16.0 oz.,123,7,327
12.0 OZ.,124,3,98
12.0 oz.,125,1,580
12.0 ounce,126,2,360
12.0 OZ.,127,3,98
16.0 oz.,128,7,327
16.0 oz. Alumi-Tek,129,8,38
16.0 ounce,130,6,202
12.0 oz. Silo Can,131,11,7
12.0 oz.,132,1,580
12.0 oz,133,0,393
12.0 ounce,134,2,360
12.0 oz.,135,1,580
16.0 oz,136,9,220
16.0 oz.,137,7,327
12.0 oz,138,0,393
12.0 oz,139,0,393
12.0 oz.,140,1,580
16.0 ounce,141,6,202
16.0 oz. Alumi-Tek,142,8,38
16.0 oz. Silo Can,143,12,4
12.0 oz.,144,1,580
12.0 oz,145,0,393
12.0 oz.,146,1,580
12.0 oz.,147,1,580
12.0 ounce,148,2,360
12.0 OZ.,149,3,98
16.0 ounce,150,6,202
16.0 oz.,151,7,327
16.0 oz,152,9,220
12.0 oz.,153,1,580
12.0 oz,154,0,393
12.0 oz.,155,1,580
16.0 oz,156,9,220
12.0 OZ.,157,3,98
12.0 oz,158,0,393
12.0 oz.,159,1,580
12.0 ounce,160,2,360
12.0 oz.,161,1,580
12.0 oz.,162,1,580
12.0 oz.,163,1,580
12.0 oz.,164,1,580
12.0 oz,165,0,393
12.0 ounce,166,2,360
12.0 oz. Alumi-Tek,167,4,87
12.0 oz.,168,1,580
12.0 ounce,169,2,360
12.0 oz.,170,1,580
12.0 oz.,171,1,580
12.0 ounce,172,2,360
12.0 ounce,173,2,360
12.0 oz.,174,1,580
12.0 OZ.,175,3,98
12.0 oz.,176,1,580
12.0 ounce,177,2,360
12.0 ounce,178,2,360
12.0 oz,179,0,393
12.0 ounce,180,2,360
12.0 ounce,181,2,360
12.0 ounce,182,2,360
12.0 ounce,183,2,360
12.0 OZ.,184,3,98
12.0 OZ.,185,3,98
12.0 oz,186,0,393
12.0 oz.,187,1,580
12.0 oz. Alumi-Tek,188,4,87
12.0 oz,189,0,393
12.0 ounce,190,2,360
16.0 oz,191,9,220
12.0 oz.,192,1,580
12.0 oz,193,0,393
12.0 oz. Alumi-Tek,194,4,87
12.0 oz.,195,1,580
12.0 ounce,196,2,360
12.0 oz.,197,1,580
12.0 oz,198,0,393
12.0 ounce,199,2,360
12.0 oz.,200,1,580
12.0 oz.,201,1,580
12.0 oz.,202,1,580
12.0 oz,203,0,393
16.0 oz,204,9,220
12.0 oz,205,0,393
12.0 oz.,206,1,580
12.0 ounce,207,2,360
12.0 oz.,208,1,580
12.0 oz.,209,1,580
12.0 OZ.,210,3,98
12.0 oz,211,0,393
16.0 ounce,212,6,202
12.0 OZ.,213,3,98
12.0 oz. Alumi-Tek,214,4,87
12.0 oz.,215,1,580
12.0 ounce,216,2,360
12.0 oz,217,0,393
16.0 oz.,218,7,327
16.0 oz.,219,7,327
16.0 oz.,220,7,327
16.0 OZ.,221,10,50
16.0 oz.,222,7,327
12.0 oz.,223,1,580
16.0 ounce,224,6,202
12.0 oz.,225,1,580
12.0 OZ.,226,3,98
12.0 oz.,227,1,580
12.0 ounce,228,2,360
12.0 oz.,229,1,580
12.0 oz.,230,1,580
12.0 oz.,231,1,580
12.0 ounce,232,2,360
12.0 oz,233,0,393
12.0 oz.,234,1,580
12.0 oz.,235,1,580
12.0 oz,236,0,393
12.0 oz,237,0,393
12.0 OZ.,238,3,98
16.0 oz. Alumi-Tek,239,8,38
12.0 ounce,240,2,360
16.0 oz.,241,7,327
16.0 oz,242,9,220
12.0 ounce,243,2,360
12.0 OZ.,244,3,98
12.0 ounce,245,2,360
16.0 oz.,246,7,327
16.0 ounce,247,6,202
12.0 oz.,248,1,580
16.0 oz.,249,7,327
12.0 oz.,250,1,580
12.0 oz.,251,1,580
12.0 ounce,252,2,360
12.0 oz,253,0,393
12.0 oz,254,0,393
12.0 oz.,255,1,580
12.0 oz.,256,1,580
12.0 oz.,257,1,580
