style,original_index,unique_index,count
American Pale Lager,0,0,39.0
American Pale Ale (APA),1,1,245.0
American IPA,2,2,424.0
American Double / Imperial IPA,3,3,105.0
American IPA,4,2,424.0
Oatmeal Stout,5,4,18.0
American Pale Ale (APA),6,1,245.0
American Porter,7,5,68.0
American Pale Ale (APA),8,1,245.0
American Double / Imperial IPA,9,3,105.0
Saison / Farmhouse Ale,10,6,52.0
Saison / Farmhouse Ale,11,6,52.0
Saison / Farmhouse Ale,12,6,52.0
Belgian IPA,13,7,18.0
American Pale Ale (APA),14,1,245.0
Cider,15,8,37.0
Cider,16,8,37.0
Cider,17,8,37.0
Cider,18,8,37.0
Baltic Porter,19,9,6.0
Tripel,20,10,11.0
American Barleywine,21,11,3.0
Winter Warmer,22,12,15.0
American Stout,23,13,39.0
American Pale Ale (APA),24,1,245.0
Fruit / Vegetable Beer,25,14,49.0
Fruit / Vegetable Beer,26,14,49.0
Fruit / Vegetable Beer,27,14,49.0
American IPA,28,2,424.0
American IPA,29,2,424.0
American IPA,30,2,424.0
English Strong Ale,31,15,4.0
American Double / Imperial IPA,32,3,105.0
American Pale Ale (APA),33,1,245.0
Winter Warmer,34,12,15.0
American Black Ale,35,16,36.0
Belgian Dark Ale,36,17,11.0
American IPA,37,2,424.0
Fruit / Vegetable Beer,38,14,49.0
American IPA,39,2,424.0
American Blonde Ale,40,18,108.0
American Amber / Red Ale,41,19,133.0
Berliner Weissbier,42,20,11.0
American Blonde Ale,43,18,108.0
American Brown Ale,44,21,70.0
American Amber / Red Ale,45,19,133.0
American Black Ale,46,16,36.0
American IPA,47,2,424.0
American IPA,48,2,424.0
American Pale Wheat Ale,49,22,97.0
American IPA,50,2,424.0
American IPA,51,2,424.0
Belgian Strong Dark Ale,52,23,6.0
American IPA,53,2,424.0
English Strong Ale,54,15,4.0
Kölsch,55,24,42.0
Belgian Dark Ale,56,17,11.0
American IPA,57,2,424.0
English Pale Ale,58,25,12.0
English Pale Ale,59,25,12.0
American Double / Imperial IPA,60,3,105.0
Berliner Weissbier,61,20,11.0
American Amber / Red Lager,62,26,29.0
American Amber / Red Lager,63,26,29.0
American IPA,64,2,424.0
Fruit / Vegetable Beer,65,14,49.0
American Amber / Red Lager,66,26,29.0
American IPA,67,2,424.0
American Brown Ale,68,21,70.0
American Double / Imperial IPA,69,3,105.0
English Barleywine,70,27,3.0
Milk / Sweet Stout,71,28,10.0
American Pale Ale (APA),72,1,245.0
German Pilsener,73,29,36.0
Pumpkin Ale,74,30,23.0
Belgian Pale Ale,75,31,24.0
American Pilsner,76,32,25.0
American Double / Imperial IPA,77,3,105.0
Saison / Farmhouse Ale,78,6,52.0
American Wild Ale,79,33,6.0
American IPA,80,2,424.0
English Brown Ale,81,34,18.0
American Stout,82,13,39.0
American Pale Ale (APA),83,1,245.0
American Pilsner,84,32,25.0
American Pilsner,85,32,25.0
American Pale Ale (APA),86,1,245.0
American Double / Imperial IPA,87,3,105.0
American Pale Ale (APA),88,1,245.0
Altbier,89,35,13.0
American Pale Ale (APA),90,1,245.0
Kölsch,91,24,42.0
American IPA,92,2,424.0
American Pale Ale (APA),93,1,245.0
American IPA,94,2,424.0
American IPA,95,2,424.0
American IPA,96,2,424.0
American IPA,97,2,424.0
American Pale Wheat Ale,98,22,97.0
American Amber / Red Lager,99,26,29.0
California Common / Steam Beer,100,36,6.0
Gose,101,37,10.0
American Pale Ale (APA),102,1,245.0
Gose,103,37,10.0
Pumpkin Ale,104,30,23.0
Oatmeal Stout,105,4,18.0
Cream Ale,106,38,29.0
American IPA,107,2,424.0
American Amber / Red Ale,108,19,133.0
Oatmeal Stout,109,4,18.0
Vienna Lager,110,39,20.0
American Amber / Red Ale,111,19,133.0
Cream Ale,112,38,29.0
Oatmeal Stout,113,4,18.0
Winter Warmer,114,12,15.0
American IPA,115,2,424.0
American Amber / Red Ale,116,19,133.0
Cream Ale,117,38,29.0
American Pale Ale (APA),118,1,245.0
American IPA,119,2,424.0
American Pale Ale (APA),120,1,245.0
Oatmeal Stout,121,4,18.0
Cider,122,8,37.0
Cider,123,8,37.0
Cider,124,8,37.0
Belgian Pale Ale,125,31,24.0
Witbier,126,40,51.0
American Stout,127,13,39.0
American IPA,128,2,424.0
American Blonde Ale,129,18,108.0
American Porter,130,5,68.0
American Pale Ale (APA),131,1,245.0
American Pale Wheat Ale,132,22,97.0
American Pale Ale (APA),133,1,245.0
American Double / Imperial Stout,134,41,9.0
Saison / Farmhouse Ale,135,6,52.0
Gose,136,37,10.0
American IPA,137,2,424.0
Kölsch,138,24,42.0
American Porter,139,5,68.0
American IPA,140,2,424.0
Kölsch,141,24,42.0
American IPA,142,2,424.0
American Amber / Red Ale,143,19,133.0
American Blonde Ale,144,18,108.0
American IPA,145,2,424.0
American Stout,146,13,39.0
American Double / Imperial IPA,147,3,105.0
American Porter,148,5,68.0
American Amber / Red Ale,149,19,133.0
American Double / Imperial IPA,150,3,105.0
American Porter,151,5,68.0
Fruit / Vegetable Beer,152,14,49.0
American Blonde Ale,153,18,108.0
American IPA,154,2,424.0
Munich Helles Lager,155,42,20.0
American Black Ale,156,16,36.0
American IPA,157,2,424.0
American Pale Ale (APA),158,1,245.0
German Pilsener,159,29,36.0
Schwarzbier,160,43,9.0
American Double / Imperial IPA,161,3,105.0
Saison / Farmhouse Ale,162,6,52.0
German Pilsener,163,29,36.0
Witbier,164,40,51.0
American IPA,165,2,424.0
American Brown Ale,166,21,70.0
Pumpkin Ale,167,30,23.0
Märzen / Oktoberfest,168,44,30.0
American Pale Wheat Ale,169,22,97.0
American IPA,170,2,424.0
Tripel,171,10,11.0
American Amber / Red Ale,172,19,133.0
American Double / Imperial IPA,173,3,105.0
American Porter,174,5,68.0
American Blonde Ale,175,18,108.0
American IPA,176,2,424.0
American Amber / Red Ale,177,19,133.0
English Brown Ale,178,34,18.0
American Pale Ale (APA),179,1,245.0
American IPA,180,2,424.0
American Pale Ale (APA),181,1,245.0
American IPA,182,2,424.0
American IPA,183,2,424.0
Kölsch,184,24,42.0
American IPA,185,2,424.0
Munich Helles Lager,186,42,20.0
American IPA,187,2,424.0
Extra Special / Strong Bitter (ESB),188,45,20.0
Rye Beer,189,46,18.0
American Amber / Red Ale,190,19,133.0
American IPA,191,2,424.0
American IPA,192,2,424.0
American Blonde Ale,193,18,108.0
American Pilsner,194,32,25.0
American IPA,195,2,424.0
American Pale Lager,196,0,39.0
Witbier,197,40,51.0
Euro Dark Lager,198,47,5.0
California Common / Steam Beer,199,36,6.0
American IPA,200,2,424.0
Schwarzbier,201,43,9.0
German Pilsener,202,29,36.0
California Common / Steam Beer,203,36,6.0
Hefeweizen,204,48,40.0
American Pale Wheat Ale,205,22,97.0
Foreign / Export Stout,206,49,6.0
Rye Beer,207,46,18.0
American Pale Wheat Ale,208,22,97.0
American Amber / Red Ale,209,19,133.0
American Pale Ale (APA),210,1,245.0
American IPA,211,2,424.0
American Double / Imperial IPA,212,3,105.0
Fruit / Vegetable Beer,213,14,49.0
American Pale Ale (APA),214,1,245.0
American IPA,215,2,424.0
Other,216,50,1.0
American Pale Wheat Ale,217,22,97.0
Rye Beer,218,46,18.0
Witbier,219,40,51.0
American Pale Wheat Ale,220,22,97.0
American IPA,221,2,424.0
American Brown Ale,222,21,70.0
English India Pale Ale (IPA),223,51,13.0
American Double / Imperial IPA,224,3,105.0
American Blonde Ale,225,18,108.0
American Black Ale,226,16,36.0
American IPA,227,2,424.0
Extra Special / Strong Bitter (ESB),228,45,20.0
American IPA,229,2,424.0
American Black Ale,230,16,36.0
German Pilsener,231,29,36.0
English India Pale Ale (IPA),232,51,13.0
American Pale Ale (APA),233,1,245.0
American IPA,234,2,424.0
Czech Pilsener,235,52,28.0
American Porter,236,5,68.0
Hefeweizen,237,48,40.0
American Blonde Ale,238,18,108.0
American Strong Ale,239,53,14.0
American Double / Imperial IPA,240,3,105.0
California Common / Steam Beer,241,36,6.0
American Amber / Red Ale,242,19,133.0
American IPA,243,2,424.0
American Stout,244,13,39.0
Saison / Farmhouse Ale,245,6,52.0
American Stout,246,13,39.0
American IPA,247,2,424.0
Fruit / Vegetable Beer,248,14,49.0
American IPA,249,2,424.0
Czech Pilsener,250,52,28.0
American IPA,251,2,424.0
American IPA,252,2,424.0
English Pale Ale,253,25,12.0
