city,state,original_index,unique_index,count
Bend,OR,0,0,11.0
Gary,IN,1,1,14.0
Gary,IN,2,1,14.0
Gary,IN,3,1,14.0
Gary,IN,4,1,14.0
Gary,IN,5,1,14.0
Gary,IN,6,1,14.0
Gary,IN,7,1,14.0
Gary,IN,8,1,14.0
Gary,IN,9,1,14.0
Gary,IN,10,1,14.0
Gary,IN,11,1,14.0
Gary,IN,12,1,14.0
Gary,IN,13,1,14.0
Gary,IN,14,1,14.0
Corvallis,OR,15,2,4.0
Corvallis,OR,16,2,4.0
Corvallis,OR,17,2,4.0
Corvallis,OR,18,2,4.0
San Francisco,CA,19,3,31.0
San Francisco CA,,20,4,
San Francisco,CA,21,3,31.0
San Francisco,CA,22,3,31.0
San Francisco,CA,23,3,31.0
San Francisco,CA,24,3,31.0
San Francisco,CA,25,3,31.0
San Francisco,CA,26,3,31.0
San Francisco,CA,27,3,31.0
San Francisco,CA,28,3,31.0
San Francisco,CA,29,3,31.0
San Francisco,CA,30,3,31.0
San Francisco,CA,31,3,31.0
San Francisco,CA,32,3,31.0
San Francisco,CA,33,3,31.0
San Francisco,CA,34,3,31.0
San Francisco,CA,35,3,31.0
San Francisco,CA,36,3,31.0
San Francisco,CA,37,3,31.0
San Francisco,CA,38,3,31.0
St Petersburg,FL,39,5,3.0
St Petersburg,FL,40,5,3.0
St Petersburg,FL,41,5,3.0
Saint Louis,MO,42,6,18.0
Saint Louis,MO,43,6,18.0
Saint Louis,MO,44,6,18.0
Saint Louis,MO,45,6,18.0
Saint Louis,MO,46,6,18.0
Saint Louis MO,,47,7,
Saint Louis,MO,48,6,18.0
Saint Louis,MO,49,6,18.0
Columbus,IN,50,8,7.0
Columbus,IN,51,8,7.0
Columbus,IN,52,8,7.0
Columbus,IN,53,8,7.0
Columbus,IN,54,8,7.0
Columbus,IN,55,8,7.0
Columbus,IN,56,8,7.0
Gig Harbor,WA,57,9,4.0
Gig Harbor,WA,58,9,4.0
Gig Harbor,WA,59,9,4.0
Gig Harbor,WA,60,9,4.0
Dunedin,FL,61,10,1.0
Golden,CO,62,11,2.0
Golden,CO,63,11,2.0
Abita Springs,LA,64,12,3.0
Abita Springs,LA,65,12,3.0
Abita Springs,LA,66,12,3.0
Louisville,KY,67,13,15.0
Louisville,KY,68,13,15.0
Louisville,KY,69,13,15.0
Louisville,KY,70,13,15.0
Louisville,KY,71,13,15.0
Louisville,KY,72,13,15.0
Louisville,KY,73,13,15.0
Louisville,KY,74,13,15.0
Louisville,KY,75,13,15.0
Louisville,KY,76,13,15.0
Louisville,KY,77,13,15.0
Louisville,KY,78,13,15.0
Louisville,KY,79,13,15.0
Louisville,KY,80,13,15.0
Louisville,KY,81,13,15.0
Kent,WA,82,14,3.0
Kent,WA,83,14,3.0
Kent,WA,84,14,3.0
Portland,OR,85,15,47.0
Portland,OR,86,15,47.0
Portland,OR,87,15,47.0
Juneau,AK,88,16,2.0
Juneau,AK,89,16,2.0
Madison WI,,90,17,
Lexington,KY,91,18,6.0
Lexington,KY,92,18,6.0
Washougal,WA,93,19,3.0
Washougal,WA,94,19,3.0
Washougal,WA,95,19,3.0
San Francisco,CA,96,3,31.0
San Francisco,CA,97,3,31.0
San Francisco,CA,98,3,31.0
San Francisco,CA,99,3,31.0
San Francisco,CA,100,3,31.0
Boonville,CA,101,20,18.0
Boonville,CA,102,20,18.0
Boonville,CA,103,20,18.0
Boonville,CA,104,20,18.0
Boonville,CA,105,20,18.0
Boonville,CA,106,20,18.0
Boonville,CA,107,20,18.0
Boonville,CA,108,20,18.0
Boonville,CA,109,20,18.0
Boonville,CA,110,20,18.0
Boonville,CA,111,20,18.0
Boonville,CA,112,20,18.0
Boonville,CA,113,20,18.0
Boonville,CA,114,20,18.0
Boonville,CA,115,20,18.0
Boonville,CA,116,20,18.0
Boonville,CA,117,20,18.0
Boonville,CA,118,20,18.0
Hayward,WI,119,21,2.0
Hayward,WI,120,21,2.0
Hayward WI,,121,22,
Cincinnati,OH,122,23,19.0
Cincinnati,OH,123,23,19.0
Cincinnati,OH,124,23,19.0
Oklahoma City,OK,125,24,8.0
Oklahoma City,OK,126,24,8.0
Oklahoma City,OK,127,24,8.0
Boone,NC,128,25,3.0
Boone,NC,129,25,3.0
Boone,NC,130,25,3.0
Battle Creek,MI,131,26,2.0
Battle Creek,MI,132,26,2.0
Colorado Springs,CO,133,27,1.0
Denton TX,,134,28,
Denton,TX,135,29,1.0
South San Francisco,CA,136,30,1.0
Boulder,CO,137,31,38.0
Asheville,NC,138,32,5.0
Asheville NC,,139,33,
Asheville,NC,140,32,5.0
Bellingham,WA,141,34,4.0
Bellingham,WA,142,34,4.0
Bellingham,WA,143,34,4.0
Aspen,CO,144,35,2.0
Aspen,CO,145,35,2.0
Astoria,OR,146,36,16.0
Astoria,OR,147,36,16.0
Astoria,OR,148,36,16.0
Astoria,OR,149,36,16.0
Detroit,MI,150,37,5.0
Detroit,MI,151,37,5.0
Detroit,MI,152,37,5.0
Detroit,MI,153,37,5.0
Detroit,MI,154,37,5.0
Detroit MI,,155,38,
