ibu,brewery_id,original_index,unique_index,count
,408,0,0,
,177,1,1,
,177,2,1,
,177,3,1,
,177,4,1,
,177,5,1,
,177,6,1,
,177,7,1,
,177,8,1,
,177,9,1,
,177,10,1,
,177,11,1,
,177,12,1,
,177,13,1,
60.0,177,14,2,1.0
,154,15,3,
,154,16,3,
,154,17,3,
,154,18,3,
,368,19,4,
,368,20,4,
92.0,368,21,5,1.0
45.0,368,22,6,2.0
,368,23,4,
42.0,368,24,7,2.0
17.0,368,25,8,4.0
17.0,368,26,8,4.0
17.0,368,27,8,4.0
70.0,368,28,9,3.0
70.0,368,29,9,3.0
70.0,368,30,9,3.0
52.0,368,31,10,1.0
94.0,368,32,11,1.0
42.0,368,33,7,2.0
45.0,368,34,6,2.0
65.0,368,35,12,2.0
35.0,368,36,13,1.0
65.0,368,37,12,2.0
17.0,368,38,8,4.0
82.0,67,39,14,1.0
,67,40,15,
,67,41,15,
11.0,60,42,16,1.0
18.0,60,43,17,1.0
,60,44,18,
,60,45,18,
,60,46,18,
,60,47,18,
,60,48,18,
28.0,60,49,19,1.0
,27,50,20,
45.0,27,51,21,1.0
,27,52,20,
65.0,27,53,22,1.0
50.0,27,54,23,1.0
15.0,27,55,24,1.0
18.0,27,56,25,1.0
75.0,481,57,26,1.0
30.0,481,58,27,2.0
30.0,481,59,27,2.0
82.0,481,60,28,1.0
,373,61,29,
26.0,462,62,30,2.0
26.0,462,63,30,2.0
52.0,533,64,31,1.0
13.0,533,65,32,1.0
17.0,533,66,33,1.0
68.0,62,67,34,1.0
20.0,62,68,35,1.0
68.0,1,69,36,2.0
80.0,1,70,37,1.0
25.0,1,71,38,2.0
42.0,1,72,39,1.0
25.0,1,73,38,2.0
21.0,1,74,40,1.0
13.0,1,75,41,1.0
17.0,1,76,42,1.0
68.0,1,77,36,2.0
38.0,1,78,43,1.0
,1,79,44,
65.0,1,80,45,1.0
20.0,1,81,46,1.0
35.0,367,82,47,2.0
35.0,367,83,47,2.0
33.0,367,84,48,1.0
20.0,117,85,49,1.0
36.0,117,86,50,1.0
103.0,117,87,51,1.0
40.0,270,88,52,1.0
18.0,270,89,53,1.0
,73,90,54,
,388,91,55,
,388,92,55,
,401,93,56,
,401,94,56,
43.0,401,95,57,1.0
,35,96,58,
,35,97,58,
,35,98,58,
,35,99,58,
,35,100,58,
,171,101,59,
,171,102,59,
,171,103,59,
,171,104,59,
13.0,171,105,60,3.0
4.0,171,106,61,3.0
80.0,171,107,62,2.0
15.0,171,108,63,3.0
13.0,171,109,60,3.0
25.0,171,110,64,1.0
15.0,171,111,63,3.0
4.0,171,112,61,3.0
13.0,171,113,60,3.0
6.0,171,114,65,1.0
80.0,171,115,62,2.0
15.0,171,116,63,3.0
4.0,171,117,61,3.0
28.0,171,118,66,1.0
,146,119,67,
,542,120,68,
,542,121,68,
,434,122,69,
,434,123,69,
,434,124,69,
,193,125,70,
,193,126,70,
,193,127,70,
75.0,69,128,71,1.0
19.0,69,129,72,1.0
23.0,69,130,73,1.0
55.0,541,131,74,1.0
17.0,541,132,75,1.0
,513,133,76,
50.0,426,134,77,1.0
20.0,426,135,78,1.0
10.0,461,136,79,1.0
45.0,429,137,80,1.0
27.0,528,138,81,1.0
26.0,528,139,82,1.0
69.0,528,140,83,1.0
