brewery_name,original_index,unique_index,count
10 Barrel Brewing Company,0,0,1
18th Street Brewery,1,1,14
18th Street Brewery,2,1,14
18th Street Brewery,3,1,14
18th Street Brewery,4,1,14
18th Street Brewery,5,1,14
18th Street Brewery,6,1,14
18th Street Brewery,7,1,14
18th Street Brewery,8,1,14
18th Street Brewery,9,1,14
18th Street Brewery,10,1,14
18th Street Brewery,11,1,14
18th Street Brewery,12,1,14
18th Street Brewery,13,1,14
18th Street Brewery,14,1,14
2 Towns Ciderhouse,15,2,4
2 Towns Ciderhouse,16,2,4
2 Towns Ciderhouse,17,2,4
2 Towns Ciderhouse,18,2,4
21st Amendment Brewery,19,3,20
21st Amendment Brewery,20,3,20
21st Amendment Brewery,21,3,20
21st Amendment Brewery,22,3,20
21st Amendment Brewery,23,3,20
21st Amendment Brewery,24,3,20
21st Amendment Brewery,25,3,20
21st Amendment Brewery,26,3,20
21st Amendment Brewery,27,3,20
21st Amendment Brewery,28,3,20
21st Amendment Brewery,29,3,20
21st Amendment Brewery,30,3,20
21st Amendment Brewery,31,3,20
21st Amendment Brewery,32,3,20
21st Amendment Brewery,33,3,20
21st Amendment Brewery,34,3,20
21st Amendment Brewery,35,3,20
21st Amendment Brewery,36,3,20
21st Amendment Brewery,37,3,20
21st Amendment Brewery,38,3,20
3 Daughters Brewing,39,4,3
3 Daughters Brewing,40,4,3
3 Daughters Brewing,41,4,3
4 Hands Brewing Company,42,5,8
4 Hands Brewing Company,43,5,8
4 Hands Brewing Company,44,5,8
4 Hands Brewing Company,45,5,8
4 Hands Brewing Company,46,5,8
4 Hands Brewing Company,47,5,8
4 Hands Brewing Company,48,5,8
4 Hands Brewing Company,49,5,8
450 North Brewing Company,50,6,7
450 North Brewing Company,51,6,7
450 North Brewing Company,52,6,7
450 North Brewing Company,53,6,7
450 North Brewing Company,54,6,7
450 North Brewing Company,55,6,7
450 North Brewing Company,56,6,7
7 Seas Brewing Company,57,7,4
7 Seas Brewing Company,58,7,4
7 Seas Brewing Company,59,7,4
7 Seas Brewing Company,60,7,4
7venth Sun,61,8,1
AC Golden Brewing Company,62,9,2
AC Golden Brewing Company,63,9,2
Abita Brewing Company,64,10,3
Abita Brewing Company,65,10,3
Abita Brewing Company,66,10,3
Against The Grain Brewery,67,11,2
Against The Grain Brewery,68,11,2
Against the Grain Brewery,69,12,13
Against the Grain Brewery,70,12,13
Against the Grain Brewery,71,12,13
Against the Grain Brewery,72,12,13
Against the Grain Brewery,73,12,13
Against the Grain Brewery,74,12,13
Against the Grain Brewery,75,12,13
Against the Grain Brewery,76,12,13
Against the Grain Brewery,77,12,13
Against the Grain Brewery,78,12,13
Against the Grain Brewery,79,12,13
Against the Grain Brewery,80,12,13
Against the Grain Brewery,81,12,13
Airways Brewing Company,82,13,3
Airways Brewing Company,83,13,3
Airways Brewing Company,84,13,3
Alameda Brewing,85,14,3
