id,original_index,unique_index,count
1436,0,0,1
2265,1,1,1
2264,2,2,1
2263,3,3,1
2262,4,4,1
2261,5,5,1
2260,6,6,1
2259,7,7,1
2258,8,8,1
2131,9,9,1
2099,10,10,1
2098,11,11,1
2097,12,12,1
1980,13,13,1
1979,14,14,1
2318,15,15,1
2170,16,16,1
2169,17,17,1
1502,18,18,1
1593,19,19,1
1592,20,20,1
1036,21,21,1
1024,22,22,1
976,23,23,1
876,24,24,1
802,25,25,1
801,26,26,1
800,27,27,1
799,28,28,1
797,29,29,1
796,30,30,1
531,31,31,1
432,32,32,1
353,33,33,1
321,34,34,1
173,35,35,1
11,36,36,1
10,37,37,1
9,38,38,1
2519,39,39,1
2518,40,40,1
2517,41,41,1
2545,42,42,1
2544,43,43,1
2324,44,44,1
2288,45,45,1
2287,46,46,1
2286,47,47,1
2285,48,48,1
1870,49,49,1
2603,50,50,1
2602,51,51,1
2220,52,52,1
2219,53,53,1
2218,54,54,1
2217,55,55,1
2216,56,56,1
972,57,57,1
866,58,58,1
48,59,59,1
47,60,60,1
1583,61,61,1
1165,62,62,1
431,63,63,1
516,64,64,1
515,65,65,1
514,66,66,1
2540,67,67,1
2539,68,68,1
2686,69,69,1
2685,70,70,1
2684,71,71,1
2683,72,72,1
2682,73,73,1
2681,74,74,1
2680,75,75,1
2679,76,76,1
2678,77,77,1
2677,78,78,1
2676,79,79,1
2675,80,80,1
2674,81,81,1
1594,82,82,1
1162,83,83,1
1137,84,84,1
2403,85,85,1
2402,86,86,1
2401,87,87,1
1921,88,88,1
1920,89,89,1
2501,90,90,1
1535,91,91,1
1149,92,92,1
1474,93,93,1
1473,94,94,1
837,95,95,1
2592,96,96,1
2578,97,97,1
2577,98,98,1
2103,99,99,1
2102,100,100,1
2291,101,101,1
1818,102,102,1
1738,103,103,1
1563,104,104,1
1520,105,105,1
1350,106,106,1
1327,107,107,1
1326,108,108,1
1221,109,109,1
1217,110,110,1
811,111,111,1
753,112,112,1
572,113,113,1
523,114,114,1
367,115,115,1
78,116,116,1
77,117,117,1
76,118,118,1
2337,119,119,1
410,120,120,1
409,121,121,1
1294,122,122,1
1293,123,123,1
1292,124,124,1
2207,125,125,1
2040,126,126,1
2039,127,127,1
2511,128,128,1
2510,129,129,1
2509,130,130,1
413,131,131,1
390,132,132,1
735,133,133,1
1333,134,134,1
1332,135,135,1
1172,136,136,1
1322,137,137,1
550,138,138,1
429,139,139,1
428,140,140,1
1640,141,141,1
1639,142,142,1
1638,143,143,1
597,144,144,1
596,145,145,1
1580,146,146,1
980,147,147,1
979,148,148,1
978,149,149,1
2503,150,150,1
2502,151,151,1
2495,152,152,1
534,153,153,1
528,154,154,1
527,155,155,1
1409,156,156,1
343,157,157,1
342,158,158,1
341,159,159,1
340,160,160,1
2589,161,161,1
2546,162,162,1
146,163,163,1
108,164,164,1
107,165,165,1
106,166,166,1
1620,167,167,1
1579,168,168,1
1228,169,169,1
705,170,170,1
704,171,171,1
702,172,172,1
2058,173,173,1
1483,174,174,1
1426,175,175,1
1132,176,176,1
1131,177,177,1
1876,178,178,1
1875,179,179,1
966,180,180,1
965,181,181,1
2593,182,182,1
2105,183,183,1
1401,184,184,1
1400,185,185,1
1019,186,186,1
1018,187,187,1
1776,188,188,1
1644,189,189,1
1643,190,190,1
2618,191,191,1
2005,192,192,1
1343,193,193,1
2404,194,194,1
2323,195,195,1
2189,196,196,1
2188,197,197,1
2187,198,198,1
1966,199,199,1
1965,200,200,1
1964,201,201,1
1963,202,202,1
1855,203,203,1
1778,204,204,1
1209,205,205,1
954,206,206,1
910,207,207,1
707,208,208,1
533,209,209,1
183,210,210,1
182,211,211,1
1806,212,212,1
2435,213,213,1
2423,214,214,1
2420,215,215,1
2419,216,216,1
2494,217,217,1
2325,218,218,1
2022,219,219,1
1989,220,220,1
1988,221,221,1
1955,222,222,1
2558,223,223,1
2557,224,224,1
2556,225,225,1
2496,226,226,1
2410,227,227,1
1902,228,228,1
1901,229,229,1
1261,230,230,1
1253,231,231,1
1900,232,232,1
1317,233,233,1
1158,234,234,1
1157,235,235,1
1156,236,236,1
1155,237,237,1
1154,238,238,1
2104,239,239,1
1762,240,240,1
1422,241,241,1
1067,242,242,1
1003,243,243,1
1002,244,244,1
1001,245,245,1
2639,246,246,1
2469,247,247,1
2586,248,248,1
2585,249,249,1
643,250,250,1
632,251,251,1
1714,252,252,1
1713,253,253,1
1712,254,254,1
1711,255,255,1
1456,256,256,1
767,257,257,1
766,258,258,1
579,259,259,1
168,260,260,1
159,261,261,1
35,262,262,1
34,263,263,1
2096,264,264,1
2095,265,265,1
1257,266,266,1
1256,267,267,1
1255,268,268,1
986,269,269,1
985,270,270,1
2508,271,271,1
1441,272,272,1
1413,273,273,1
1411,274,274,1
2620,275,275,1
2412,276,276,1
1898,277,277,1
1897,278,278,1
1896,279,279,1
1850,280,280,1
1849,281,281,1
1848,282,282,1
1847,283,283,1
2485,284,284,1
2484,285,285,1
2449,286,286,1
2634,287,287,1
2153,288,288,1
1953,289,289,1
1496,290,290,1
1481,291,291,1
1480,292,292,1
1564,293,293,1
1541,294,294,1
1321,295,295,1
1320,296,296,1
1319,297,297,1
1303,298,298,1
1025,299,299,1
1012,300,300,1
942,301,301,1
937,302,302,1
888,303,303,1
886,304,304,1
612,305,305,1
611,306,306,1
1372,307,307,1
1371,308,308,1
1812,309,309,1
1547,310,310,1
1546,311,311,1
1545,312,312,1
119,313,313,1
1408,314,314,1
2490,315,315,1
2489,316,316,1
2488,317,317,1
2487,318,318,1
939,319,319,1
692,320,320,1
667,321,321,1
665,322,322,1
1607,323,323,1
1597,324,324,1
344,325,325,1
89,326,326,1
88,327,327,1
1569,328,328,1
1568,329,329,1
1188,330,330,1
1891,331,331,1
1890,332,332,1
577,333,333,1
513,334,334,1
2422,335,335,1
1727,336,336,1
1614,337,337,1
1613,338,338,1
1549,339,339,1
1548,340,340,1
1517,341,341,1
1500,342,342,1
1421,343,343,1
1360,344,344,1
1184,345,345,1
1183,346,346,1
1023,347,347,1
998,348,348,1
997,349,349,1
996,350,350,1
931,351,351,1
798,352,352,1
633,353,353,1
2062,354,354,1
1830,355,355,1
1629,356,356,1
1601,357,357,1
1427,358,358,1
1349,359,359,1
1310,360,360,1
1281,361,361,1
1144,362,362,1
1143,363,363,1
1395,364,364,1
808,365,365,1
81,366,366,1
2596,367,367,1
2300,368,368,1
2299,369,369,1
2298,370,370,1
2107,371,371,1
1573,372,372,1
1289,373,373,1
1288,374,374,1
470,375,375,1
2167,376,376,1
2204,377,377,1
1522,378,378,1
397,379,379,1
193,380,380,1
83,381,381,1
1802,382,382,1
1801,383,383,1
1800,384,384,1
1799,385,385,1
2619,386,386,1
2468,387,387,1
2637,388,388,1
2636,389,389,1
2598,390,390,1
2597,391,391,1
2548,392,392,1
2542,393,393,1
2541,394,394,1
2504,395,395,1
2500,396,396,1
2499,397,397,1
2498,398,398,1
2481,399,399,1
2476,400,400,1
2467,401,401,1
2466,402,402,1
2465,403,403,1
2433,404,404,1
2418,405,405,1
2416,406,406,1
2382,407,407,1
2381,408,408,1
2290,409,409,1
2241,410,410,1
2240,411,411,1
2137,412,412,1
2101,413,413,1
2092,414,414,1
2091,415,415,1
2086,416,416,1
2023,417,417,1
2006,418,418,1
1997,419,419,1
1977,420,420,1
1976,421,421,1
1974,422,422,1
1973,423,423,1
1959,424,424,1
1958,425,425,1
1949,426,426,1
1947,427,427,1
1785,428,428,1
1651,429,429,1
1443,430,430,1
1352,431,431,1
1267,432,432,1
1266,433,433,1
1178,434,434,1
1136,435,435,1
1044,436,436,1
1033,437,437,1
1031,438,438,1
909,439,439,1
873,440,440,1
860,441,441,1
677,442,442,1
671,443,443,1
670,444,444,1
669,445,445,1
627,446,446,1
387,447,447,1
385,448,448,1
384,449,449,1
1096,450,450,1
1095,451,451,1
2456,452,452,1
921,453,453,1
920,454,454,1
919,455,455,1
648,456,456,1
1279,457,457,1
756,458,458,1
566,459,459,1
328,460,460,1
66,461,461,1
65,462,462,1
538,463,463,1
504,464,464,1
383,465,465,1
29,466,466,1
28,467,467,1
27,468,468,1
26,469,469,1
1627,470,470,1
2552,471,471,1
2125,472,472,1
2124,473,473,1
2123,474,474,1
2608,475,475,1
2607,476,476,1
2606,477,477,1
2478,478,478,1
2471,479,479,1
2470,480,480,1
2464,481,481,1
2160,482,482,1
2158,483,483,1
2072,484,484,1
2054,485,485,1
2196,486,486,1
668,487,487,1
52,488,488,1
51,489,489,1
50,490,490,1
49,491,491,1
2657,492,492,1
2656,493,493,1
2655,494,494,1
2654,495,495,1
2653,496,496,1
2652,497,497,1
2252,498,498,1
2214,499,499,1
2213,500,500,1
1442,501,501,1
170,502,502,1
169,503,503,1
2315,504,504,1
1808,505,505,1
1419,506,506,1
878,507,507,1
794,508,508,1
793,509,509,1
792,510,510,1
791,511,511,1
790,512,512,1
789,513,513,1
788,514,514,1
38,515,515,1
37,516,516,1
36,517,517,1
2257,518,518,1
2256,519,519,1
870,520,520,1
869,521,521,1
868,522,522,1
867,523,523,1
2068,524,524,1
2067,525,525,1
2066,526,526,1
2065,527,527,1
2064,528,528,1
1928,529,529,1
1927,530,530,1
2227,531,531,1
2226,532,532,1
2225,533,533,1
1954,534,534,1
1910,535,535,1
1177,536,536,1
840,537,537,1
180,538,538,1
63,539,539,1
62,540,540,1
61,541,541,1
784,542,542,1
783,543,543,1
782,544,544,1
2255,545,545,1
530,546,546,1
427,547,547,1
2094,548,548,1
1941,549,549,1
1940,550,550,1
1439,551,551,1
1465,552,552,1
1464,553,553,1
1744,554,554,1
1743,555,555,1
1742,556,556,1
1719,557,557,1
638,558,558,1
507,559,559,1
480,560,560,1
1882,561,561,1
1881,562,562,1
2446,563,563,1
2106,564,564,1
2600,565,565,1
2210,566,566,1
2052,567,567,1
1584,568,568,1
1182,569,569,1
1050,570,570,1
1219,571,571,1
1218,572,572,1
2377,573,573,1
1839,574,574,1
1248,575,575,1
1247,576,576,1
1649,577,577,1
1648,578,578,1
1647,579,579,1
1646,580,580,1
2057,581,581,1
2056,582,582,1
2055,583,583,1
1933,584,584,1
2019,585,585,1
2018,586,586,1
2017,587,587,1
2016,588,588,1
2080,589,589,1
2079,590,590,1
2380,591,591,1
2379,592,592,1
2354,593,593,1
2440,594,594,1
567,595,595,1
1342,596,596,1
1341,597,597,1
2349,598,598,1
2014,599,599,1
2013,600,600,1
2012,601,601,1
2011,602,602,1
2010,603,603,1
2009,604,604,1
1726,605,605,1
1725,606,606,1
1695,607,607,1
1694,608,608,1
1693,609,609,1
1692,610,610,1
1369,611,611,1
1243,612,612,1
1142,613,613,1
1141,614,614,1
1140,615,615,1
1139,616,616,1
1138,617,617,1
571,618,618,1
570,619,619,1
569,620,620,1
546,621,621,1
545,622,622,1
2338,623,623,1
1365,624,624,1
1094,625,625,1
657,626,626,1
656,627,627,1
359,628,628,1
56,629,629,1
1772,630,630,1
1393,631,631,1
893,632,632,1
1407,633,633,1
1406,634,634,1
2438,635,635,1
2437,636,636,1
751,637,637,1
120,638,638,1
2061,639,639,1
970,640,640,1
969,641,641,1
968,642,642,1
2351,643,643,1
1650,644,644,1
1337,645,645,1
1336,646,646,1
737,647,647,1
129,648,648,1
716,649,649,1
659,650,650,1
556,651,651,1
2538,652,652,1
2355,653,653,1
1689,654,654,1
1163,655,655,1
940,656,656,1
685,657,657,1
613,658,658,1
356,659,659,1
2029,660,660,1
2028,661,661,1
2293,662,662,1
1105,663,663,1
1104,664,664,1
2145,665,665,1
1804,666,666,1
1602,667,667,1
1301,668,668,1
542,669,669,1
272,670,670,1
271,671,671,1
1057,672,672,1
681,673,673,1
1789,674,674,1
1788,675,675,1
1787,676,676,1
1786,677,677,1
1763,678,678,1
1311,679,679,1
2078,680,680,1
1809,681,681,1
1263,682,682,1
1092,683,683,1
851,684,684,1
186,685,685,1
185,686,686,1
184,687,687,1
1224,688,688,1
964,689,689,1
1623,690,690,1
110,691,691,1
1735,692,692,1
1734,693,693,1
1746,694,694,1
2371,695,695,1
2251,696,696,1
2166,697,697,1
1827,698,698,1
1203,699,699,1
1202,700,700,1
1161,701,701,1
946,702,702,1
943,703,703,1
1886,704,704,1
1885,705,705,1
1213,706,706,1
1159,707,707,1
947,708,708,1
929,709,709,1
1944,710,710,1
1943,711,711,1
1210,712,712,1
2550,713,713,1
2505,714,714,1
2025,715,715,1
2021,716,716,1
2015,717,717,1
1888,718,718,1
1887,719,719,1
2051,720,720,1
1201,721,721,1
924,722,722,1
731,723,723,1
730,724,724,1
647,725,725,1
1773,726,726,1
1795,727,727,1
944,728,728,1
524,729,729,1
450,730,730,1
449,731,731,1
448,732,732,1
447,733,733,1
446,734,734,1
1246,735,735,1
977,736,736,1
881,737,737,1
880,738,738,1
872,739,739,1
871,740,740,1
1685,741,741,1
457,742,742,1
1590,743,743,1
1382,744,744,1
1110,745,745,1
1014,746,746,1
911,747,747,1
680,748,748,1
395,749,749,1
1642,750,750,1
673,751,751,1
1107,752,752,1
1039,753,753,1
2477,754,754,1
2008,755,755,1
2004,756,756,1
2003,757,757,1
2292,758,758,1
1504,759,759,1
2604,760,760,1
2432,761,761,1
2431,762,762,1
2430,763,763,1
2429,764,764,1
1967,765,765,1
2283,766,766,1
2248,767,767,1
1287,768,768,1
1286,769,769,1
640,770,770,1
1722,771,771,1
1435,772,772,1
1434,773,773,1
2089,774,774,1
2088,775,775,1
1455,776,776,1
1454,777,777,1
1453,778,778,1
1452,779,779,1
1451,780,780,1
2191,781,781,1
1731,782,782,1
1022,783,783,1
895,784,784,1
682,785,785,1
112,786,786,1
2289,787,787,1
2027,788,788,1
1929,789,789,1
1858,790,790,1
2591,791,791,1
2590,792,792,1
1968,793,793,1
1981,794,794,1
1664,795,795,1
1663,796,796,1
1662,797,797,1
941,798,798,1
935,799,799,1
809,800,800,1
481,801,801,1
351,802,802,1
350,803,803,1
2569,804,804,1
2463,805,805,1
2462,806,806,1
1957,807,807,1
1733,808,808,1
2624,809,809,1
2284,810,810,1
1610,811,811,1
520,812,812,1
2554,813,813,1
608,814,814,1
607,815,815,1
2567,816,816,1
2566,817,817,1
1899,818,818,1
983,819,819,1
982,820,820,1
981,821,821,1
2111,822,822,1
2110,823,823,1
2172,824,824,1
2171,825,825,1
1911,826,826,1
1803,827,827,1
1566,828,828,1
1515,829,829,1
1214,830,830,1
674,831,831,1
562,832,832,1
552,833,833,1
319,834,834,1
318,835,835,1
2322,836,836,1
2661,837,837,1
2660,838,838,1
2659,839,839,1
2658,840,840,1
2625,841,841,1
1565,842,842,1
1223,843,843,1
1874,844,844,1
1873,845,845,1
1872,846,846,1
2613,847,847,1
2612,848,848,1
2611,849,849,1
2610,850,850,1
1657,851,851,1
2309,852,852,1
1635,853,853,1
1616,854,854,1
1585,855,855,1
358,856,856,1
179,857,857,1
178,858,858,1
2428,859,859,1
2427,860,860,1
2425,861,861,1
2424,862,862,1
1998,863,863,1
1556,864,864,1
1208,865,865,1
2527,866,866,1
2526,867,867,1
2525,868,868,1
2524,869,869,1
2523,870,870,1
2522,871,871,1
2521,872,872,1
2520,873,873,1
1174,874,874,1
1116,875,875,1
994,876,876,1
901,877,877,1
875,878,878,1
858,879,879,1
857,880,880,1
1300,881,881,1
1260,882,882,1
1259,883,883,1
2254,884,884,1
1658,885,885,1
2077,886,886,1
2076,887,887,1
2075,888,888,1
2426,889,889,1
2045,890,890,1
1960,891,891,1
1777,892,892,1
1698,893,893,1
1641,894,894,1
1490,895,895,1
1489,896,896,1
1399,897,897,1
1296,898,898,1
1034,899,899,1
991,900,900,1
750,901,901,1
749,902,902,1
549,903,903,1
548,904,904,1
2587,905,905,1
1109,906,906,1
1108,907,907,1
1000,908,908,1
312,909,909,1
311,910,910,1
309,911,911,1
308,912,912,1
2205,913,913,1
2198,914,914,1
2457,915,915,1
2202,916,916,1
2201,917,917,1
1829,918,918,1
581,919,919,1
1383,920,920,1
477,921,921,1
476,922,922,1
143,923,923,1
142,924,924,1
2129,925,925,1
2127,926,926,1
2126,927,927,1
2303,928,928,1
1990,929,929,1
1702,930,930,1
1701,931,931,1
1700,932,932,1
1699,933,933,1
1269,934,934,1
930,935,935,1
649,936,936,1
639,937,937,1
626,938,938,1
615,939,939,1
478,940,940,1
455,941,941,1
442,942,942,1
441,943,943,1
440,944,944,1
439,945,945,1
436,946,946,1
389,947,947,1
2650,948,948,1
2649,949,949,1
2648,950,950,1
2647,951,951,1
2646,952,952,1
2645,953,953,1
2644,954,954,1
2643,955,955,1
2642,956,956,1
404,957,957,1
164,958,958,1
