beer_name,abv,original_index,unique_index,count
Pub Beer,0.05,0,0,1.0
Devil's Cup,0.066,1,1,1.0
Rise of the Phoenix,0.071,2,2,1.0
Sinister,0.09%,3,3,1.0
Sex and Candy,0.075,4,4,1.0
Black Exodus,0.077,5,5,1.0
Lake Street Express,0.045%,6,6,1.0
Foreman,0.065,7,7,1.0
Jade,0.055,8,8,1.0
Cone Crusher,0.086,9,9,1.0
Sophomoric Saison,0.072,10,10,1.0
Regional Ring Of Fire,0.073,11,11,1.0
Garce Selé,0.069%,12,12,1.0
Troll Destroyer,0.085,13,13,1.0
Bitter Bitch,0.061%,14,14,1.0
Ginja Ninja,0.06,15,15,1.0
Cherried Away,0.06,16,16,1.0
Rhubarbarian,0.06,17,17,1.0
BrightCider,0.06,18,18,1.0
He Said Baltic-Style Porter,0.082,19,19,1.0
He Said Belgian-Style Tripel,0.082,20,20,1.0
Lower De Boom,0.099,21,21,1.0
Fireside Chat,0.079,22,22,1.0
Marooned On Hog Island,0.079,23,23,1.0
Bitter American,0.044,24,24,1.0
Hell or High Watermelon Wheat (2009),0.049,25,25,1.0
Hell or High Watermelon Wheat (2009),0.049%,26,26,1.0
21st Amendment Watermelon Wheat Beer (2006),0.049,27,27,1.0
21st Amendment IPA (2006),0.07,28,28,1.0
Brew Free! or Die IPA (2008),0.07%,29,29,1.0
Brew Free! or Die IPA (2009),0.07%,30,30,1.0
Special Edition: Allies Win The War!,0.085,31,31,1.0
Hop Crisis,0.097,32,32,1.0
Bitter American (2011),0.044,33,33,1.0
Fireside Chat (2010),0.079%,34,34,1.0
Back in Black,0.068%,35,35,1.0
Monk's Blood,0.083,36,36,1.0
Brew Free! or Die IPA,0.07,37,37,1.0
Hell or High Watermelon Wheat,0.049,38,38,1.0
Bimini Twist,0.07,39,39,1.0
Beach Blonde,0.05,40,40,1.0
Rod Bender Red,0.059,41,41,1.0
Passion Fruit Prussia,0.035,42,42,1.0
Send Help,0.045%,43,43,1.0
Cast Iron Oatmeal Brown,0.055%,44,44,1.0
Reprise Centennial Red,0.06,45,45,1.0
Alter Ego,0.055%,46,46,1.0
Divided Sky,0.065,47,47,1.0
Resurrected,0.065,48,48,1.0
Contact High,0.05,49,49,1.0
Galaxyfest,0.065,50,50,1.0
Citrafest,0.05,51,51,1.0
Barn Yeti,0.09,52,52,1.0
Scarecrow,0.069,53,53,1.0
Ironman,0.09%,54,54,1.0
Honey Kolsch,0.046%,55,55,1.0
Copperhead Amber,0.052000000000000005%,56,56,1.0
Rude Parrot IPA,0.059,57,57,1.0
British Pale Ale (2010),0.054,58,58,1.0
British Pale Ale,0.054,59,59,1.0
Ballz Deep Double IPA,0.084,60,60,1.0
Wolfman's Berliner,0.038,61,61,1.0
Colorado Native,0.055,62,62,1.0
Colorado Native (2011),0.055,63,63,1.0
Jockamo IPA,0.065,64,64,1.0
Purple Haze,0.042,65,65,1.0
Abita Amber,0.045,66,66,1.0
Citra Ass Down,0.082,67,67,1.0
The Brown Note,0.05,68,68,2.0
Citra Ass Down,0.08,69,69,1.0
London Balling,0.125%,70,70,1.0
35 K,0.077,71,71,1.0
A Beer,0.042,72,72,1.0
Rules are Rules,0.05,73,73,1.0
Flesh Gourd'n,0.066,74,74,1.0
Sho'nuff,0.04,75,75,1.0
Bloody Show,0.055,76,76,1.0
Rico Sauvin,0.076,77,77,1.0
Coq de la Marche,0.051%,78,78,1.0
Kamen Knuddeln,0.065%,79,79,1.0
Pile of Face,0.06,80,80,1.0
The Brown Note,0.05,81,68,2.0
Maylani's Coconut Stout,0.053,82,81,1.0
Oatmeal PSA,0.05,83,82,1.0
Pre Flight Pilsner,0.052,84,83,1.0
P-Town Pilsner,0.04,85,84,1.0
Klickitat Pale Ale,0.053,86,85,1.0
Yellow Wolf Imperial IPA,0.082,87,86,1.0
Freeride APA,0.053,88,87,1.0
Alaskan Amber,0.053,89,88,1.0
Hopalicious,0.057,90,89,1.0
Kentucky Kölsch,0.043,91,90,1.0
Kentucky IPA,0.065,92,91,1.0
Dusty Trail Pale Ale,0.054,93,92,1.0
Damnesia,0.062,94,93,1.0
Desolation IPA,0.062,95,94,1.0
Liberty Ale,0.059000000000000004%,96,95,1.0
IPA,0.065%,97,96,1.0
Summer Wheat,0.045%,98,97,1.0
California Lager,0.049,99,98,1.0
Brotherhood Steam,0.055999999999999994%,100,99,1.0
Blood Orange Gose,0.042,101,100,1.0
Keebarlin' Pale Ale,0.042,102,101,1.0
"the Kimmie, the Yink and the Holy Gose",0.048%,103,102,1.0
Fall Hornin',0.06,104,103,1.0
Barney Flats Oatmeal Stout,0.057,105,104,2.0
Summer Solstice,0.056,106,105,1.0
Hop Ottin' IPA,0.07,107,106,1.0
Boont Amber Ale,0.057999999999999996%,108,107,1.0
Barney Flats Oatmeal Stout,0.057,109,104,2.0
El Steinber Dark Lager,0.055,110,108,1.0
Boont Amber Ale (2010),0.057999999999999996%,111,109,1.0
Summer Solstice Cerveza Crema (2009),0.056,112,110,1.0
Barney Flats Oatmeal Stout (2012),0.057%,113,111,1.0
Winter Solstice,0.069%,114,112,1.0
Hop Ottin' IPA (2011),0.07,115,113,1.0
Boont Amber Ale (2011),0.058,116,114,1.0
Summer Solstice (2011),0.056,117,115,1.0
Poleeko Gold Pale Ale (2009),0.055,118,116,1.0
Charlie's Rye IPA,0.06,119,117,1.0
River Pig Pale Ale,0.054000000000000006%,120,118,1.0
Oaky's Oatmeal Stout,0.047%,121,119,1.0
Angry Orchard Apple Ginger,0.05,122,120,1.0
Angry Orchard Crisp Apple,0.05%,123,121,1.0
Angry Orchard Crisp Apple,0.05,124,122,1.0
Golden One,0.068,125,123,1.0
Arjuna,0.06,126,124,1.0
Uroboros,0.085%,127,125,1.0
Long Leaf,0.071,128,126,1.0
Honey Badger Blonde,0.047,129,127,1.0
Porter (a/k/a Black Gold Porter),0.06,130,128,1.0
Sky High Rye,0.06%,131,129,1.0
Whitsun,0.062,132,130,1.0
On-On Ale (2008),0.052,133,131,1.0
Quakertown Stout,0.092,134,132,1.0
Greenbelt Farmhouse Ale,0.051%,135,133,1.0
Mo's Gose,0.052,136,134,1.0
Green Bullet Organic India Pale Ale,0.07,137,135,1.0
Rocket Girl,0.032,138,136,1.0
Ninja Porter,0.053,139,137,1.0
Shiva IPA,0.06,140,138,1.0
Aslan Kölsch,0.048,141,139,1.0
Aslan IPA,0.077,142,140,1.0
Aslan Amber,0.077,143,141,1.0
This Season's Blonde,0.056,144,142,1.0
Independence Pass Ale,0.07%,145,143,1.0
Trolley Stop Stout,0.057,146,144,1.0
Bitter Bitch Imperial IPA,0.08199999999999999%,147,145,1.0
Poop Deck Porter,0.062,148,146,1.0
Old Red Beard Amber Ale,0.06,149,147,1.0
Hop A-Peel,0.075,150,148,1.0
Vanilla Java Porter,0.055%,151,149,1.0
Michelada,0.052,152,150,1.0
Dirty Blonde Ale,0.045,153,151,1.0
Grand Circus IPA,0.05%,154,152,1.0
Atwater's Lager,0.05,155,153,1.0
Heavy Machinery IPA Series #1: Heavy Fist,0.07,156,154,1.0
Fire Eagle IPA,0.062%,157,155,1.0
Peacemaker,0.051,158,156,1.0
Pearl-Snap,0.053,159,157,1.0
Black Thunder,0.052,160,158,1.0
Raja,0.08%,161,159,1.0
Perzik Saison,0.064,162,160,1.0
Avery Joe’s Premium American Pilsner,0.047,163,161,1.0
White Rascal,0.056,164,162,1.0
Avery India Pale Ale,0.063,165,163,1.0
Ellie’s Brown Ale,0.055,166,164,1.0
Pumpkin Beast,0.062,167,165,1.0
OktoberBeast,0.072,168,166,1.0
Mad Beach,0.048%,169,167,1.0
Hog Wild India Pale Ale,0.067,170,168,1.0
Devils Tramping Ground Tripel,0.092,171,169,1.0
Hot Rod Red,0.061,172,170,1.0
Palate Mallet,0.086,173,171,1.0
Back East Porter,0.06,174,172,1.0
Back East Golden Ale,0.049%,175,173,1.0
Misty Mountain IPA,0.07,176,174,1.0
Back East Ale,0.05,177,175,1.0
