beer_name,brewery_name,original_index,unique_index,count
Pub Beer,10 Barrel Brewing Company,0,0,1
Devil's Cup,18th Street Brewery,1,1,1
Rise of the Phoenix,18th Street Brewery,2,2,1
Sinister,18th Street Brewery,3,3,1
Sex and Candy,18th Street Brewery,4,4,1
Black Exodus,18th Street Brewery,5,5,1
Lake Street Express,18th Street Brewery,6,6,1
Foreman,18th Street Brewery,7,7,1
Jade,18th Street Brewery,8,8,1
Cone Crusher,18th Street Brewery,9,9,1
Sophomoric Saison,18th Street Brewery,10,10,1
Regional Ring Of Fire,18th Street Brewery,11,11,1
Garce Selé,18th Street Brewery,12,12,1
Troll Destroyer,18th Street Brewery,13,13,1
Bitter Bitch,18th Street Brewery,14,14,1
Ginja Ninja,2 Towns Ciderhouse,15,15,1
Cherried Away,2 Towns Ciderhouse,16,16,1
Rhubarbarian,2 Towns Ciderhouse,17,17,1
BrightCider,2 Towns Ciderhouse,18,18,1
He Said Baltic-Style Porter,21st Amendment Brewery,19,19,1
He Said Belgian-Style Tripel,21st Amendment Brewery,20,20,1
Lower De Boom,21st Amendment Brewery,21,21,1
Fireside Chat,21st Amendment Brewery,22,22,1
Marooned On Hog Island,21st Amendment Brewery,23,23,1
Bitter American,21st Amendment Brewery,24,24,1
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,25,25,2
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,26,25,2
21st Amendment Watermelon Wheat Beer (2006),21st Amendment Brewery,27,26,1
21st Amendment IPA (2006),21st Amendment Brewery,28,27,1
Brew Free! or Die IPA (2008),21st Amendment Brewery,29,28,1
Brew Free! or Die IPA (2009),21st Amendment Brewery,30,29,1
Special Edition: Allies Win The War!,21st Amendment Brewery,31,30,1
Hop Crisis,21st Amendment Brewery,32,31,1
Bitter American (2011),21st Amendment Brewery,33,32,1
Fireside Chat (2010),21st Amendment Brewery,34,33,1
Back in Black,21st Amendment Brewery,35,34,1
Monk's Blood,21st Amendment Brewery,36,35,1
Brew Free! or Die IPA,21st Amendment Brewery,37,36,1
Hell or High Watermelon Wheat,21st Amendment Brewery,38,37,1
Bimini Twist,3 Daughters Brewing,39,38,1
Beach Blonde,3 Daughters Brewing,40,39,1
Rod Bender Red,3 Daughters Brewing,41,40,1
Passion Fruit Prussia,4 Hands Brewing Company,42,41,1
Send Help,4 Hands Brewing Company,43,42,1
Cast Iron Oatmeal Brown,4 Hands Brewing Company,44,43,1
Reprise Centennial Red,4 Hands Brewing Company,45,44,1
Alter Ego,4 Hands Brewing Company,46,45,1
Divided Sky,4 Hands Brewing Company,47,46,1
Resurrected,4 Hands Brewing Company,48,47,1
Contact High,4 Hands Brewing Company,49,48,1
Galaxyfest,450 North Brewing Company,50,49,1
Citrafest,450 North Brewing Company,51,50,1
Barn Yeti,450 North Brewing Company,52,51,1
Scarecrow,450 North Brewing Company,53,52,1
Ironman,450 North Brewing Company,54,53,1
Honey Kolsch,450 North Brewing Company,55,54,1
Copperhead Amber,450 North Brewing Company,56,55,1
Rude Parrot IPA,7 Seas Brewing Company,57,56,1
British Pale Ale (2010),7 Seas Brewing Company,58,57,1
