beer_name,ounces,original_index,unique_index,count
Pub Beer,12.0 oz,0,0,1
Devil's Cup,12.0 oz.,1,1,1
Rise of the Phoenix,12.0 ounce,2,2,1
Sinister,12.0 oz,3,3,1
Sex and Candy,12.0 OZ.,4,4,1
Black Exodus,12.0 oz,5,5,1
Lake Street Express,12.0 oz.,6,6,1
Foreman,12.0 ounce,7,7,1
Jade,12.0 oz.,8,8,1
Cone Crusher,12.0 ounce,9,9,1
Sophomoric Saison,12.0 oz.,10,10,1
Regional Ring Of Fire,12.0 oz.,11,11,1
Garce Selé,12.0 OZ.,12,12,1
Troll Destroyer,12.0 oz.,13,13,1
Bitter Bitch,12.0 ounce,14,14,1
Ginja Ninja,12.0 ounce,15,15,1
Cherried Away,12.0 oz.,16,16,1
Rhubarbarian,12.0 oz. Alumi-Tek,17,17,1
BrightCider,12.0 ounce,18,18,1
He Said Baltic-Style Porter,12.0 oz.,19,19,1
He Said Belgian-Style Tripel,12.0 oz.,20,20,1
Lower De Boom,8.4 ounce,21,21,1
Fireside Chat,12.0 OZ.,22,22,1
Marooned On Hog Island,12.0 oz.,23,23,1
Bitter American,12.0 oz,24,24,1
Hell or High Watermelon Wheat (2009),12.0 ounce,25,25,1
Hell or High Watermelon Wheat (2009),12.0 oz.,26,26,1
21st Amendment Watermelon Wheat Beer (2006),12.0 oz.,27,27,1
21st Amendment IPA (2006),12.0 oz.,28,28,1
Brew Free! or Die IPA (2008),12.0 OZ.,29,29,1
Brew Free! or Die IPA (2009),12.0 oz.,30,30,1
Special Edition: Allies Win The War!,12.0 oz.,31,31,1
Hop Crisis,12.0 oz.,32,32,1
Bitter American (2011),12.0 oz,33,33,1
Fireside Chat (2010),12.0 ounce,34,34,1
Back in Black,12.0 ounce,35,35,1
Monk's Blood,12.0 OZ.,36,36,1
Brew Free! or Die IPA,12.0 oz.,37,37,1
Hell or High Watermelon Wheat,12.0 oz.,38,38,1
Bimini Twist,12.0 ounce,39,39,1
Beach Blonde,12.0 oz.,40,40,1
Rod Bender Red,12.0 oz.,41,41,1
Passion Fruit Prussia,12.0 oz,42,42,1
Send Help,12.0 oz,43,43,1
Cast Iron Oatmeal Brown,12.0 oz,44,44,1
Reprise Centennial Red,12.0 oz.,45,45,1
Alter Ego,12.0 oz.,46,46,1
Divided Sky,12.0 oz,47,47,1
Resurrected,12.0 oz.,48,48,1
Contact High,12.0 oz.,49,49,1
Galaxyfest,16.0 ounce,50,50,1
Citrafest,16.0 ounce,51,51,1
Barn Yeti,16.0 oz.,52,52,1
Scarecrow,16.0 oz.,53,53,1
Ironman,16.0 oz. Alumi-Tek,54,54,1
Honey Kolsch,16.0 ounce,55,55,1
Copperhead Amber,16.0 oz,56,56,1
Rude Parrot IPA,16.0 oz,57,57,1
British Pale Ale (2010),16.0 oz,58,58,1
British Pale Ale,16.0 ounce,59,59,1
Ballz Deep Double IPA,16.0 oz.,60,60,1
Wolfman's Berliner,12.0 oz.,61,61,1
Colorado Native,12.0 oz,62,62,1
Colorado Native (2011),12.0 ounce,63,63,1
Jockamo IPA,12.0 oz.,64,64,1
Purple Haze,12.0 oz,65,65,1
Abita Amber,12.0 oz.,66,66,1
Citra Ass Down,16.0 ounce,67,67,2
The Brown Note,16.0 ounce,68,68,1
Citra Ass Down,16.0 ounce,69,67,2
London Balling,16.0 oz.,70,69,1
35 K,16.0 OZ.,71,70,1
A Beer,16.0 oz.,72,71,1
Rules are Rules,16.0 oz,73,72,1
Flesh Gourd'n,16.0 ounce,74,73,1
Sho'nuff,16.0 oz,75,74,1
Bloody Show,16.0 oz.,76,75,1
Rico Sauvin,16.0 ounce,77,76,1
Coq de la Marche,16.0 OZ.,78,77,1
Kamen Knuddeln,16.0 ounce,79,78,1
Pile of Face,16.0 oz.,80,79,1
The Brown Note,16.0 oz,81,80,1
Maylani's Coconut Stout,16.0 ounce,82,81,1
Oatmeal PSA,16.0 OZ.,83,82,1
Pre Flight Pilsner,16.0 oz.,84,83,1
P-Town Pilsner,12.0 OZ.,85,84,1
Klickitat Pale Ale,12.0 oz. Alumi-Tek,86,85,1
Yellow Wolf Imperial IPA,12.0 oz,87,86,1
Freeride APA,12.0 oz.,88,87,1
Alaskan Amber,12.0 OZ.,89,88,1
Hopalicious,12.0 OZ.,90,89,1
Kentucky Kölsch,16.0 oz,91,90,1
Kentucky IPA,16.0 OZ.,92,91,1
Dusty Trail Pale Ale,16.0 oz. Alumi-Tek,93,92,1
Damnesia,16.0 oz,94,93,1
Desolation IPA,16.0 ounce,95,94,1
Liberty Ale,12.0 oz. Alumi-Tek,96,95,1
IPA,12.0 ounce,97,96,1
Summer Wheat,12.0 oz,98,97,1
California Lager,12.0 oz.,99,98,1
Brotherhood Steam,12.0 ounce,100,99,1
Blood Orange Gose,12.0 oz.,101,100,1
Keebarlin' Pale Ale,12.0 oz,102,101,1
"the Kimmie, the Yink and the Holy Gose",12.0 oz.,103,102,1
Fall Hornin',12.0 oz,104,103,1
Barney Flats Oatmeal Stout,12.0 ounce,105,104,1
Summer Solstice,12.0 ounce,106,105,1
Hop Ottin' IPA,12.0 oz,107,106,1
Boont Amber Ale,12.0 oz.,108,107,1
Barney Flats Oatmeal Stout,12.0 oz. Alumi-Tek,109,108,1
El Steinber Dark Lager,16.0 oz,110,109,1
Boont Amber Ale (2010),12.0 oz.,111,110,1
Summer Solstice Cerveza Crema (2009),12.0 oz,112,111,1
Barney Flats Oatmeal Stout (2012),12.0 oz,113,112,1
Winter Solstice,12.0 ounce,114,113,1
Hop Ottin' IPA (2011),12.0 ounce,115,114,1
Boont Amber Ale (2011),12.0 ounce,116,115,1
Summer Solstice (2011),12.0 oz.,117,116,1
Poleeko Gold Pale Ale (2009),12.0 oz.,118,117,1
Charlie's Rye IPA,16.0 ounce,119,118,1
River Pig Pale Ale,16.0 oz,120,119,1
Oaky's Oatmeal Stout,16.0 oz.,121,120,1
Angry Orchard Apple Ginger,16.0 oz.,122,121,1
Angry Orchard Crisp Apple,16.0 oz.,123,122,1
Angry Orchard Crisp Apple,12.0 OZ.,124,123,1
Golden One,12.0 oz.,125,124,1
Arjuna,12.0 ounce,126,125,1
Uroboros,12.0 OZ.,127,126,1
Long Leaf,16.0 oz.,128,127,1
Honey Badger Blonde,16.0 oz. Alumi-Tek,129,128,1
Porter (a/k/a Black Gold Porter),16.0 ounce,130,129,1
Sky High Rye,12.0 oz. Silo Can,131,130,1
Whitsun,12.0 oz.,132,131,1
On-On Ale (2008),12.0 oz,133,132,1
Quakertown Stout,12.0 ounce,134,133,1
Greenbelt Farmhouse Ale,12.0 oz.,135,134,1
Mo's Gose,16.0 oz,136,135,1
Green Bullet Organic India Pale Ale,16.0 oz.,137,136,1
Rocket Girl,12.0 oz,138,137,1
Ninja Porter,12.0 oz,139,138,1
Shiva IPA,12.0 oz.,140,139,1
Aslan Kölsch,16.0 ounce,141,140,1
Aslan IPA,16.0 oz. Alumi-Tek,142,141,1
Aslan Amber,16.0 oz. Silo Can,143,142,1
This Season's Blonde,12.0 oz.,144,143,1
Independence Pass Ale,12.0 oz,145,144,1
Trolley Stop Stout,12.0 oz.,146,145,1
Bitter Bitch Imperial IPA,12.0 oz.,147,146,1
Poop Deck Porter,12.0 ounce,148,147,1
Old Red Beard Amber Ale,12.0 OZ.,149,148,1
Hop A-Peel,16.0 ounce,150,149,1
Vanilla Java Porter,16.0 oz.,151,150,1
Michelada,16.0 oz,152,151,1
Dirty Blonde Ale,12.0 oz.,153,152,1
Grand Circus IPA,12.0 oz,154,153,1
Atwater's Lager,12.0 oz.,155,154,1
Heavy Machinery IPA Series #1: Heavy Fist,16.0 oz,156,155,1
Fire Eagle IPA,12.0 OZ.,157,156,1
Peacemaker,12.0 oz,158,157,1
Pearl-Snap,12.0 oz.,159,158,1
Black Thunder,12.0 ounce,160,159,1
Raja,12.0 oz.,161,160,1
Perzik Saison,12.0 oz.,162,161,1
Avery Joe’s Premium American Pilsner,12.0 oz.,163,162,1
White Rascal,12.0 oz.,164,163,1
Avery India Pale Ale,12.0 oz,165,164,1
