ounces,brewery_id,original_index,unique_index,count
12.0 oz,408,0,0,1
12.0 oz.,177,1,1,6
12.0 ounce,177,2,2,4
12.0 oz,177,3,3,2
12.0 OZ.,177,4,4,2
12.0 oz,177,5,3,2
12.0 oz.,177,6,1,6
12.0 ounce,177,7,2,4
12.0 oz.,177,8,1,6
12.0 ounce,177,9,2,4
12.0 oz.,177,10,1,6
12.0 oz.,177,11,1,6
12.0 OZ.,177,12,4,2
12.0 oz.,177,13,1,6
12.0 ounce,177,14,2,4
12.0 ounce,154,15,5,2
12.0 oz.,154,16,6,1
12.0 oz. Alumi-Tek,154,17,7,1
12.0 ounce,154,18,5,2
12.0 oz.,368,19,8,11
12.0 oz.,368,20,8,11
8.4 ounce,368,21,9,1
12.0 OZ.,368,22,10,3
12.0 oz.,368,23,8,11
12.0 oz,368,24,11,2
12.0 ounce,368,25,12,3
12.0 oz.,368,26,8,11
12.0 oz.,368,27,8,11
12.0 oz.,368,28,8,11
12.0 OZ.,368,29,10,3
12.0 oz.,368,30,8,11
12.0 oz.,368,31,8,11
12.0 oz.,368,32,8,11
12.0 oz,368,33,11,2
12.0 ounce,368,34,12,3
12.0 ounce,368,35,12,3
12.0 OZ.,368,36,10,3
12.0 oz.,368,37,8,11
12.0 oz.,368,38,8,11
12.0 ounce,67,39,13,1
12.0 oz.,67,40,14,2
12.0 oz.,67,41,14,2
12.0 oz,60,42,15,4
12.0 oz,60,43,15,4
12.0 oz,60,44,15,4
12.0 oz.,60,45,16,4
12.0 oz.,60,46,16,4
12.0 oz,60,47,15,4
12.0 oz.,60,48,16,4
12.0 oz.,60,49,16,4
16.0 ounce,27,50,17,3
16.0 ounce,27,51,17,3
16.0 oz.,27,52,18,2
16.0 oz.,27,53,18,2
16.0 oz. Alumi-Tek,27,54,19,1
16.0 ounce,27,55,17,3
16.0 oz,27,56,20,1
16.0 oz,481,57,21,2
16.0 oz,481,58,21,2
16.0 ounce,481,59,22,1
16.0 oz.,481,60,23,1
12.0 oz.,373,61,24,1
12.0 oz,462,62,25,1
12.0 ounce,462,63,26,1
12.0 oz.,533,64,27,2
12.0 oz,533,65,28,1
12.0 oz.,533,66,27,2
16.0 ounce,62,67,29,2
16.0 ounce,62,68,29,2
16.0 ounce,1,69,30,4
16.0 oz.,1,70,31,4
16.0 OZ.,1,71,32,2
16.0 oz.,1,72,31,4
16.0 oz,1,73,33,3
