CountyName,original_index,unique_index,count
jefferson,0,0,99
jefferson,1,0,99
jefferson,2,0,99
jefferson,3,0,99
jefferson,4,0,99
jefferson,5,0,99
jefferson,6,0,99
jefferson,7,0,99
jefferson,8,0,99
jefferson,9,0,99
jefferson,10,0,99
jefferson,11,0,99
jefferson,12,0,99
jefferson,13,0,99
jefferson,14,0,99
jefferson,15,0,99
jefferson,16,0,99
jefferson,17,0,99
jefferson,18,0,99
houston,19,1,41
houston,20,1,41
houston,21,1,41
houston,22,1,41
houston,23,1,41
houston,24,1,41
houston,25,1,41
houston,26,1,41
houston,27,1,41
houston,28,1,41
houston,29,1,41
houston,30,1,41
houston,31,1,41
houston,32,1,41
houston,33,1,41
houston,34,1,41
houston,35,1,41
houston,36,1,41
houston,37,1,41
houston,38,1,41
houston,39,1,41
houston,40,1,41
houston,41,1,41
houston,42,1,41
houston,43,1,41
marshall,44,2,49
marshall,45,2,49
marshall,46,2,49
marshall,47,2,49
marshall,48,2,49
marshall,49,2,49
marshall,50,2,49
marshall,51,2,49
marshall,52,2,49
marshall,53,2,49
marshall,54,2,49
marshall,55,2,49
marshall,56,2,49
marshall,57,2,49
marshall,58,2,49
marshall,59,2,49
marshall,60,2,49
marshall,61,2,49
marshall,62,2,49
marshall,63,2,49
marshall,64,2,49
marshall,65,2,49
marshall,66,2,49
mxrshxll,67,3,1
marshall,68,2,49
lauderdale,69,4,23
lauderdale,70,4,23
lauderdale,71,4,23
laudxrdalx,72,5,1
lauderdale,73,4,23
lauderdale,74,4,23
lauderdale,75,4,23
lauderdale,76,4,23
laudexdale,77,6,1
lauderdale,78,4,23
lauderdale,79,4,23
lauderdale,80,4,23
lauderdale,81,4,23
lauderdale,82,4,23
lauderdale,83,4,23
lauderdale,84,4,23
lauderdale,85,4,23
lauderdale,86,4,23
lauderdale,87,4,23
lauderdale,88,4,23
lauderdale,89,4,23
lauderdale,90,4,23
lauderdale,91,4,23
lauderdale,92,4,23
lauderdale,93,4,23
covington,94,7,49
covington,95,7,49
covington,96,7,49
covington,97,7,49
covington,98,7,49
covington,99,7,49
covington,100,7,49
covington,101,7,49
covington,102,7,49
covington,103,7,49
covington,104,7,49
covington,105,7,49
covington,106,7,49
covington,107,7,49
covington,108,7,49
covington,109,7,49
covington,110,7,49
covington,111,7,49
covington,112,7,49
covington,113,7,49
covington,114,7,49
covington,115,7,49
covington,116,7,49
covington,117,7,49
covington,118,7,49
crenshaw,119,8,24
crenshaw,120,8,24
crenshaw,121,8,24
crenshaw,122,8,24
crenshaw,123,8,24
crenshaw,124,8,24
crenshaw,125,8,24
crenshaw,126,8,24
crenshaw,127,8,24
crenshaw,128,8,24
crenshaw,129,8,24
crenshaw,130,8,24
crenshaw,131,8,24
crenshaw,132,8,24
crenshaw,133,8,24
crenshaw,134,8,24
crenshaw,135,8,24
crxnshaw,136,9,1
crenshaw,137,8,24
crenshaw,138,8,24
crenshaw,139,8,24
crenshaw,140,8,24
crenshaw,141,8,24
crenshaw,142,8,24
crenshaw,143,8,24
morgan,144,10,26
morgan,145,10,26
morgan,146,10,26
morgan,147,10,26
morgan,148,10,26
morgan,149,10,26
morgan,150,10,26
morgan,151,10,26
morgan,152,10,26
morgan,153,10,26
morgan,154,10,26
morgan,155,10,26
morgan,156,10,26
morgan,157,10,26
morgan,158,10,26
morgan,159,10,26
morgan,160,10,26
morgan,161,10,26
morgan,162,10,26
morgan,163,10,26
morgan,164,10,26
morgan,165,10,26
morgan,166,10,26
morgan,167,10,26
morgan,168,10,26
marshall,169,2,49
marshall,170,2,49
marshall,171,2,49
marshall,172,2,49
marshall,173,2,49
marshall,174,2,49
marshall,175,2,49
marshall,176,2,49
marshall,177,2,49
marshall,178,2,49
marshall,179,2,49
marshall,180,2,49
marshall,181,2,49
marshall,182,2,49
marshall,183,2,49
marshall,184,2,49
marshall,185,2,49
marshall,186,2,49
marshall,187,2,49
marshall,188,2,49
marshall,189,2,49
marshall,190,2,49
marshall,191,2,49
marshall,192,2,49
marshall,193,2,49
jefferson,194,0,99
jefferson,195,0,99
jefferson,196,0,99
jefferson,197,0,99
jefferson,198,0,99
jefferson,199,0,99
