EmergencyService,original_index,unique_index,count
yes,0,0,830
yes,1,0,830
yes,2,0,830
yes,3,0,830
yes,4,0,830
yes,5,0,830
yes,6,0,830
yes,7,0,830
yes,8,0,830
yes,9,0,830
yes,10,0,830
yes,11,0,830
yes,12,0,830
yes,13,0,830
yes,14,0,830
yes,15,0,830
yes,16,0,830
yes,17,0,830
yes,18,0,830
yes,19,0,830
yes,20,0,830
yes,21,0,830
yes,22,0,830
yes,23,0,830
yxs,24,1,11
yes,25,0,830
yes,26,0,830
yes,27,0,830
yes,28,0,830
yes,29,0,830
yes,30,0,830
yes,31,0,830
yes,32,0,830
yes,33,0,830
yes,34,0,830
yes,35,0,830
yes,36,0,830
yes,37,0,830
yes,38,0,830
yes,39,0,830
yes,40,0,830
yes,41,0,830
yes,42,0,830
yex,43,2,9
yes,44,0,830
yes,45,0,830
yes,46,0,830
yes,47,0,830
yes,48,0,830
yes,49,0,830
yes,50,0,830
yxs,51,1,11
yes,52,0,830
yes,53,0,830
yes,54,0,830
yes,55,0,830
yes,56,0,830
yes,57,0,830
yes,58,0,830
yes,59,0,830
yes,60,0,830
yes,61,0,830
yes,62,0,830
yes,63,0,830
yes,64,0,830
yes,65,0,830
yes,66,0,830
yes,67,0,830
yes,68,0,830
yes,69,0,830
yes,70,0,830
yes,71,0,830
yes,72,0,830
yes,73,0,830
yes,74,0,830
yes,75,0,830
yes,76,0,830
yes,77,0,830
yes,78,0,830
yes,79,0,830
yes,80,0,830
yes,81,0,830
yes,82,0,830
yes,83,0,830
yes,84,0,830
yes,85,0,830
yes,86,0,830
yes,87,0,830
yes,88,0,830
yes,89,0,830
yes,90,0,830
yes,91,0,830
yes,92,0,830
yes,93,0,830
no,94,3,143
no,95,3,143
no,96,3,143
no,97,3,143
no,98,3,143
no,99,3,143
no,100,3,143
no,101,3,143
no,102,3,143
no,103,3,143
no,104,3,143
no,105,3,143
no,106,3,143
no,107,3,143
no,108,3,143
no,109,3,143
no,110,3,143
no,111,3,143
no,112,3,143
no,113,3,143
no,114,3,143
no,115,3,143
no,116,3,143
no,117,3,143
no,118,3,143
yes,119,0,830
yes,120,0,830
yes,121,0,830
yes,122,0,830
yes,123,0,830
yes,124,0,830
yes,125,0,830
yes,126,0,830
yes,127,0,830
yes,128,0,830
yes,129,0,830
yes,130,0,830
yes,131,0,830
yes,132,0,830
yes,133,0,830
yes,134,0,830
yes,135,0,830
yes,136,0,830
yes,137,0,830
yes,138,0,830
yes,139,0,830
yes,140,0,830
yes,141,0,830
yes,142,0,830
yes,143,0,830
yes,144,0,830
yes,145,0,830
yes,146,0,830
yes,147,0,830
yes,148,0,830
yes,149,0,830
yes,150,0,830
yes,151,0,830
yes,152,0,830
yes,153,0,830
yes,154,0,830
yes,155,0,830
yes,156,0,830
yxs,157,1,11
yes,158,0,830
yes,159,0,830
yes,160,0,830
yes,161,0,830
yes,162,0,830
yes,163,0,830
yes,164,0,830
yes,165,0,830
yes,166,0,830
yes,167,0,830
yes,168,0,830
yes,169,0,830
yes,170,0,830
yes,171,0,830
yes,172,0,830
yes,173,0,830
yes,174,0,830
yes,175,0,830
yes,176,0,830
yes,177,0,830
yes,178,0,830
yes,179,0,830
yes,180,0,830
yes,181,0,830
yes,182,0,830
yes,183,0,830
yes,184,0,830
yes,185,0,830
yes,186,0,830
yes,187,0,830
yes,188,0,830
yes,189,0,830
yes,190,0,830
yes,191,0,830
yes,192,0,830
yes,193,0,830
yes,194,0,830
yes,195,0,830
yes,196,0,830
yes,197,0,830
yes,198,0,830
yes,199,0,830
yes,200,0,830
yes,201,0,830
yes,202,0,830
yes,203,0,830
yes,204,0,830
yes,205,0,830
yes,206,0,830
yes,207,0,830
yes,208,0,830
yes,209,0,830
yes,210,0,830
yes,211,0,830
yes,212,0,830
yes,213,0,830
yes,214,0,830
yes,215,0,830
yes,216,0,830
yes,217,0,830
yes,218,0,830
yes,219,0,830
yes,220,0,830
