State,original_index,unique_index,count
al,0,0,954
al,1,0,954
al,2,0,954
al,3,0,954
al,4,0,954
al,5,0,954
al,6,0,954
al,7,0,954
al,8,0,954
al,9,0,954
al,10,0,954
al,11,0,954
al,12,0,954
al,13,0,954
al,14,0,954
al,15,0,954
al,16,0,954
al,17,0,954
al,18,0,954
al,19,0,954
al,20,0,954
al,21,0,954
al,22,0,954
al,23,0,954
al,24,0,954
al,25,0,954
al,26,0,954
al,27,0,954
al,28,0,954
al,29,0,954
al,30,0,954
al,31,0,954
al,32,0,954
al,33,0,954
al,34,0,954
al,35,0,954
al,36,0,954
al,37,0,954
al,38,0,954
al,39,0,954
al,40,0,954
al,41,0,954
xl,42,1,16
al,43,0,954
al,44,0,954
al,45,0,954
xl,46,1,16
al,47,0,954
al,48,0,954
al,49,0,954
xl,50,1,16
al,51,0,954
al,52,0,954
al,53,0,954
al,54,0,954
al,55,0,954
al,56,0,954
al,57,0,954
al,58,0,954
al,59,0,954
al,60,0,954
al,61,0,954
al,62,0,954
al,63,0,954
al,64,0,954
al,65,0,954
al,66,0,954
al,67,0,954
al,68,0,954
al,69,0,954
al,70,0,954
al,71,0,954
al,72,0,954
al,73,0,954
al,74,0,954
al,75,0,954
al,76,0,954
al,77,0,954
al,78,0,954
al,79,0,954
al,80,0,954
al,81,0,954
al,82,0,954
xl,83,1,16
al,84,0,954
al,85,0,954
al,86,0,954
al,87,0,954
al,88,0,954
al,89,0,954
al,90,0,954
al,91,0,954
al,92,0,954
al,93,0,954
al,94,0,954
al,95,0,954
al,96,0,954
al,97,0,954
xl,98,1,16
al,99,0,954
al,100,0,954
al,101,0,954
al,102,0,954
al,103,0,954
al,104,0,954
al,105,0,954
al,106,0,954
al,107,0,954
al,108,0,954
al,109,0,954
al,110,0,954
al,111,0,954
al,112,0,954
al,113,0,954
al,114,0,954
al,115,0,954
al,116,0,954
al,117,0,954
al,118,0,954
ax,119,2,10
al,120,0,954
al,121,0,954
al,122,0,954
al,123,0,954
al,124,0,954
al,125,0,954
al,126,0,954
al,127,0,954
al,128,0,954
al,129,0,954
al,130,0,954
al,131,0,954
al,132,0,954
al,133,0,954
al,134,0,954
al,135,0,954
al,136,0,954
al,137,0,954
al,138,0,954
al,139,0,954
ax,140,2,10
al,141,0,954
al,142,0,954
al,143,0,954
al,144,0,954
al,145,0,954
al,146,0,954
al,147,0,954
al,148,0,954
al,149,0,954
al,150,0,954
al,151,0,954
al,152,0,954
al,153,0,954
al,154,0,954
al,155,0,954
al,156,0,954
al,157,0,954
al,158,0,954
al,159,0,954
al,160,0,954
al,161,0,954
al,162,0,954
al,163,0,954
al,164,0,954
ax,165,2,10
al,166,0,954
al,167,0,954
al,168,0,954
al,169,0,954
al,170,0,954
al,171,0,954
al,172,0,954
al,173,0,954
al,174,0,954
al,175,0,954
al,176,0,954
al,177,0,954
al,178,0,954
al,179,0,954
al,180,0,954
al,181,0,954
xl,182,1,16
al,183,0,954
al,184,0,954
al,185,0,954
al,186,0,954
al,187,0,954
al,188,0,954
al,189,0,954
al,190,0,954
al,191,0,954
al,192,0,954
al,193,0,954
al,194,0,954
al,195,0,954
al,196,0,954
al,197,0,954
al,198,0,954
al,199,0,954
al,200,0,954
al,201,0,954
al,202,0,954
al,203,0,954
al,204,0,954
al,205,0,954
al,206,0,954
al,207,0,954
al,208,0,954
al,209,0,954
al,210,0,954
al,211,0,954
al,212,0,954
al,213,0,954
al,214,0,954
al,215,0,954
al,216,0,954
al,217,0,954
al,218,0,954
al,219,0,954
al,220,0,954
al,221,0,954
al,222,0,954
al,223,0,954
al,224,0,954
al,225,0,954
al,226,0,954
al,227,0,954
ax,228,2,10
al,229,0,954
al,230,0,954
al,231,0,954
al,232,0,954
al,233,0,954
al,234,0,954
al,235,0,954
al,236,0,954
al,237,0,954
al,238,0,954
al,239,0,954
al,240,0,954
al,241,0,954
al,242,0,954
al,243,0,954
al,244,0,954
al,245,0,954
al,246,0,954
al,247,0,954
al,248,0,954
al,249,0,954
al,250,0,954
al,251,0,954
al,252,0,954
al,253,0,954
al,254,0,954
al,255,0,954
al,256,0,954
al,257,0,954
al,258,0,954
al,259,0,954
al,260,0,954
al,261,0,954
al,262,0,954
al,263,0,954
al,264,0,954
al,265,0,954
al,266,0,954
al,267,0,954
al,268,0,954
al,269,0,954
al,270,0,954
al,271,0,954
al,272,0,954
al,273,0,954
al,274,0,954
al,275,0,954
al,276,0,954
al,277,0,954
xl,278,1,16
al,279,0,954
al,280,0,954
al,281,0,954
al,282,0,954
al,283,0,954
al,284,0,954
al,285,0,954
al,286,0,954
al,287,0,954
al,288,0,954
al,289,0,954
al,290,0,954
al,291,0,954
al,292,0,954
al,293,0,954
al,294,0,954
al,295,0,954
al,296,0,954
al,297,0,954
al,298,0,954
al,299,0,954
al,300,0,954
al,301,0,954
al,302,0,954
al,303,0,954
al,304,0,954
al,305,0,954
al,306,0,954
al,307,0,954
al,308,0,954
al,309,0,954
al,310,0,954
al,311,0,954
al,312,0,954
al,313,0,954
al,314,0,954
al,315,0,954
al,316,0,954
al,317,0,954
al,318,0,954
al,319,0,954
al,320,0,954
al,321,0,954
al,322,0,954
al,323,0,954
al,324,0,954
al,325,0,954
al,326,0,954
al,327,0,954
al,328,0,954
al,329,0,954
al,330,0,954
al,331,0,954
al,332,0,954
al,333,0,954
al,334,0,954
al,335,0,954
al,336,0,954
al,337,0,954
al,338,0,954
al,339,0,954
al,340,0,954
al,341,0,954
al,342,0,954
al,343,0,954
al,344,0,954
al,345,0,954
al,346,0,954
al,347,0,954
al,348,0,954
al,349,0,954
al,350,0,954
al,351,0,954
al,352,0,954
al,353,0,954
al,354,0,954
al,355,0,954
ax,356,2,10
al,357,0,954
al,358,0,954
al,359,0,954
al,360,0,954
al,361,0,954
al,362,0,954
al,363,0,954
al,364,0,954
al,365,0,954
al,366,0,954
al,367,0,954
al,368,0,954
al,369,0,954
al,370,0,954
al,371,0,954
al,372,0,954
al,373,0,954
al,374,0,954
al,375,0,954
al,376,0,954
al,377,0,954
al,378,0,954
al,379,0,954
al,380,0,954
al,381,0,954
al,382,0,954
al,383,0,954
al,384,0,954
al,385,0,954
xl,386,1,16
al,387,0,954
al,388,0,954
al,389,0,954
al,390,0,954
al,391,0,954
al,392,0,954
al,393,0,954
al,394,0,954
al,395,0,954
al,396,0,954
al,397,0,954
al,398,0,954
al,399,0,954
al,400,0,954
al,401,0,954
ax,402,2,10
al,403,0,954
al,404,0,954
al,405,0,954
al,406,0,954
al,407,0,954
al,408,0,954
al,409,0,954
al,410,0,954
al,411,0,954
al,412,0,954
al,413,0,954
al,414,0,954
al,415,0,954
al,416,0,954
al,417,0,954
al,418,0,954
al,419,0,954
al,420,0,954
al,421,0,954
al,422,0,954
al,423,0,954
al,424,0,954
al,425,0,954
al,426,0,954
al,427,0,954
al,428,0,954
al,429,0,954
al,430,0,954
al,431,0,954
ak,432,3,20
ak,433,3,20
ak,434,3,20
ak,435,3,20
ak,436,3,20
ak,437,3,20
ak,438,3,20
ak,439,3,20
ak,440,3,20
ak,441,3,20
ak,442,3,20
ak,443,3,20
ak,444,3,20
ak,445,3,20
ak,446,3,20
ak,447,3,20
ak,448,3,20
ak,449,3,20
ak,450,3,20
ak,451,3,20
al,452,0,954
al,453,0,954
al,454,0,954
al,455,0,954
al,456,0,954
al,457,0,954
al,458,0,954
al,459,0,954
al,460,0,954
al,461,0,954
al,462,0,954
al,463,0,954
al,464,0,954
al,465,0,954
al,466,0,954
al,467,0,954
al,468,0,954
al,469,0,954
al,470,0,954
al,471,0,954
al,472,0,954
al,473,0,954
al,474,0,954
al,475,0,954
al,476,0,954
xl,477,1,16
al,478,0,954
al,479,0,954
al,480,0,954
al,481,0,954
al,482,0,954
xl,483,1,16
al,484,0,954
al,485,0,954
al,486,0,954
al,487,0,954
al,488,0,954
al,489,0,954
al,490,0,954
al,491,0,954
al,492,0,954
al,493,0,954
al,494,0,954
al,495,0,954
al,496,0,954
al,497,0,954
al,498,0,954
al,499,0,954
al,500,0,954
al,501,0,954
al,502,0,954
al,503,0,954
ax,504,2,10
al,505,0,954
al,506,0,954
al,507,0,954
al,508,0,954
al,509,0,954
al,510,0,954
al,511,0,954
al,512,0,954
al,513,0,954
al,514,0,954
al,515,0,954
al,516,0,954
al,517,0,954
al,518,0,954
al,519,0,954
al,520,0,954
al,521,0,954
al,522,0,954
al,523,0,954
al,524,0,954
al,525,0,954
al,526,0,954
al,527,0,954
al,528,0,954
al,529,0,954
al,530,0,954
al,531,0,954
al,532,0,954
al,533,0,954
al,534,0,954
al,535,0,954
al,536,0,954
al,537,0,954
al,538,0,954
al,539,0,954
al,540,0,954
al,541,0,954
al,542,0,954
al,543,0,954
al,544,0,954
al,545,0,954
al,546,0,954
al,547,0,954
al,548,0,954
al,549,0,954
al,550,0,954
al,551,0,954
al,552,0,954
al,553,0,954
al,554,0,954
al,555,0,954
al,556,0,954
al,557,0,954
al,558,0,954
xl,559,1,16
al,560,0,954
al,561,0,954
al,562,0,954
al,563,0,954
al,564,0,954
al,565,0,954
al,566,0,954
al,567,0,954
al,568,0,954
al,569,0,954
al,570,0,954
al,571,0,954
ax,572,2,10
al,573,0,954
al,574,0,954
al,575,0,954
al,576,0,954
al,577,0,954
al,578,0,954
al,579,0,954
al,580,0,954
al,581,0,954
al,582,0,954
al,583,0,954
al,584,0,954
al,585,0,954
al,586,0,954
al,587,0,954
al,588,0,954
al,589,0,954
al,590,0,954
al,591,0,954
ax,592,2,10
al,593,0,954
al,594,0,954
al,595,0,954
al,596,0,954
al,597,0,954
al,598,0,954
al,599,0,954
al,600,0,954
al,601,0,954
