completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
0,0,0,00:00.000,0,index
2266,2617,4883,00:25.162,1,ProviderNumber
2616,3103,5719,00:31.282,1,HospitalName
2495,2731,5226,00:28.702,1,Address1
29,990,1019,00:01.683,1,Address2
29,990,1019,00:01.498,1,Address3
2138,2406,4544,00:23.283,1,City
132,1043,1175,00:03.137,1,State
2006,2375,4381,00:22.257,1,ZipCode
1877,2252,4129,00:21.952,1,CountyName
2236,2551,4787,00:22.246,1,PhoneNumber
707,1279,1986,00:08.881,1,HospitalType
1101,1692,2793,00:13.976,1,HospitalOwner
234,1081,1315,00:03.442,1,EmergencyService
1247,1620,2867,00:15.345,1,Condition
2092,2190,4282,00:25.950,1,MeasureCode
2989,3621,6610,00:44.436,1,MeasureName
1554,2225,3779,00:17.158,1,Score
14776,20875,35651,02:47.952,6,Sample
3252,3022,6274,00:38.745,1,Stateavg
14510,20875,35385,02:45.360,6,Sample
14773,20875,35648,03:39.999,6,Sample
