column_1,column_2,column_1_name,column_2_name,dependency
1,2,ProviderNumber,HospitalName,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,3,ProviderNumber,Address1,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,6,ProviderNumber,City,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,7,ProviderNumber,State,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,8,ProviderNumber,ZipCode,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,9,ProviderNumber,CountyName,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,10,ProviderNumber,PhoneNumber,The facility identifier appears to determine the telephone number. The same facility identifier is associated with the same phone number in the sample.
1,11,ProviderNumber,HospitalType,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,12,ProviderNumber,HospitalOwner,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
1,13,ProviderNumber,EmergencyService,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
2,3,HospitalName,Address1,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
2,6,HospitalName,City,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
2,7,HospitalName,State,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
2,8,HospitalName,ZipCode,"The facility identifier appears to determine the facility profile fields: the same identifier is associated with the same hospital name, street address, city, state abbreviation, ZIP code, county, phone number, hospital category, ownership type, and yes/no facility flag."
