Address1,EmergencyService,original_index,unique_index,count
1720 university blvd,yes,0,0,24
1720 university blvd,yes,1,0,24
1720 university blvd,yes,2,0,24
1720 university blvd,yes,3,0,24
1720 university blvd,yes,4,0,24
1720 university blvd,yes,5,0,24
1720 university blvd,yes,6,0,24
1720 university blvd,yes,7,0,24
1300 south montgomery avenue,yes,8,1,25
1300 south montgomery avenue,yes,9,1,25
1300 south montgomery avenue,yes,10,1,25
1300 south montgomery avenue,yes,11,1,25
1300 south montgomery avenue,yes,12,1,25
1300 south montgomery avenue,yes,13,1,25
1300 south montgomery avenue,yes,14,1,25
1300 south montgomery avenue,yes,15,1,25
1300 south montgomery avenue,yes,16,1,25
1300 south montgomery avenue,yes,17,1,25
1300 south montgomery avenue,yes,18,1,25
1108 ross clark circle,yes,19,2,23
1108 ross clark circle,yes,20,2,23
1108 ross clark circle,yes,21,2,23
1108 ross clark circle,yes,22,2,23
1108 ross clark circle,yes,23,2,23
1108 ross clark circle,yxs,24,3,1
1108 ross clark circle,yes,25,2,23
1108 ross clark circle,yes,26,2,23
1108 ross clark circle,yes,27,2,23
1108 ross clark circle,yes,28,2,23
1108 ross clark circle,yes,29,2,23
1108 ross clark circle,yes,30,2,23
1108 ross clark circle,yes,31,2,23
1108 ross clark circle,yes,32,2,23
1108 ross clark circle,yes,33,2,23
1108 ross clark circle,yes,34,2,23
1108 ross clark circle,yes,35,2,23
1108 ross clark circle,yes,36,2,23
1108 ross clark circle,yes,37,2,23
1108 ross clark circle,yes,38,2,23
1108 ross clark circle,yes,39,2,23
1108 ross clark circle,yes,40,2,23
1108 ross clark circle,yes,41,2,23
1108 ross clark circle,yes,42,2,23
1108 ross clark circle,yex,43,4,1
2505 u s highway 431 north,yes,44,5,23
2505 u s highway 431 north,yes,45,5,23
2505 u s highway 431 north,yes,46,5,23
2505 u s highway 431 north,yes,47,5,23
2505 u s highway 431 north,yes,48,5,23
2505 u s highway 431 north,yes,49,5,23
2505 u s highway 431 north,yes,50,5,23
2505 u s highway 431 north,yxs,51,6,1
2505 u s highway 431 north,yes,52,5,23
2505 u s highway 431 north,yes,53,5,23
2505 u s highway 431 north,yes,54,5,23
2505 u s highway 431 north,yes,55,5,23
2505 u s highway 431 north,yes,56,5,23
2505xuxsxhighwayx431xnorth,yes,57,7,1
2505 u s highway 431 north,yes,58,5,23
2505 u s highway 431 north,yes,59,5,23
2505 u s highway 431 north,yes,60,5,23
2505 u s highway 431 north,yes,61,5,23
2505 u s highway 431 north,yes,62,5,23
2505 u s highway 431 north,yes,63,5,23
2505 u s highway 431 north,yes,64,5,23
2505 u s highway 431 north,yes,65,5,23
2505 u s highway 431 north,yes,66,5,23
2505 u s highway 431 north,yes,67,5,23
2505 u s highway 431 north,yes,68,5,23
205 marengo street,yes,69,8,25
205 marengo street,yes,70,8,25
205 marengo street,yes,71,8,25
205 marengo street,yes,72,8,25
