Address1,HospitalOwner,original_index,unique_index,count
1720 university blvd,voluntary non-profit - private,0,0,24
1720 university blvd,voluntary non-profit - private,1,0,24
1720 university blvd,voluntary non-profit - private,2,0,24
1720 university blvd,voluntary non-profit - private,3,0,24
1720 university blvd,voluntary non-profit - private,4,0,24
1720 university blvd,voluntary non-profit - private,5,0,24
1720 university blvd,voluntary non-profit - private,6,0,24
1720 university blvd,voluntary non-profit - private,7,0,24
1300 south montgomery avenue,government - hospital district or authority,8,1,24
1300 south montgomery avenue,government - hospital district or authority,9,1,24
1300 south montgomery avenue,government - hospital district or authority,10,1,24
1300 south montgomery avenue,government - hospital district or authority,11,1,24
1300 south montgomery avenue,government - hospital district or authority,12,1,24
1300 south montgomery avenue,government - hospital district or authority,13,1,24
1300 south montgomery avenue,government - hospital district or authority,14,1,24
1300 south montgomery avenue,government - hospital district or authority,15,1,24
1300 south montgomery avenue,government - hospital district or authority,16,1,24
1300 south montgomery avenue,government - hospital district or authority,17,1,24
1300 south montgomery avenue,government - hospital district or authority,18,1,24
1108 ross clark circle,government - hospital district or authority,19,2,21
1108 ross clark circle,government - hospital district or authority,20,2,21
1108 ross clark circle,government - hospital district or authority,21,2,21
1108 ross clark circle,government - hospxtal dxstrxct or authorxty,22,3,1
1108 ross clark circle,government - hospital district or authority,23,2,21
1108 ross clark circle,government - hospital district or authority,24,2,21
1108 ross clark circle,government - hospital district or authority,25,2,21
1108 ross clark circle,government - hospital district or authority,26,2,21
1108 ross clark circle,government - hospital xistrict or authority,27,4,1
1108 ross clark circle,government - hospital district or authority,28,2,21
1108 ross clark circle,government - hospital district or authority,29,2,21
1108 ross clark circle,government - hospital district or authority,30,2,21
1108 ross clark circle,governmenx - hospixal disxricx or auxhorixy,31,5,1
1108 ross clark circle,government - hospital district or authority,32,2,21
1108 ross clark circle,government - hospital district or authority,33,2,21
1108 ross clark circle,government - hospital district or authority,34,2,21
1108 ross clark circle,government - hospital district or authority,35,2,21
1108 ross clark circle,government - hospital district or authority,36,2,21
1108 ross clark circle,government - hospital district or authority,37,2,21
1108 ross clark circle,government - hospital district or authority,38,2,21
1108 ross clark circle,government - hospital district or authority,39,2,21
1108 ross clark circle,government - hospital district or authority,40,2,21
1108 ross clark circle,government - hospital district or authority,41,2,21
1108 ross clark circle,gxvernment - hxspital district xr authxrity,42,6,1
1108 ross clark circle,government - hospital district or authority,43,2,21
2505 u s highway 431 north,government - hospital district or authority,44,7,24
2505 u s highway 431 north,government - hospital district or authority,45,7,24
2505 u s highway 431 north,government - hospital district or authority,46,7,24
2505 u s highway 431 north,government - hospital district or authority,47,7,24
2505 u s highway 431 north,government - hospital district or authority,48,7,24
2505 u s highway 431 north,government - hospital district or authority,49,7,24
2505 u s highway 431 north,government - hospital district or authority,50,7,24
2505 u s highway 431 north,government - hospital district or authority,51,7,24
2505 u s highway 431 north,government - hospital district or authority,52,7,24
2505 u s highway 431 north,government - hospital district or authority,53,7,24
2505 u s highway 431 north,government - hospital district or authority,54,7,24
2505 u s highway 431 north,government - hospital district or authority,55,7,24
2505 u s highway 431 north,government - hospital district or authority,56,7,24
2505xuxsxhighwayx431xnorth,government - hospital district or authority,57,8,1
2505 u s highway 431 north,government - hospital district or authority,58,7,24
2505 u s highway 431 north,government - hospital district or authority,59,7,24
2505 u s highway 431 north,government - hospital district or authority,60,7,24
2505 u s highway 431 north,government - hospital district or authority,61,7,24
