Address1,HospitalType,original_index,unique_index,count
1720 university blvd,acute care hospitals,0,0,24
1720 university blvd,acute care hospitals,1,0,24
1720 university blvd,acute care hospitals,2,0,24
1720 university blvd,acute care hospitals,3,0,24
1720 university blvd,acute care hospitals,4,0,24
1720 university blvd,acute care hospitals,5,0,24
1720 university blvd,acute care hospitals,6,0,24
1720 university blvd,acute care hospitals,7,0,24
1300 south montgomery avenue,acute care hospitals,8,1,23
1300 south montgomery avenue,acute care hospitals,9,1,23
1300 south montgomery avenue,acute care hospitals,10,1,23
1300 south montgomery avenue,acute care hospitals,11,1,23
1300 south montgomery avenue,acute care hospitals,12,1,23
1300 south montgomery avenue,acute care hospitals,13,1,23
1300 south montgomery avenue,acute care hospitals,14,1,23
1300 south montgomery avenue,acute care hospitals,15,1,23
1300 south montgomery avenue,acuxe care hospixals,16,2,1
1300 south montgomery avenue,acute care hospitals,17,1,23
1300 south montgomery avenue,acute care hospitals,18,1,23
1108 ross clark circle,acute care hospitals,19,3,24
1108 ross clark circle,acute care hospitals,20,3,24
1108 ross clark circle,acute care hospitals,21,3,24
1108 ross clark circle,acute care hospitals,22,3,24
1108 ross clark circle,acute care hospitals,23,3,24
1108 ross clark circle,acute care hospitals,24,3,24
1108 ross clark circle,acute care hospitals,25,3,24
1108 ross clark circle,acute care hospitals,26,3,24
1108 ross clark circle,acute care hospitals,27,3,24
1108 ross clark circle,acute care hospitals,28,3,24
1108 ross clark circle,acute care hospitals,29,3,24
1108 ross clark circle,acute care hospitals,30,3,24
1108 ross clark circle,acute care hospitals,31,3,24
1108 ross clark circle,acute care hospitals,32,3,24
1108 ross clark circle,acute care hospitals,33,3,24
1108 ross clark circle,acute care hospitals,34,3,24
1108 ross clark circle,acute care hospitals,35,3,24
1108 ross clark circle,acute care hospitals,36,3,24
1108 ross clark circle,acute care hospitals,37,3,24
1108 ross clark circle,acute care hospitals,38,3,24
1108 ross clark circle,acxte care hospitals,39,4,1
1108 ross clark circle,acute care hospitals,40,3,24
1108 ross clark circle,acute care hospitals,41,3,24
1108 ross clark circle,acute care hospitals,42,3,24
1108 ross clark circle,acute care hospitals,43,3,24
2505 u s highway 431 north,acute care hospitals,44,5,24
2505 u s highway 431 north,acute care hospitals,45,5,24
2505 u s highway 431 north,acute care hospitals,46,5,24
2505 u s highway 431 north,acute care hospitals,47,5,24
2505 u s highway 431 north,acute care hospitals,48,5,24
2505 u s highway 431 north,acute care hospitals,49,5,24
2505 u s highway 431 north,acute care hospitals,50,5,24
2505 u s highway 431 north,acute care hospitals,51,5,24
2505 u s highway 431 north,acute care hospitals,52,5,24
2505 u s highway 431 north,acute care hospitals,53,5,24
2505 u s highway 431 north,acute care hospitals,54,5,24
2505 u s highway 431 north,acute care hospitals,55,5,24
2505 u s highway 431 north,acute care hospitals,56,5,24
2505xuxsxhighwayx431xnorth,acute care hospitals,57,6,1
2505 u s highway 431 north,acute care hospitals,58,5,24
2505 u s highway 431 north,acute care hospitals,59,5,24
2505 u s highway 431 north,acute care hospitals,60,5,24
2505 u s highway 431 north,acute care hospitals,61,5,24
2505 u s highway 431 north,acute care hospitals,62,5,24
2505 u s highway 431 north,acute care hospitals,63,5,24
2505 u s highway 431 north,acute care hospitals,64,5,24
2505 u s highway 431 north,acute care hospitals,65,5,24
2505 u s highway 431 north,acute care hospitals,66,5,24
2505 u s highway 431 north,acute care hospitals,67,5,24
2505 u s highway 431 north,acute care hospitals,68,5,24
205 marengo street,acute care hospitals,69,7,25
205 marengo street,acute care hospitals,70,7,25
205 marengo street,acute care hospitals,71,7,25
205 marengo street,acute care hospitals,72,7,25
205 marengo street,acute care hospitals,73,7,25
205 marengo street,acute care hospitals,74,7,25
205 marengo street,acute care hospitals,75,7,25
205 marengo street,acute care hospitals,76,7,25
205 marengo street,acute care hospitals,77,7,25
205 marengo street,acute care hospitals,78,7,25
205 marengo street,acute care hospitals,79,7,25
205 marengo street,acute care hospitals,80,7,25
205 marengo street,acute care hospitals,81,7,25
205 marengo street,acute care hospitals,82,7,25
205 marengo street,acute care hospitals,83,7,25
205 marengo street,acute care hospitals,84,7,25
205 marengo street,acute care hospitals,85,7,25
205 marengo street,acute care hospitals,86,7,25
205 marengo street,acute care hospitals,87,7,25
205 marengo street,acute care hospitals,88,7,25
205 marengo street,acute care hospitals,89,7,25
205 marengo street,acute care hospitals,90,7,25
205 marengo street,acute care hospitals,91,7,25
205 marengo street,acute care hospitals,92,7,25
205 marengo street,acute care hospitals,93,7,25
702xnxmainxst,acute care hospitals,94,8,1
702 n main st,acute care hospitals,95,9,22
702 n main st,acute care hospitals,96,9,22
702 n main st,acute care hospitals,97,9,22
702 n main st,acute care hosxitals,98,10,1
702 n main st,acute care hospitals,99,9,22
702 n main st,acute care hospitals,100,9,22
702 n main st,acute care hospitals,101,9,22
702 n main st,acute care hospitals,102,9,22
702 n main st,acute care hospitals,103,9,22
702 n main st,acute care hospitals,104,9,22
702 n main st,acute care hospitals,105,9,22
702 x maix st,acute care hospitals,106,11,1
702 n main st,acute care hospitals,107,9,22
702 n main st,acute care hospitals,108,9,22
702 n main st,acute care hospitals,109,9,22
702 n main st,acute care hospitals,110,9,22
702 n main st,acute care hospitals,111,9,22
702 n main st,acute care hospitals,112,9,22
702 n main st,acute care hospitals,113,9,22
702 n main st,acute care hospitals,114,9,22
702 n main st,acute care hospitals,115,9,22
702 n main st,acute care hospitals,116,9,22
702 n main st,acute care hospitals,117,9,22
702 n main st,acute care hospitals,118,9,22
101 hospital circle,acute care hospitals,119,12,25
101 hospital circle,acute care hospitals,120,12,25
101 hospital circle,acute care hospitals,121,12,25
