Address1,PhoneNumber,original_index,unique_index,count
1720 university blvd,2053258100,0,0,24
1720 university blvd,2053258100,1,0,24
1720 university blvd,2053258100,2,0,24
1720 university blvd,2053258100,3,0,24
1720 university blvd,2053258100,4,0,24
1720 university blvd,2053258100,5,0,24
1720 university blvd,2053258100,6,0,24
1720 university blvd,2053258100,7,0,24
1300 south montgomery avenue,2563864556,8,1,25
1300 south montgomery avenue,2563864556,9,1,25
1300 south montgomery avenue,2563864556,10,1,25
1300 south montgomery avenue,2563864556,11,1,25
1300 south montgomery avenue,2563864556,12,1,25
1300 south montgomery avenue,2563864556,13,1,25
1300 south montgomery avenue,2563864556,14,1,25
1300 south montgomery avenue,2563864556,15,1,25
1300 south montgomery avenue,2563864556,16,1,25
1300 south montgomery avenue,2563864556,17,1,25
1300 south montgomery avenue,2563864556,18,1,25
1108 ross clark circle,3347938701,19,2,23
1108 ross clark circle,3347938701,20,2,23
1108 ross clark circle,3347938701,21,2,23
1108 ross clark circle,3347938701,22,2,23
1108 ross clark circle,3347938701,23,2,23
1108 ross clark circle,334793870x,24,3,1
1108 ross clark circle,3347938701,25,2,23
1108 ross clark circle,3347938701,26,2,23
1108 ross clark circle,3347938701,27,2,23
1108 ross clark circle,3347938701,28,2,23
1108 ross clark circle,3347938701,29,2,23
1108 ross clark circle,3347938701,30,2,23
1108 ross clark circle,3347938701,31,2,23
1108 ross clark circle,3347938701,32,2,23
1108 ross clark circle,3347938701,33,2,23
1108 ross clark circle,3347938701,34,2,23
1108 ross clark circle,3347938701,35,2,23
1108 ross clark circle,xx479x8701,36,4,1
1108 ross clark circle,3347938701,37,2,23
1108 ross clark circle,3347938701,38,2,23
1108 ross clark circle,3347938701,39,2,23
1108 ross clark circle,3347938701,40,2,23
1108 ross clark circle,3347938701,41,2,23
1108 ross clark circle,3347938701,42,2,23
1108 ross clark circle,3347938701,43,2,23
2505 u s highway 431 north,2565938310,44,5,22
2505 u s highway 431 north,2565938310,45,5,22
2505 u s highway 431 north,2565938310,46,5,22
2505 u s highway 431 north,2565938310,47,5,22
2505 u s highway 431 north,2565938310,48,5,22
2505 u s highway 431 north,2565938310,49,5,22
