City,HospitalOwner,original_index,unique_index,count
birmingham,voluntary non-profit - private,0,0,44
birmingham,voluntary non-profit - private,1,0,44
birmingham,voluntary non-profit - private,2,0,44
birminghxm,voluntary non-profit - private,3,1,1
birmingham,voluntary non-profit - private,4,0,44
birmingham,voluntary non-profit - private,5,0,44
birmingham,voluntary non-profit - private,6,0,44
birmingxam,voluntary non-profit - private,7,2,1
sheffield,government - hospital district or authority,8,3,23
sheffield,government - hospital district or authority,9,3,23
sheffxeld,government - hospital district or authority,10,4,1
sheffield,government - hospital district or authority,11,3,23
sheffield,government - hospital district or authority,12,3,23
sheffield,government - hospital district or authority,13,3,23
sheffield,government - hospital district or authority,14,3,23
sheffield,government - hospital district or authority,15,3,23
sheffield,government - hospital district or authority,16,3,23
sheffield,government - hospital district or authority,17,3,23
sheffield,government - hospital district or authority,18,3,23
dothan,government - hospital district or authority,19,5,21
dothan,government - hospital district or authority,20,5,21
dothan,government - hospital district or authority,21,5,21
dothan,government - hospxtal dxstrxct or authorxty,22,6,1
dothan,government - hospital district or authority,23,5,21
dothan,government - hospital district or authority,24,5,21
dothan,government - hospital district or authority,25,5,21
dothan,government - hospital district or authority,26,5,21
dothan,government - hospital xistrict or authority,27,7,1
dothan,government - hospital district or authority,28,5,21
dothan,government - hospital district or authority,29,5,21
dothan,government - hospital district or authority,30,5,21
dothan,governmenx - hospixal disxricx or auxhorixy,31,8,1
dothan,government - hospital district or authority,32,5,21
dothan,government - hospital district or authority,33,5,21
dothan,government - hospital district or authority,34,5,21
dothan,government - hospital district or authority,35,5,21
dothan,government - hospital district or authority,36,5,21
dothan,government - hospital district or authority,37,5,21
dothan,government - hospital district or authority,38,5,21
dothan,government - hospital district or authority,39,5,21
dothan,government - hospital district or authority,40,5,21
dothan,government - hospital district or authority,41,5,21
dothan,gxvernment - hxspital district xr authxrity,42,9,1
dothan,government - hospital district or authority,43,5,21
boaz,government - hospital district or authority,44,10,24
boaz,government - hospital district or authority,45,10,24
boaz,government - hospital district or authority,46,10,24
boaz,government - hospital district or authority,47,10,24
boaz,government - hospital district or authority,48,10,24
boaz,government - hospital district or authority,49,10,24
boaz,government - hospital district or authority,50,10,24
boaz,government - hospital district or authority,51,10,24
boaz,government - hospital district or authority,52,10,24
boaz,government - hospital district or authority,53,10,24
boaz,government - hospital district or authority,54,10,24
boaz,government - hospital district or authority,55,10,24
boxz,government - hospital district or authority,56,11,1
boaz,government - hospital district or authority,57,10,24
boaz,government - hospital district or authority,58,10,24
boaz,government - hospital district or authority,59,10,24
boaz,government - hospital district or authority,60,10,24
boaz,government - hospital district or authority,61,10,24
boaz,government - hospital district or authority,62,10,24
boaz,government - hospital district or authority,63,10,24
boaz,government - hospital district or authority,64,10,24
boaz,government - hospital district or authority,65,10,24
boaz,government - hospital district or authority,66,10,24
boaz,government - hospital district or authority,67,10,24
boaz,government - hospital district or authority,68,10,24
florence,voluntary non-profit - other,69,12,22
florence,voluntary non-profit - other,70,12,22
florence,voluntary non-profit - other,71,12,22
florence,voluntary non-profit - other,72,12,22
florence,voluntary non-profit - other,73,12,22
florence,voluntary non-profit - other,74,12,22
florence,voluntary non-profit - other,75,12,22
florence,voluntary non-profit - other,76,12,22
florence,voluntary non-profit - other,77,12,22
florence,voluntary non-profit - other,78,12,22
fxorence,voluntary non-profit - other,79,13,1
florence,voluntary non-profit - other,80,12,22
florence,voluntary non-profit - other,81,12,22
florence,voluntary non-profit - other,82,12,22
florence,voluntary non-profit - other,83,12,22
florence,voluntary non-profit - other,84,12,22
florence,voluntary non-profit - other,85,12,22
florence,voluntary non-profit - other,86,12,22
florence,voluntary non-profit - other,87,12,22
florxncx,voluntary non-profit - other,88,14,1
florence,voluntary non-profit - other,89,12,22
florence,voluntary non-profit - other,90,12,22
florence,voluntary non-profit - other,91,12,22
florence,voluntary non-profit - other,92,12,22
flxrence,voluntary non-profit - other,93,15,1
opp,voluntary non-profit - private,94,16,24
opp,voluntary non-profit - private,95,16,24
opp,voluntary non-profit - private,96,16,24
opp,voluntary non-profit - private,97,16,24
opp,voluntary non-profit - private,98,16,24
opp,voluntary non-profit - private,99,16,24
opp,voluntary non-profit - private,100,16,24
opp,voluntary non-profit - private,101,16,24
opp,voluntary non-profit - private,102,16,24
opp,voluntary non-profit - private,103,16,24
opp,voluntary non-profit - private,104,16,24
opp,voluntary non-profit - private,105,16,24
opp,voluntary non-profit - private,106,16,24
opp,voluntary non-profit - private,107,16,24
opp,voluntary non-profit - private,108,16,24
opp,voluntary non-profit - private,109,16,24
opp,voluntary non-profit - private,110,16,24
opp,voluntary non-profit - private,111,16,24
opp,voluntary non-profit - private,112,16,24
opp,volunxary non-profix - privaxe,113,17,1
opp,voluntary non-profit - private,114,16,24
opp,voluntary non-profit - private,115,16,24
opp,voluntary non-profit - private,116,16,24
opp,voluntary non-profit - private,117,16,24
opp,voluntary non-profit - private,118,16,24
luverne,government - federal,119,18,25
luverne,government - federal,120,18,25
luverne,government - federal,121,18,25
luverne,government - federal,122,18,25
luverne,government - federal,123,18,25
luverne,government - federal,124,18,25
luverne,government - federal,125,18,25
luverne,government - federal,126,18,25
luverne,government - federal,127,18,25
luverne,government - federal,128,18,25
luverne,government - federal,129,18,25
luverne,government - federal,130,18,25
luverne,government - federal,131,18,25
luverne,government - federal,132,18,25
luverne,government - federal,133,18,25
luverne,government - federal,134,18,25
luverne,government - federal,135,18,25
luverne,government - federal,136,18,25
luverne,government - federal,137,18,25
luverne,government - federal,138,18,25
luverne,government - federal,139,18,25
luverne,government - federal,140,18,25
luverne,government - federal,141,18,25
luverne,government - federal,142,18,25
luverne,government - federal,143,18,25
hartselle,proprietary,144,19,21
hartselle,proprietary,145,19,21
hartselle,proprietary,146,19,21
hartselle,proprietary,147,19,21
hartselle,proprietary,148,19,21
hartselle,proprietary,149,19,21
hartselle,proprietary,150,19,21
hartselle,proprietary,151,19,21
hartselle,proprietary,152,19,21
hartselle,proprietary,153,19,21
hartselle,proprietary,154,19,21
hartselle,proprietary,155,19,21
hartselle,proprietary,156,19,21
hartselle,pxopxietaxy,157,20,2
hartselle,proprietary,158,19,21
hartselle,proxrietary,159,21,1
hartselle,proprietary,160,19,21
hartselle,proprietary,161,19,21
hartselle,xroprietary,162,22,1
hartselle,proprietary,163,19,21
hartselle,pxopxietaxy,164,20,2
hartselle,proprietary,165,19,21
hartselle,proprietary,166,19,21
hartselle,proprietary,167,19,21
hartselle,proprietary,168,19,21
guntersville,government - hospital district or authority,169,23,24
guntersville,government - hospital district or authority,170,23,24
guntersville,government - hospital district or authority,171,23,24
guntersville,government - hospital district or authority,172,23,24
