HospitalName,EmergencyService,original_index,unique_index,count
callahan eye foundation hospital,yes,0,0,25
callahan eye foundation hospital,yes,1,0,25
callahan eye foundation hospital,yes,2,0,25
callahan eye foundation hospital,yes,3,0,25
callahan eye foundation hospital,yes,4,0,25
callahan eye foundation hospital,yes,5,0,25
callahan eye foundation hospital,yes,6,0,25
callahan eye foundation hospital,yes,7,0,25
helen keller memorial hospital,yes,8,1,25
helen keller memorial hospital,yes,9,1,25
helen keller memorial hospital,yes,10,1,25
helen keller memorial hospital,yes,11,1,25
helen keller memorial hospital,yes,12,1,25
helen keller memorial hospital,yes,13,1,25
helen keller memorial hospital,yes,14,1,25
helen keller memorial hospital,yes,15,1,25
helen keller memorial hospital,yes,16,1,25
helen keller memorial hospital,yes,17,1,25
helen keller memorial hospital,yes,18,1,25
southeast alabama medical center,yes,19,2,22
southeast alabama medical center,yes,20,2,22
southeast alabama medical center,yes,21,2,22
southeast alabama medical center,yes,22,2,22
southeast alabama medical center,yes,23,2,22
southeast alabama medical center,yxs,24,3,1
southeast alabama medical center,yes,25,2,22
southeast alabama medxcal center,yes,26,4,1
southeast alabama medical center,yes,27,2,22
southeast alabama medical center,yes,28,2,22
southeast alabama medical center,yes,29,2,22
southeast alabama medical center,yes,30,2,22
southeast alabama medical center,yes,31,2,22
southeast alabama medical center,yes,32,2,22
southeast alabama medical center,yes,33,2,22
southeast alabama medical center,yes,34,2,22
southeast alabama medical center,yes,35,2,22
southeast alabama medical center,yes,36,2,22
southeast alabama medical center,yes,37,2,22
southeast alabama medical center,yes,38,2,22
southeast alabama medical center,yes,39,2,22
southeast alabama medical center,yes,40,2,22
southeast alabama medical center,yes,41,2,22
southeast alabama medical center,yes,42,2,22
southeast alabama medical center,yex,43,5,1
marshall medical center south,yes,44,6,24
marshall medical center south,yes,45,6,24
marshall medical center south,yes,46,6,24
marshall medical center south,yes,47,6,24
marshall medical center south,yes,48,6,24
marshall medical center south,yes,49,6,24
marshall medical center south,yes,50,6,24
marshall medical center south,yxs,51,7,1
marshall medical center south,yes,52,6,24
marshall medical center south,yes,53,6,24
marshall medical center south,yes,54,6,24
marshall medical center south,yes,55,6,24
marshall medical center south,yes,56,6,24
marshall medical center south,yes,57,6,24
marshall medical center south,yes,58,6,24
marshall medical center south,yes,59,6,24
marshall medical center south,yes,60,6,24
marshall medical center south,yes,61,6,24
marshall medical center south,yes,62,6,24
marshall medical center south,yes,63,6,24
marshall medical center south,yes,64,6,24
marshall medical center south,yes,65,6,24
marshall medical center south,yes,66,6,24
marshall medical center south,yes,67,6,24
marshall medical center south,yes,68,6,24
eliza coffee memorial hospital,yes,69,8,25
eliza coffee memorial hospital,yes,70,8,25
eliza coffee memorial hospital,yes,71,8,25
eliza coffee memorial hospital,yes,72,8,25
eliza coffee memorial hospital,yes,73,8,25
eliza coffee memorial hospital,yes,74,8,25
eliza coffee memorial hospital,yes,75,8,25
eliza coffee memorial hospital,yes,76,8,25
eliza coffee memorial hospital,yes,77,8,25
eliza coffee memorial hospital,yes,78,8,25
eliza coffee memorial hospital,yes,79,8,25
eliza coffee memorial hospital,yes,80,8,25
eliza coffee memorial hospital,yes,81,8,25
eliza coffee memorial hospital,yes,82,8,25
eliza coffee memorial hospital,yes,83,8,25
eliza coffee memorial hospital,yes,84,8,25
eliza coffee memorial hospital,yes,85,8,25
eliza coffee memorial hospital,yes,86,8,25
eliza coffee memorial hospital,yes,87,8,25
eliza coffee memorial hospital,yes,88,8,25
eliza coffee memorial hospital,yes,89,8,25
eliza coffee memorial hospital,yes,90,8,25
eliza coffee memorial hospital,yes,91,8,25
eliza coffee memorial hospital,yes,92,8,25
eliza coffee memorial hospital,yes,93,8,25
mizell memorial hospital,no,94,9,25
mizell memorial hospital,no,95,9,25
mizell memorial hospital,no,96,9,25
mizell memorial hospital,no,97,9,25
mizell memorial hospital,no,98,9,25
mizell memorial hospital,no,99,9,25
mizell memorial hospital,no,100,9,25
mizell memorial hospital,no,101,9,25
mizell memorial hospital,no,102,9,25
mizell memorial hospital,no,103,9,25
