HospitalName,HospitalType,original_index,unique_index,count
callahan eye foundation hospital,acute care hospitals,0,0,25
callahan eye foundation hospital,acute care hospitals,1,0,25
callahan eye foundation hospital,acute care hospitals,2,0,25
callahan eye foundation hospital,acute care hospitals,3,0,25
callahan eye foundation hospital,acute care hospitals,4,0,25
callahan eye foundation hospital,acute care hospitals,5,0,25
callahan eye foundation hospital,acute care hospitals,6,0,25
callahan eye foundation hospital,acute care hospitals,7,0,25
helen keller memorial hospital,acute care hospitals,8,1,23
helen keller memorial hospital,acute care hospitals,9,1,23
helen keller memorial hospital,acute care hospitals,10,1,23
helen keller memorial hospital,acute care hospitals,11,1,23
helen keller memorial hospital,acute care hospitals,12,1,23
helen keller memorial hospital,acute care hospitals,13,1,23
helen keller memorial hospital,acute care hospitals,14,1,23
helen keller memorial hospital,acute care hospitals,15,1,23
helen keller memorial hospital,acuxe care hospixals,16,2,1
helen keller memorial hospital,acute care hospitals,17,1,23
helen keller memorial hospital,acute care hospitals,18,1,23
southeast alabama medical center,acute care hospitals,19,3,23
southeast alabama medical center,acute care hospitals,20,3,23
southeast alabama medical center,acute care hospitals,21,3,23
southeast alabama medical center,acute care hospitals,22,3,23
southeast alabama medical center,acute care hospitals,23,3,23
southeast alabama medical center,acute care hospitals,24,3,23
southeast alabama medical center,acute care hospitals,25,3,23
southeast alabama medxcal center,acute care hospitals,26,4,1
southeast alabama medical center,acute care hospitals,27,3,23
southeast alabama medical center,acute care hospitals,28,3,23
southeast alabama medical center,acute care hospitals,29,3,23
southeast alabama medical center,acute care hospitals,30,3,23
southeast alabama medical center,acute care hospitals,31,3,23
southeast alabama medical center,acute care hospitals,32,3,23
southeast alabama medical center,acute care hospitals,33,3,23
southeast alabama medical center,acute care hospitals,34,3,23
southeast alabama medical center,acute care hospitals,35,3,23
southeast alabama medical center,acute care hospitals,36,3,23
southeast alabama medical center,acute care hospitals,37,3,23
southeast alabama medical center,acute care hospitals,38,3,23
southeast alabama medical center,acxte care hospitals,39,5,1
southeast alabama medical center,acute care hospitals,40,3,23
southeast alabama medical center,acute care hospitals,41,3,23
southeast alabama medical center,acute care hospitals,42,3,23
southeast alabama medical center,acute care hospitals,43,3,23
marshall medical center south,acute care hospitals,44,6,25
marshall medical center south,acute care hospitals,45,6,25
marshall medical center south,acute care hospitals,46,6,25
marshall medical center south,acute care hospitals,47,6,25
marshall medical center south,acute care hospitals,48,6,25
marshall medical center south,acute care hospitals,49,6,25
marshall medical center south,acute care hospitals,50,6,25
marshall medical center south,acute care hospitals,51,6,25
marshall medical center south,acute care hospitals,52,6,25
marshall medical center south,acute care hospitals,53,6,25
