HospitalName,PhoneNumber,original_index,unique_index,count
callahan eye foundation hospital,2053258100,0,0,25
callahan eye foundation hospital,2053258100,1,0,25
callahan eye foundation hospital,2053258100,2,0,25
callahan eye foundation hospital,2053258100,3,0,25
callahan eye foundation hospital,2053258100,4,0,25
callahan eye foundation hospital,2053258100,5,0,25
callahan eye foundation hospital,2053258100,6,0,25
callahan eye foundation hospital,2053258100,7,0,25
helen keller memorial hospital,2563864556,8,1,25
helen keller memorial hospital,2563864556,9,1,25
helen keller memorial hospital,2563864556,10,1,25
helen keller memorial hospital,2563864556,11,1,25
helen keller memorial hospital,2563864556,12,1,25
helen keller memorial hospital,2563864556,13,1,25
helen keller memorial hospital,2563864556,14,1,25
helen keller memorial hospital,2563864556,15,1,25
helen keller memorial hospital,2563864556,16,1,25
helen keller memorial hospital,2563864556,17,1,25
helen keller memorial hospital,2563864556,18,1,25
southeast alabama medical center,3347938701,19,2,22
southeast alabama medical center,3347938701,20,2,22
southeast alabama medical center,3347938701,21,2,22
southeast alabama medical center,3347938701,22,2,22
southeast alabama medical center,3347938701,23,2,22
southeast alabama medical center,334793870x,24,3,1
southeast alabama medical center,3347938701,25,2,22
southeast alabama medxcal center,3347938701,26,4,1
southeast alabama medical center,3347938701,27,2,22
southeast alabama medical center,3347938701,28,2,22
southeast alabama medical center,3347938701,29,2,22
southeast alabama medical center,3347938701,30,2,22
southeast alabama medical center,3347938701,31,2,22
southeast alabama medical center,3347938701,32,2,22
southeast alabama medical center,3347938701,33,2,22
southeast alabama medical center,3347938701,34,2,22
southeast alabama medical center,3347938701,35,2,22
southeast alabama medical center,xx479x8701,36,5,1
southeast alabama medical center,3347938701,37,2,22
southeast alabama medical center,3347938701,38,2,22
southeast alabama medical center,3347938701,39,2,22
southeast alabama medical center,3347938701,40,2,22
southeast alabama medical center,3347938701,41,2,22
southeast alabama medical center,3347938701,42,2,22
southeast alabama medical center,3347938701,43,2,22
marshall medical center south,2565938310,44,6,22
marshall medical center south,2565938310,45,6,22
marshall medical center south,2565938310,46,6,22
marshall medical center south,2565938310,47,6,22
marshall medical center south,2565938310,48,6,22
marshall medical center south,2565938310,49,6,22
marshall medical center south,2565938310,50,6,22
marshall medical center south,2565938310,51,6,22
marshall medical center south,2565938310,52,6,22
marshall medical center south,2565938310,53,6,22
marshall medical center south,2565938310,54,6,22
marshall medical center south,2565938310,55,6,22
marshall medical center south,2565938310,56,6,22
marshall medical center south,2x6x938310,57,7,2
marshall medical center south,2565938310,58,6,22
marshall medical center south,2565938310,59,6,22
marshall medical center south,2x6x938310,60,7,2
marshall medical center south,2565938310,61,6,22
marshall medical center south,2565938310,62,6,22
marshall medical center south,2565938310,63,6,22
marshall medical center south,2565938310,64,6,22
marshall medical center south,2565x38310,65,8,1
