HospitalName,State,original_index,unique_index,count
callahan eye foundation hospital,al,0,0,25
callahan eye foundation hospital,al,1,0,25
callahan eye foundation hospital,al,2,0,25
callahan eye foundation hospital,al,3,0,25
callahan eye foundation hospital,al,4,0,25
callahan eye foundation hospital,al,5,0,25
callahan eye foundation hospital,al,6,0,25
callahan eye foundation hospital,al,7,0,25
helen keller memorial hospital,al,8,1,25
helen keller memorial hospital,al,9,1,25
helen keller memorial hospital,al,10,1,25
helen keller memorial hospital,al,11,1,25
helen keller memorial hospital,al,12,1,25
helen keller memorial hospital,al,13,1,25
helen keller memorial hospital,al,14,1,25
helen keller memorial hospital,al,15,1,25
helen keller memorial hospital,al,16,1,25
helen keller memorial hospital,al,17,1,25
helen keller memorial hospital,al,18,1,25
southeast alabama medical center,al,19,2,23
southeast alabama medical center,al,20,2,23
southeast alabama medical center,al,21,2,23
southeast alabama medical center,al,22,2,23
southeast alabama medical center,al,23,2,23
southeast alabama medical center,al,24,2,23
southeast alabama medical center,al,25,2,23
southeast alabama medxcal center,al,26,3,1
southeast alabama medical center,al,27,2,23
southeast alabama medical center,al,28,2,23
southeast alabama medical center,al,29,2,23
southeast alabama medical center,al,30,2,23
southeast alabama medical center,al,31,2,23
southeast alabama medical center,al,32,2,23
southeast alabama medical center,al,33,2,23
southeast alabama medical center,al,34,2,23
southeast alabama medical center,al,35,2,23
southeast alabama medical center,al,36,2,23
southeast alabama medical center,al,37,2,23
southeast alabama medical center,al,38,2,23
southeast alabama medical center,al,39,2,23
southeast alabama medical center,al,40,2,23
southeast alabama medical center,al,41,2,23
southeast alabama medical center,xl,42,4,1
southeast alabama medical center,al,43,2,23
marshall medical center south,al,44,5,23
marshall medical center south,al,45,5,23
marshall medical center south,xl,46,6,2
marshall medical center south,al,47,5,23
marshall medical center south,al,48,5,23
marshall medical center south,al,49,5,23
marshall medical center south,xl,50,6,2
marshall medical center south,al,51,5,23
marshall medical center south,al,52,5,23
marshall medical center south,al,53,5,23
marshall medical center south,al,54,5,23
marshall medical center south,al,55,5,23
marshall medical center south,al,56,5,23
marshall medical center south,al,57,5,23
marshall medical center south,al,58,5,23
marshall medical center south,al,59,5,23
marshall medical center south,al,60,5,23
marshall medical center south,al,61,5,23
marshall medical center south,al,62,5,23
marshall medical center south,al,63,5,23
marshall medical center south,al,64,5,23
marshall medical center south,al,65,5,23
marshall medical center south,al,66,5,23
marshall medical center south,al,67,5,23
marshall medical center south,al,68,5,23
eliza coffee memorial hospital,al,69,7,24
eliza coffee memorial hospital,al,70,7,24
eliza coffee memorial hospital,al,71,7,24
eliza coffee memorial hospital,al,72,7,24
eliza coffee memorial hospital,al,73,7,24
eliza coffee memorial hospital,al,74,7,24
eliza coffee memorial hospital,al,75,7,24
eliza coffee memorial hospital,al,76,7,24
eliza coffee memorial hospital,al,77,7,24
