PhoneNumber,EmergencyService,original_index,unique_index,count
2053258100,yes,0,0,25
2053258100,yes,1,0,25
2053258100,yes,2,0,25
2053258100,yes,3,0,25
2053258100,yes,4,0,25
2053258100,yes,5,0,25
2053258100,yes,6,0,25
2053258100,yes,7,0,25
2563864556,yes,8,1,25
2563864556,yes,9,1,25
2563864556,yes,10,1,25
2563864556,yes,11,1,25
2563864556,yes,12,1,25
2563864556,yes,13,1,25
2563864556,yes,14,1,25
2563864556,yes,15,1,25
2563864556,yes,16,1,25
2563864556,yes,17,1,25
2563864556,yes,18,1,25
3347938701,yes,19,2,22
3347938701,yes,20,2,22
3347938701,yes,21,2,22
3347938701,yes,22,2,22
3347938701,yes,23,2,22
334793870x,yxs,24,3,1
3347938701,yes,25,2,22
3347938701,yes,26,2,22
3347938701,yes,27,2,22
3347938701,yes,28,2,22
3347938701,yes,29,2,22
3347938701,yes,30,2,22
3347938701,yes,31,2,22
3347938701,yes,32,2,22
3347938701,yes,33,2,22
3347938701,yes,34,2,22
3347938701,yes,35,2,22
xx479x8701,yes,36,4,1
3347938701,yes,37,2,22
3347938701,yes,38,2,22
3347938701,yes,39,2,22
3347938701,yes,40,2,22
3347938701,yes,41,2,22
3347938701,yes,42,2,22
3347938701,yex,43,5,1
2565938310,yes,44,6,21
2565938310,yes,45,6,21
2565938310,yes,46,6,21
2565938310,yes,47,6,21
2565938310,yes,48,6,21
2565938310,yes,49,6,21
2565938310,yes,50,6,21
2565938310,yxs,51,7,1
2565938310,yes,52,6,21
2565938310,yes,53,6,21
2565938310,yes,54,6,21
2565938310,yes,55,6,21
2565938310,yes,56,6,21
2x6x938310,yes,57,8,2
2565938310,yes,58,6,21
2565938310,yes,59,6,21
2x6x938310,yes,60,8,2
2565938310,yes,61,6,21
2565938310,yes,62,6,21
2565938310,yes,63,6,21
2565938310,yes,64,6,21
2565x38310,yes,65,9,1
2565938310,yes,66,6,21
2565938310,yes,67,6,21
2565938310,yes,68,6,21
2567688400,yes,69,10,25
2567688400,yes,70,10,25
2567688400,yes,71,10,25
2567688400,yes,72,10,25
2567688400,yes,73,10,25
2567688400,yes,74,10,25
2567688400,yes,75,10,25
2567688400,yes,76,10,25
2567688400,yes,77,10,25
2567688400,yes,78,10,25
2567688400,yes,79,10,25
2567688400,yes,80,10,25
2567688400,yes,81,10,25
2567688400,yes,82,10,25
2567688400,yes,83,10,25
2567688400,yes,84,10,25
2567688400,yes,85,10,25
