ProviderNumber,EmergencyService,original_index,unique_index,count
10018,yes,0,0,25
10018,yes,1,0,25
10018,yes,2,0,25
10018,yes,3,0,25
10018,yes,4,0,25
10018,yes,5,0,25
10018,yes,6,0,25
10018,yes,7,0,25
10019,yes,8,1,24
10019,yes,9,1,24
10019,yes,10,1,24
10019,yes,11,1,24
10019,yes,12,1,24
1xx19,yes,13,2,1
10019,yes,14,1,24
10019,yes,15,1,24
10019,yes,16,1,24
10019,yes,17,1,24
10019,yes,18,1,24
10001,yes,19,3,23
10001,yes,20,3,23
10001,yes,21,3,23
10001,yes,22,3,23
10001,yes,23,3,23
10001,yxs,24,4,1
10001,yes,25,3,23
10001,yes,26,3,23
10001,yes,27,3,23
10001,yes,28,3,23
10001,yes,29,3,23
10001,yes,30,3,23
10001,yes,31,3,23
10001,yes,32,3,23
10001,yes,33,3,23
10001,yes,34,3,23
10001,yes,35,3,23
10001,yes,36,3,23
10001,yes,37,3,23
10001,yes,38,3,23
10001,yes,39,3,23
10001,yes,40,3,23
10001,yes,41,3,23
10001,yes,42,3,23
10001,yex,43,5,1
10005,yes,44,6,23
x0005,yes,45,7,1
10005,yes,46,6,23
10005,yes,47,6,23
10005,yes,48,6,23
10005,yes,49,6,23
10005,yes,50,6,23
10005,yxs,51,8,1
10005,yes,52,6,23
10005,yes,53,6,23
10005,yes,54,6,23
10005,yes,55,6,23
10005,yes,56,6,23
10005,yes,57,6,23
10005,yes,58,6,23
10005,yes,59,6,23
10005,yes,60,6,23
10005,yes,61,6,23
10005,yes,62,6,23
10005,yes,63,6,23
10005,yes,64,6,23
10005,yes,65,6,23
10005,yes,66,6,23
10005,yes,67,6,23
10005,yes,68,6,23
10006,yes,69,9,24
10006,yes,70,9,24
10006,yes,71,9,24
10006,yes,72,9,24
10006,yes,73,9,24
10006,yes,74,9,24
10006,yes,75,9,24
10006,yes,76,9,24
10006,yes,77,9,24
10006,yes,78,9,24
10006,yes,79,9,24
10006,yes,80,9,24
1000x,yes,81,10,1
10006,yes,82,9,24
10006,yes,83,9,24
10006,yes,84,9,24
10006,yes,85,9,24
10006,yes,86,9,24
10006,yes,87,9,24
10006,yes,88,9,24
10006,yes,89,9,24
10006,yes,90,9,24
10006,yes,91,9,24
10006,yes,92,9,24
10006,yes,93,9,24
10007,no,94,11,25
10007,no,95,11,25
10007,no,96,11,25
10007,no,97,11,25
10007,no,98,11,25
10007,no,99,11,25
10007,no,100,11,25
10007,no,101,11,25
10007,no,102,11,25
10007,no,103,11,25
10007,no,104,11,25
10007,no,105,11,25
10007,no,106,11,25
10007,no,107,11,25
10007,no,108,11,25
10007,no,109,11,25
10007,no,110,11,25
10007,no,111,11,25
10007,no,112,11,25
10007,no,113,11,25
10007,no,114,11,25
10007,no,115,11,25
10007,no,116,11,25
10007,no,117,11,25
10007,no,118,11,25
10008,yes,119,12,25
10008,yes,120,12,25
10008,yes,121,12,25
10008,yes,122,12,25
10008,yes,123,12,25
10008,yes,124,12,25
10008,yes,125,12,25
10008,yes,126,12,25
10008,yes,127,12,25
10008,yes,128,12,25
10008,yes,129,12,25
10008,yes,130,12,25
10008,yes,131,12,25
10008,yes,132,12,25
10008,yes,133,12,25
10008,yes,134,12,25
10008,yes,135,12,25
10008,yes,136,12,25
10008,yes,137,12,25
10008,yes,138,12,25
10008,yes,139,12,25
10008,yes,140,12,25
10008,yes,141,12,25
10008,yes,142,12,25
10008,yes,143,12,25
10009,yes,144,13,24
10009,yes,145,13,24
10009,yes,146,13,24
10009,yes,147,13,24
10009,yes,148,13,24
10009,yes,149,13,24
10009,yes,150,13,24
10009,yes,151,13,24
10009,yes,152,13,24
10009,yes,153,13,24
10009,yes,154,13,24
10009,yes,155,13,24
10009,yes,156,13,24
10009,yxs,157,14,1
10009,yes,158,13,24
10009,yes,159,13,24
10009,yes,160,13,24
10009,yes,161,13,24
10009,yes,162,13,24
10009,yes,163,13,24
10009,yes,164,13,24
10009,yes,165,13,24
10009,yes,166,13,24
10009,yes,167,13,24
10009,yes,168,13,24
10010,yes,169,15,25
10010,yes,170,15,25
10010,yes,171,15,25
10010,yes,172,15,25
10010,yes,173,15,25
10010,yes,174,15,25
10010,yes,175,15,25
10010,yes,176,15,25
10010,yes,177,15,25
10010,yes,178,15,25
10010,yes,179,15,25
10010,yes,180,15,25
10010,yes,181,15,25
10010,yes,182,15,25
10010,yes,183,15,25
10010,yes,184,15,25
10010,yes,185,15,25
10010,yes,186,15,25
10010,yes,187,15,25
10010,yes,188,15,25
10010,yes,189,15,25
10010,yes,190,15,25
10010,yes,191,15,25
10010,yes,192,15,25
10010,yes,193,15,25
10011,yes,194,16,24
10011,yes,195,16,24
10011,yes,196,16,24
10011,yes,197,16,24
10011,yes,198,16,24
10011,yes,199,16,24
10011,yes,200,16,24
10011,yes,201,16,24
10011,yes,202,16,24
10011,yes,203,16,24
10011,yes,204,16,24
10011,yes,205,16,24
10011,yes,206,16,24
10011,yes,207,16,24
10011,yes,208,16,24
10011,yes,209,16,24
10011,yes,210,16,24
10011,yes,211,16,24
10011,yes,212,16,24
x00xx,yes,213,17,1
10011,yes,214,16,24
10011,yes,215,16,24
10011,yes,216,16,24
10011,yes,217,16,24
10011,yes,218,16,24
10012,yes,219,18,25
10012,yes,220,18,25
10012,yes,221,18,25
10012,yes,222,18,25
10012,yes,223,18,25
10012,yes,224,18,25
10012,yes,225,18,25
10012,yes,226,18,25
10012,yes,227,18,25
10012,yes,228,18,25
10012,yes,229,18,25
10012,yes,230,18,25
10012,yes,231,18,25
10012,yes,232,18,25
10012,yes,233,18,25
10012,yes,234,18,25
10012,yes,235,18,25
10012,yes,236,18,25
10012,yes,237,18,25
10012,yes,238,18,25
10012,yes,239,18,25
10012,yes,240,18,25
10012,yes,241,18,25
10012,yes,242,18,25
10012,yes,243,18,25
x00x5,yes,244,19,1
10015,yes,245,20,23
10015,yes,246,20,23
10015,yes,247,20,23
10015,yes,248,20,23
10015,yes,249,20,23
10015,yes,250,20,23
10015,yes,251,20,23
10015,yes,252,20,23
1xx15,yes,253,21,1
10015,yes,254,20,23
10015,yes,255,20,23
10015,yes,256,20,23
10015,yes,257,20,23
10015,yes,258,20,23
10015,yes,259,20,23
10015,yes,260,20,23
