ProviderNumber,HospitalOwner,original_index,unique_index,count
10018,voluntary non-profit - private,0,0,25
10018,voluntary non-profit - private,1,0,25
10018,voluntary non-profit - private,2,0,25
10018,voluntary non-profit - private,3,0,25
10018,voluntary non-profit - private,4,0,25
10018,voluntary non-profit - private,5,0,25
10018,voluntary non-profit - private,6,0,25
10018,voluntary non-profit - private,7,0,25
10019,government - hospital district or authority,8,1,23
10019,government - hospital district or authority,9,1,23
10019,government - hospital district or authority,10,1,23
10019,government - hospital district or authority,11,1,23
10019,government - hospital district or authority,12,1,23
1xx19,government - hospital district or authority,13,2,1
10019,government - hospital district or authority,14,1,23
10019,government - hospital district or authority,15,1,23
10019,government - hospital district or authority,16,1,23
10019,government - hospital district or authority,17,1,23
10019,government - hospital district or authority,18,1,23
10001,government - hospital district or authority,19,3,21
10001,government - hospital district or authority,20,3,21
10001,government - hospital district or authority,21,3,21
10001,government - hospxtal dxstrxct or authorxty,22,4,1
10001,government - hospital district or authority,23,3,21
10001,government - hospital district or authority,24,3,21
10001,government - hospital district or authority,25,3,21
10001,government - hospital district or authority,26,3,21
10001,government - hospital xistrict or authority,27,5,1
10001,government - hospital district or authority,28,3,21
10001,government - hospital district or authority,29,3,21
10001,government - hospital district or authority,30,3,21
10001,governmenx - hospixal disxricx or auxhorixy,31,6,1
10001,government - hospital district or authority,32,3,21
10001,government - hospital district or authority,33,3,21
10001,government - hospital district or authority,34,3,21
10001,government - hospital district or authority,35,3,21
10001,government - hospital district or authority,36,3,21
10001,government - hospital district or authority,37,3,21
10001,government - hospital district or authority,38,3,21
10001,government - hospital district or authority,39,3,21
10001,government - hospital district or authority,40,3,21
10001,government - hospital district or authority,41,3,21
10001,gxvernment - hxspital district xr authxrity,42,7,1
10001,government - hospital district or authority,43,3,21
10005,government - hospital district or authority,44,8,24
x0005,government - hospital district or authority,45,9,1
10005,government - hospital district or authority,46,8,24
10005,government - hospital district or authority,47,8,24
10005,government - hospital district or authority,48,8,24
10005,government - hospital district or authority,49,8,24
10005,government - hospital district or authority,50,8,24
10005,government - hospital district or authority,51,8,24
10005,government - hospital district or authority,52,8,24
10005,government - hospital district or authority,53,8,24
10005,government - hospital district or authority,54,8,24
10005,government - hospital district or authority,55,8,24
10005,government - hospital district or authority,56,8,24
10005,government - hospital district or authority,57,8,24
10005,government - hospital district or authority,58,8,24
10005,government - hospital district or authority,59,8,24
10005,government - hospital district or authority,60,8,24
10005,government - hospital district or authority,61,8,24
10005,government - hospital district or authority,62,8,24
10005,government - hospital district or authority,63,8,24
10005,government - hospital district or authority,64,8,24
10005,government - hospital district or authority,65,8,24
10005,government - hospital district or authority,66,8,24
10005,government - hospital district or authority,67,8,24
10005,government - hospital district or authority,68,8,24
10006,voluntary non-profit - other,69,10,24
10006,voluntary non-profit - other,70,10,24
10006,voluntary non-profit - other,71,10,24
10006,voluntary non-profit - other,72,10,24
10006,voluntary non-profit - other,73,10,24
10006,voluntary non-profit - other,74,10,24
10006,voluntary non-profit - other,75,10,24
10006,voluntary non-profit - other,76,10,24
10006,voluntary non-profit - other,77,10,24
10006,voluntary non-profit - other,78,10,24
10006,voluntary non-profit - other,79,10,24
10006,voluntary non-profit - other,80,10,24
1000x,voluntary non-profit - other,81,11,1
10006,voluntary non-profit - other,82,10,24
10006,voluntary non-profit - other,83,10,24
10006,voluntary non-profit - other,84,10,24
10006,voluntary non-profit - other,85,10,24
10006,voluntary non-profit - other,86,10,24
10006,voluntary non-profit - other,87,10,24
10006,voluntary non-profit - other,88,10,24
10006,voluntary non-profit - other,89,10,24
10006,voluntary non-profit - other,90,10,24
10006,voluntary non-profit - other,91,10,24
10006,voluntary non-profit - other,92,10,24
10006,voluntary non-profit - other,93,10,24
10007,voluntary non-profit - private,94,12,24
10007,voluntary non-profit - private,95,12,24
10007,voluntary non-profit - private,96,12,24
10007,voluntary non-profit - private,97,12,24
10007,voluntary non-profit - private,98,12,24
10007,voluntary non-profit - private,99,12,24
10007,voluntary non-profit - private,100,12,24
10007,voluntary non-profit - private,101,12,24
10007,voluntary non-profit - private,102,12,24
10007,voluntary non-profit - private,103,12,24
10007,voluntary non-profit - private,104,12,24
10007,voluntary non-profit - private,105,12,24
10007,voluntary non-profit - private,106,12,24
10007,voluntary non-profit - private,107,12,24
10007,voluntary non-profit - private,108,12,24
10007,voluntary non-profit - private,109,12,24
10007,voluntary non-profit - private,110,12,24
10007,voluntary non-profit - private,111,12,24
10007,voluntary non-profit - private,112,12,24
10007,volunxary non-profix - privaxe,113,13,1
10007,voluntary non-profit - private,114,12,24
10007,voluntary non-profit - private,115,12,24
