ProviderNumber,State,original_index,unique_index,count
10018,al,0,0,25
10018,al,1,0,25
10018,al,2,0,25
10018,al,3,0,25
10018,al,4,0,25
10018,al,5,0,25
10018,al,6,0,25
10018,al,7,0,25
10019,al,8,1,24
10019,al,9,1,24
10019,al,10,1,24
10019,al,11,1,24
10019,al,12,1,24
1xx19,al,13,2,1
10019,al,14,1,24
10019,al,15,1,24
10019,al,16,1,24
10019,al,17,1,24
10019,al,18,1,24
10001,al,19,3,24
10001,al,20,3,24
10001,al,21,3,24
10001,al,22,3,24
10001,al,23,3,24
10001,al,24,3,24
10001,al,25,3,24
10001,al,26,3,24
10001,al,27,3,24
10001,al,28,3,24
10001,al,29,3,24
10001,al,30,3,24
10001,al,31,3,24
10001,al,32,3,24
10001,al,33,3,24
10001,al,34,3,24
10001,al,35,3,24
10001,al,36,3,24
10001,al,37,3,24
10001,al,38,3,24
10001,al,39,3,24
10001,al,40,3,24
10001,al,41,3,24
10001,xl,42,4,1
10001,al,43,3,24
10005,al,44,5,22
x0005,al,45,6,1
10005,xl,46,7,2
10005,al,47,5,22
10005,al,48,5,22
10005,al,49,5,22
10005,xl,50,7,2
10005,al,51,5,22
10005,al,52,5,22
10005,al,53,5,22
10005,al,54,5,22
10005,al,55,5,22
10005,al,56,5,22
10005,al,57,5,22
10005,al,58,5,22
10005,al,59,5,22
10005,al,60,5,22
10005,al,61,5,22
10005,al,62,5,22
10005,al,63,5,22
10005,al,64,5,22
10005,al,65,5,22
10005,al,66,5,22
10005,al,67,5,22
10005,al,68,5,22
10006,al,69,8,23
10006,al,70,8,23
10006,al,71,8,23
10006,al,72,8,23
10006,al,73,8,23
10006,al,74,8,23
10006,al,75,8,23
10006,al,76,8,23
10006,al,77,8,23
10006,al,78,8,23
10006,al,79,8,23
10006,al,80,8,23
1000x,al,81,9,1
10006,al,82,8,23
10006,xl,83,10,1
10006,al,84,8,23
10006,al,85,8,23
10006,al,86,8,23
10006,al,87,8,23
10006,al,88,8,23
10006,al,89,8,23
10006,al,90,8,23
10006,al,91,8,23
10006,al,92,8,23
10006,al,93,8,23
10007,al,94,11,24
10007,al,95,11,24
10007,al,96,11,24
10007,al,97,11,24
10007,xl,98,12,1
10007,al,99,11,24
10007,al,100,11,24
10007,al,101,11,24
10007,al,102,11,24
10007,al,103,11,24
10007,al,104,11,24
10007,al,105,11,24
10007,al,106,11,24
10007,al,107,11,24
10007,al,108,11,24
10007,al,109,11,24
10007,al,110,11,24
10007,al,111,11,24
10007,al,112,11,24
10007,al,113,11,24
10007,al,114,11,24
10007,al,115,11,24
10007,al,116,11,24
10007,al,117,11,24
10007,al,118,11,24
10008,ax,119,13,2
10008,al,120,14,23
10008,al,121,14,23
10008,al,122,14,23
10008,al,123,14,23
10008,al,124,14,23
10008,al,125,14,23
10008,al,126,14,23
10008,al,127,14,23
10008,al,128,14,23
10008,al,129,14,23
10008,al,130,14,23
10008,al,131,14,23
10008,al,132,14,23
10008,al,133,14,23
10008,al,134,14,23
10008,al,135,14,23
10008,al,136,14,23
10008,al,137,14,23
10008,al,138,14,23
10008,al,139,14,23
10008,ax,140,13,2
10008,al,141,14,23
10008,al,142,14,23
10008,al,143,14,23
10009,al,144,15,24
10009,al,145,15,24
10009,al,146,15,24
10009,al,147,15,24
10009,al,148,15,24
10009,al,149,15,24
10009,al,150,15,24
10009,al,151,15,24
10009,al,152,15,24
10009,al,153,15,24
10009,al,154,15,24
10009,al,155,15,24
10009,al,156,15,24
10009,al,157,15,24
10009,al,158,15,24
10009,al,159,15,24
10009,al,160,15,24
10009,al,161,15,24
10009,al,162,15,24
10009,al,163,15,24
10009,al,164,15,24
10009,ax,165,16,1
10009,al,166,15,24
10009,al,167,15,24
10009,al,168,15,24
10010,al,169,17,24
10010,al,170,17,24
10010,al,171,17,24
10010,al,172,17,24
10010,al,173,17,24
10010,al,174,17,24
10010,al,175,17,24
10010,al,176,17,24
10010,al,177,17,24
10010,al,178,17,24
10010,al,179,17,24
10010,al,180,17,24
10010,al,181,17,24
10010,xl,182,18,1
10010,al,183,17,24
10010,al,184,17,24
10010,al,185,17,24
10010,al,186,17,24
10010,al,187,17,24
10010,al,188,17,24
10010,al,189,17,24
10010,al,190,17,24
10010,al,191,17,24
10010,al,192,17,24
10010,al,193,17,24
10011,al,194,19,24
10011,al,195,19,24
10011,al,196,19,24
10011,al,197,19,24
10011,al,198,19,24
10011,al,199,19,24
10011,al,200,19,24
10011,al,201,19,24
10011,al,202,19,24
10011,al,203,19,24
10011,al,204,19,24
10011,al,205,19,24
10011,al,206,19,24
