ProviderNumber,ZipCode,original_index,unique_index,count
10018,35233,0,0,25
10018,35233,1,0,25
10018,35233,2,0,25
10018,35233,3,0,25
10018,35233,4,0,25
10018,35233,5,0,25
10018,35233,6,0,25
10018,35233,7,0,25
10019,35660,8,1,24
10019,35660,9,1,24
10019,35660,10,1,24
10019,35660,11,1,24
10019,35660,12,1,24
1xx19,35660,13,2,1
10019,35660,14,1,24
10019,35660,15,1,24
10019,35660,16,1,24
10019,35660,17,1,24
10019,35660,18,1,24
10001,36302,19,3,25
10001,36302,20,3,25
10001,36302,21,3,25
10001,36302,22,3,25
10001,36302,23,3,25
10001,36302,24,3,25
10001,36302,25,3,25
10001,36302,26,3,25
10001,36302,27,3,25
10001,36302,28,3,25
10001,36302,29,3,25
10001,36302,30,3,25
10001,36302,31,3,25
10001,36302,32,3,25
10001,36302,33,3,25
10001,36302,34,3,25
10001,36302,35,3,25
10001,36302,36,3,25
10001,36302,37,3,25
10001,36302,38,3,25
10001,36302,39,3,25
10001,36302,40,3,25
10001,36302,41,3,25
10001,36302,42,3,25
10001,36302,43,3,25
10005,x5957,44,4,1
x0005,35957,45,5,1
10005,35957,46,6,22
10005,35957,47,6,22
10005,35957,48,6,22
10005,35957,49,6,22
10005,35957,50,6,22
10005,35957,51,6,22
10005,35957,52,6,22
10005,35957,53,6,22
10005,35957,54,6,22
10005,35957,55,6,22
10005,35957,56,6,22
10005,35957,57,6,22
10005,35957,58,6,22
10005,35957,59,6,22
10005,35957,60,6,22
10005,35957,61,6,22
10005,35957,62,6,22
10005,3595x,63,7,1
10005,35957,64,6,22
10005,35957,65,6,22
10005,35957,66,6,22
10005,35957,67,6,22
10005,35957,68,6,22
10006,35631,69,8,22
10006,3563x,70,9,2
10006,35631,71,8,22
10006,35631,72,8,22
10006,35631,73,8,22
10006,35631,74,8,22
10006,35631,75,8,22
10006,35631,76,8,22
10006,35631,77,8,22
10006,35631,78,8,22
10006,35631,79,8,22
10006,35631,80,8,22
1000x,35631,81,10,1
10006,35631,82,8,22
10006,35631,83,8,22
10006,35631,84,8,22
10006,35631,85,8,22
10006,35631,86,8,22
10006,35631,87,8,22
10006,35631,88,8,22
10006,35631,89,8,22
10006,35631,90,8,22
10006,35631,91,8,22
10006,35631,92,8,22
10006,3563x,93,9,2
10007,36467,94,11,25
10007,36467,95,11,25
10007,36467,96,11,25
10007,36467,97,11,25
10007,36467,98,11,25
10007,36467,99,11,25
10007,36467,100,11,25
10007,36467,101,11,25
10007,36467,102,11,25
10007,36467,103,11,25
10007,36467,104,11,25
10007,36467,105,11,25
10007,36467,106,11,25
10007,36467,107,11,25
10007,36467,108,11,25
10007,36467,109,11,25
10007,36467,110,11,25
10007,36467,111,11,25
10007,36467,112,11,25
10007,36467,113,11,25
10007,36467,114,11,25
10007,36467,115,11,25
10007,36467,116,11,25
10007,36467,117,11,25
10007,36467,118,11,25
10008,36049,119,12,23
10008,36049,120,12,23
10008,36049,121,12,23
10008,36049,122,12,23
10008,36049,123,12,23
10008,36049,124,12,23
10008,36049,125,12,23
10008,36049,126,12,23
10008,36049,127,12,23
10008,36049,128,12,23
10008,36049,129,12,23
10008,36049,130,12,23
10008,36049,131,12,23
10008,36049,132,12,23
10008,36049,133,12,23
10008,36049,134,12,23
10008,36049,135,12,23
10008,36049,136,12,23
10008,36x49,137,13,1
10008,36049,138,12,23
10008,360x9,139,14,1
10008,36049,140,12,23
10008,36049,141,12,23
10008,36049,142,12,23
10008,36049,143,12,23
10009,35640,144,15,23
10009,35640,145,15,23
10009,35640,146,15,23
10009,35640,147,15,23
10009,35640,148,15,23
10009,3x640,149,16,2
10009,35640,150,15,23
10009,35640,151,15,23
10009,35640,152,15,23
10009,35640,153,15,23
10009,35640,154,15,23
10009,35640,155,15,23
10009,35640,156,15,23
10009,3x640,157,16,2
10009,35640,158,15,23
10009,35640,159,15,23
10009,35640,160,15,23
10009,35640,161,15,23
10009,35640,162,15,23
10009,35640,163,15,23
10009,35640,164,15,23
10009,35640,165,15,23
10009,35640,166,15,23
10009,35640,167,15,23
