State,EmergencyService,original_index,unique_index,count
al,yes,0,0,789
al,yes,1,0,789
al,yes,2,0,789
al,yes,3,0,789
al,yes,4,0,789
al,yes,5,0,789
al,yes,6,0,789
al,yes,7,0,789
al,yes,8,0,789
al,yes,9,0,789
al,yes,10,0,789
al,yes,11,0,789
al,yes,12,0,789
al,yes,13,0,789
al,yes,14,0,789
al,yes,15,0,789
al,yes,16,0,789
al,yes,17,0,789
al,yes,18,0,789
al,yes,19,0,789
al,yes,20,0,789
al,yes,21,0,789
al,yes,22,0,789
al,yes,23,0,789
al,yxs,24,1,11
al,yes,25,0,789
al,yes,26,0,789
al,yes,27,0,789
al,yes,28,0,789
al,yes,29,0,789
al,yes,30,0,789
al,yes,31,0,789
al,yes,32,0,789
al,yes,33,0,789
al,yes,34,0,789
al,yes,35,0,789
al,yes,36,0,789
al,yes,37,0,789
al,yes,38,0,789
al,yes,39,0,789
al,yes,40,0,789
al,yes,41,0,789
xl,yes,42,2,13
al,yex,43,3,9
al,yes,44,0,789
al,yes,45,0,789
xl,yes,46,2,13
al,yes,47,0,789
al,yes,48,0,789
al,yes,49,0,789
xl,yes,50,2,13
al,yxs,51,1,11
al,yes,52,0,789
al,yes,53,0,789
al,yes,54,0,789
al,yes,55,0,789
al,yes,56,0,789
al,yes,57,0,789
al,yes,58,0,789
al,yes,59,0,789
al,yes,60,0,789
al,yes,61,0,789
al,yes,62,0,789
al,yes,63,0,789
al,yes,64,0,789
al,yes,65,0,789
al,yes,66,0,789
al,yes,67,0,789
al,yes,68,0,789
al,yes,69,0,789
al,yes,70,0,789
al,yes,71,0,789
al,yes,72,0,789
al,yes,73,0,789
al,yes,74,0,789
al,yes,75,0,789
al,yes,76,0,789
al,yes,77,0,789
al,yes,78,0,789
al,yes,79,0,789
al,yes,80,0,789
al,yes,81,0,789
al,yes,82,0,789
xl,yes,83,2,13
al,yes,84,0,789
al,yes,85,0,789
al,yes,86,0,789
al,yes,87,0,789
al,yes,88,0,789
al,yes,89,0,789
al,yes,90,0,789
al,yes,91,0,789
al,yes,92,0,789
al,yes,93,0,789
al,no,94,4,138
al,no,95,4,138
al,no,96,4,138
al,no,97,4,138
xl,no,98,5,3
al,no,99,4,138
al,no,100,4,138
al,no,101,4,138
al,no,102,4,138
al,no,103,4,138
al,no,104,4,138
al,no,105,4,138
al,no,106,4,138
al,no,107,4,138
al,no,108,4,138
al,no,109,4,138
al,no,110,4,138
al,no,111,4,138
al,no,112,4,138
al,no,113,4,138
al,no,114,4,138
al,no,115,4,138
al,no,116,4,138
al,no,117,4,138
al,no,118,4,138
ax,yes,119,6,10
al,yes,120,0,789
al,yes,121,0,789
al,yes,122,0,789
al,yes,123,0,789
al,yes,124,0,789
al,yes,125,0,789
al,yes,126,0,789
al,yes,127,0,789
al,yes,128,0,789
al,yes,129,0,789
al,yes,130,0,789
al,yes,131,0,789
al,yes,132,0,789
al,yes,133,0,789
al,yes,134,0,789
al,yes,135,0,789
al,yes,136,0,789
al,yes,137,0,789
al,yes,138,0,789
al,yes,139,0,789
ax,yes,140,6,10
al,yes,141,0,789
al,yes,142,0,789
al,yes,143,0,789
al,yes,144,0,789
al,yes,145,0,789
al,yes,146,0,789
al,yes,147,0,789
al,yes,148,0,789
al,yes,149,0,789
al,yes,150,0,789
al,yes,151,0,789
al,yes,152,0,789
al,yes,153,0,789
al,yes,154,0,789
al,yes,155,0,789
al,yes,156,0,789
al,yxs,157,1,11
al,yes,158,0,789
al,yes,159,0,789
al,yes,160,0,789
al,yes,161,0,789
al,yes,162,0,789
al,yes,163,0,789
al,yes,164,0,789
ax,yes,165,6,10
al,yes,166,0,789
al,yes,167,0,789
al,yes,168,0,789
al,yes,169,0,789
al,yes,170,0,789
al,yes,171,0,789
al,yes,172,0,789
al,yes,173,0,789
al,yes,174,0,789
al,yes,175,0,789
al,yes,176,0,789
al,yes,177,0,789
al,yes,178,0,789
al,yes,179,0,789
al,yes,180,0,789
al,yes,181,0,789
xl,yes,182,2,13
al,yes,183,0,789
al,yes,184,0,789
al,yes,185,0,789
al,yes,186,0,789
al,yes,187,0,789
al,yes,188,0,789
al,yes,189,0,789
al,yes,190,0,789
al,yes,191,0,789
al,yes,192,0,789
al,yes,193,0,789
al,yes,194,0,789
al,yes,195,0,789
al,yes,196,0,789
al,yes,197,0,789
al,yes,198,0,789
al,yes,199,0,789
al,yes,200,0,789
al,yes,201,0,789
al,yes,202,0,789
al,yes,203,0,789
al,yes,204,0,789
al,yes,205,0,789
al,yes,206,0,789
al,yes,207,0,789
al,yes,208,0,789
al,yes,209,0,789
al,yes,210,0,789
al,yes,211,0,789
al,yes,212,0,789
al,yes,213,0,789
al,yes,214,0,789
al,yes,215,0,789
al,yes,216,0,789
al,yes,217,0,789
al,yes,218,0,789
al,yes,219,0,789
al,yes,220,0,789
al,yes,221,0,789
al,yes,222,0,789
al,yes,223,0,789
al,yes,224,0,789
al,yes,225,0,789
al,yes,226,0,789
al,yes,227,0,789
ax,yes,228,6,10
al,yes,229,0,789
al,yes,230,0,789
al,yes,231,0,789
al,yes,232,0,789
al,yes,233,0,789
al,yes,234,0,789
al,yes,235,0,789
al,yes,236,0,789
al,yes,237,0,789
al,yes,238,0,789
al,yes,239,0,789
al,yes,240,0,789
al,yes,241,0,789
al,yes,242,0,789
al,yes,243,0,789
al,yes,244,0,789
al,yes,245,0,789
al,yes,246,0,789
al,yes,247,0,789
al,yes,248,0,789
al,yes,249,0,789
al,yes,250,0,789
al,yes,251,0,789
al,yes,252,0,789
al,yes,253,0,789
al,yes,254,0,789
al,yes,255,0,789
al,yes,256,0,789
al,yes,257,0,789
al,yes,258,0,789
al,yes,259,0,789
al,yes,260,0,789
al,yes,261,0,789
al,yes,262,0,789
al,yes,263,0,789
al,yes,264,0,789
al,yes,265,0,789
al,yes,266,0,789
al,yes,267,0,789
al,yes,268,0,789
al,yes,269,0,789
al,yes,270,0,789
al,yes,271,0,789
al,yes,272,0,789
al,yes,273,0,789
al,yes,274,0,789
al,yes,275,0,789
al,yes,276,0,789
al,yes,277,0,789
xl,yes,278,2,13
al,yes,279,0,789
al,yes,280,0,789
al,yes,281,0,789
al,yes,282,0,789
al,yes,283,0,789
al,yes,284,0,789
al,yes,285,0,789
al,yes,286,0,789
al,yes,287,0,789
al,yes,288,0,789
al,yes,289,0,789
al,yes,290,0,789
al,yes,291,0,789
al,yes,292,0,789
al,yes,293,0,789
al,yes,294,0,789
al,yes,295,0,789
al,yes,296,0,789
al,yes,297,0,789
al,yes,298,0,789
al,yes,299,0,789
al,yes,300,0,789
al,yes,301,0,789
al,yes,302,0,789
al,yes,303,0,789
al,yes,304,0,789
al,yes,305,0,789
al,yes,306,0,789
al,yes,307,0,789
al,yes,308,0,789
al,yes,309,0,789
al,yes,310,0,789
al,yes,311,0,789
al,yes,312,0,789
al,yes,313,0,789
al,yes,314,0,789
al,yes,315,0,789
al,yes,316,0,789
al,yes,317,0,789
al,xes,318,7,5
al,yes,319,0,789
al,yes,320,0,789
al,yes,321,0,789
al,yes,322,0,789
al,yes,323,0,789
al,yes,324,0,789
al,yes,325,0,789
al,yes,326,0,789
al,yex,327,3,9
al,yes,328,0,789
al,yes,329,0,789
al,yes,330,0,789
al,yes,331,0,789
al,yex,332,3,9
al,yes,333,0,789
al,yes,334,0,789
al,yes,335,0,789
al,yes,336,0,789
al,yes,337,0,789
al,yes,338,0,789
al,yes,339,0,789
al,yes,340,0,789
al,yes,341,0,789
al,yes,342,0,789
al,yes,343,0,789
al,yes,344,0,789
al,yes,345,0,789
al,yes,346,0,789
al,yes,347,0,789
al,yes,348,0,789
al,yes,349,0,789
al,yxs,350,1,11
al,yes,351,0,789
al,yes,352,0,789
al,yes,353,0,789
al,yes,354,0,789
al,yes,355,0,789
ax,yes,356,6,10
al,yes,357,0,789
al,yes,358,0,789
al,yes,359,0,789
al,yes,360,0,789
al,yes,361,0,789
al,yes,362,0,789
al,yes,363,0,789
al,yes,364,0,789
al,yes,365,0,789
al,yes,366,0,789
al,yes,367,0,789
al,yes,368,0,789
al,yes,369,0,789
al,yes,370,0,789
al,yes,371,0,789
al,yes,372,0,789
al,yes,373,0,789
al,yex,374,3,9
al,yes,375,0,789
al,yes,376,0,789
al,yes,377,0,789
al,yes,378,0,789
al,yes,379,0,789
al,yes,380,0,789
al,yes,381,0,789
al,yes,382,0,789
al,yes,383,0,789
al,yes,384,0,789
al,yes,385,0,789
xl,yes,386,2,13
al,yes,387,0,789
al,yes,388,0,789
al,yxs,389,1,11
al,yes,390,0,789
al,yes,391,0,789
al,yes,392,0,789
al,yes,393,0,789
al,yes,394,0,789
al,yes,395,0,789
al,yes,396,0,789
al,yes,397,0,789
al,yes,398,0,789
al,yes,399,0,789
al,yes,400,0,789
al,yes,401,0,789
ax,yes,402,6,10
al,yes,403,0,789
al,yes,404,0,789
al,yes,405,0,789
al,yes,406,0,789
al,yes,407,0,789
al,yes,408,0,789
al,yes,409,0,789
al,yxs,410,1,11
al,yes,411,0,789
al,yes,412,0,789
al,yes,413,0,789
al,no,414,4,138
al,no,415,4,138
al,no,416,4,138
al,no,417,4,138
al,xo,418,8,2
al,no,419,4,138
al,no,420,4,138
al,no,421,4,138
al,no,422,4,138
al,no,423,4,138
al,no,424,4,138
al,no,425,4,138
al,no,426,4,138
al,no,427,4,138
al,no,428,4,138
al,no,429,4,138
al,no,430,4,138
al,no,431,4,138
ak,yes,432,9,18
ak,yes,433,9,18
ak,yes,434,9,18
ak,yes,435,9,18
ak,yes,436,9,18
ak,yes,437,9,18
ak,yes,438,9,18
ak,yes,439,9,18
ak,yes,440,9,18
ak,yes,441,9,18
ak,yes,442,9,18
ak,yes,443,9,18
ak,yes,444,9,18
ak,yes,445,9,18
ak,yes,446,9,18
ak,yes,447,9,18
ak,yes,448,9,18
ak,yes,449,9,18
ak,no,450,10,2
ak,no,451,10,2
al,yes,452,0,789
al,yes,453,0,789
al,yes,454,0,789
al,yes,455,0,789
al,yes,456,0,789
al,yes,457,0,789
al,yes,458,0,789
al,yes,459,0,789
al,yes,460,0,789
al,yes,461,0,789
al,yes,462,0,789
al,yes,463,0,789
al,yes,464,0,789
al,yes,465,0,789
al,yes,466,0,789
al,yes,467,0,789
al,yes,468,0,789
al,yes,469,0,789
al,yes,470,0,789
al,yes,471,0,789
al,yes,472,0,789
al,yes,473,0,789
al,yes,474,0,789
al,yes,475,0,789
al,yes,476,0,789
xl,yes,477,2,13
al,yes,478,0,789
al,yes,479,0,789
al,yes,480,0,789
al,yes,481,0,789
al,yes,482,0,789
xl,yes,483,2,13
al,yes,484,0,789
al,yes,485,0,789
al,yes,486,0,789
al,yes,487,0,789
al,yes,488,0,789
al,yes,489,0,789
al,yes,490,0,789
al,yes,491,0,789
al,yxs,492,1,11
al,yes,493,0,789
al,yes,494,0,789
al,yes,495,0,789
al,yes,496,0,789
al,yes,497,0,789
al,yes,498,0,789
al,yes,499,0,789
al,yes,500,0,789
al,yes,501,0,789
al,yes,502,0,789
al,yes,503,0,789
ax,yes,504,6,10
al,yes,505,0,789
al,yes,506,0,789
al,yes,507,0,789
al,yes,508,0,789
al,yes,509,0,789
al,yes,510,0,789
al,yes,511,0,789
al,yes,512,0,789
al,yes,513,0,789
al,yes,514,0,789
al,yes,515,0,789
al,yes,516,0,789
al,yes,517,0,789
al,yes,518,0,789
al,yes,519,0,789
al,yes,520,0,789
al,yxs,521,1,11
al,yes,522,0,789
al,yes,523,0,789
al,yes,524,0,789
al,yes,525,0,789
al,yes,526,0,789
al,yes,527,0,789
al,yes,528,0,789
al,yes,529,0,789
al,yes,530,0,789
al,yes,531,0,789
al,yes,532,0,789
al,yes,533,0,789
al,yes,534,0,789
al,yes,535,0,789
al,yex,536,3,9
al,yes,537,0,789
al,yes,538,0,789
al,yes,539,0,789
al,yes,540,0,789
al,yes,541,0,789
al,yes,542,0,789
al,yes,543,0,789
al,yes,544,0,789
al,yes,545,0,789
al,yes,546,0,789
al,yes,547,0,789
al,yes,548,0,789
al,yes,549,0,789
al,yes,550,0,789
al,yes,551,0,789
al,yes,552,0,789
al,yes,553,0,789
al,yes,554,0,789
al,yes,555,0,789
al,yes,556,0,789
al,yes,557,0,789
al,yes,558,0,789
xl,yes,559,2,13
al,yes,560,0,789
al,yes,561,0,789
al,yes,562,0,789
