State,PhoneNumber,original_index,unique_index,count
al,2053258100,0,0,25
al,2053258100,1,0,25
al,2053258100,2,0,25
al,2053258100,3,0,25
al,2053258100,4,0,25
al,2053258100,5,0,25
al,2053258100,6,0,25
al,2053258100,7,0,25
al,2563864556,8,1,25
al,2563864556,9,1,25
al,2563864556,10,1,25
al,2563864556,11,1,25
al,2563864556,12,1,25
al,2563864556,13,1,25
al,2563864556,14,1,25
al,2563864556,15,1,25
al,2563864556,16,1,25
al,2563864556,17,1,25
al,2563864556,18,1,25
al,3347938701,19,2,22
al,3347938701,20,2,22
al,3347938701,21,2,22
al,3347938701,22,2,22
al,3347938701,23,2,22
al,334793870x,24,3,1
al,3347938701,25,2,22
al,3347938701,26,2,22
al,3347938701,27,2,22
al,3347938701,28,2,22
al,3347938701,29,2,22
al,3347938701,30,2,22
al,3347938701,31,2,22
al,3347938701,32,2,22
al,3347938701,33,2,22
al,3347938701,34,2,22
al,3347938701,35,2,22
al,xx479x8701,36,4,1
al,3347938701,37,2,22
al,3347938701,38,2,22
al,3347938701,39,2,22
al,3347938701,40,2,22
al,3347938701,41,2,22
xl,3347938701,42,5,1
al,3347938701,43,2,22
al,2565938310,44,6,20
al,2565938310,45,6,20
xl,2565938310,46,7,2
al,2565938310,47,6,20
al,2565938310,48,6,20
al,2565938310,49,6,20
xl,2565938310,50,7,2
al,2565938310,51,6,20
al,2565938310,52,6,20
al,2565938310,53,6,20
al,2565938310,54,6,20
al,2565938310,55,6,20
al,2565938310,56,6,20
al,2x6x938310,57,8,2
al,2565938310,58,6,20
al,2565938310,59,6,20
al,2x6x938310,60,8,2
al,2565938310,61,6,20
al,2565938310,62,6,20
al,2565938310,63,6,20
al,2565938310,64,6,20
al,2565x38310,65,9,1
al,2565938310,66,6,20
al,2565938310,67,6,20
al,2565938310,68,6,20
al,2567688400,69,10,24
al,2567688400,70,10,24
al,2567688400,71,10,24
al,2567688400,72,10,24
al,2567688400,73,10,24
al,2567688400,74,10,24
al,2567688400,75,10,24
