column_1_name,column_2_name,column_1_count,column_2_count,dependency
HospitalType,ProviderNumber,31,28,"ProviderNumber, HospitalType"
CountyName,State,39,23,"State, CountyName"
Address1,PhoneNumber,31,34,"Address1, PhoneNumber"
Address1,City,31,33,"Address1, City"
City,HospitalName,32,24,"HospitalName, City"
ProviderNumber,State,28,25,"ProviderNumber, State"
HospitalName,ZipCode,24,29,"HospitalName, ZipCode"
Condition,MeasureCode,32,29,"Condition, MeasureCode"
Address1,HospitalName,31,23,"HospitalName, Address1"
State,Stateavg,25,4,"State, Stateavg"
EmergencyService,HospitalOwner,27,27,"HospitalOwner, EmergencyService"
City,ProviderNumber,33,28,"ProviderNumber, City"
City,State,33,26,"City, State"
Address1,State,31,26,"Address1, State"
City,HospitalType,33,31,"City, HospitalType"
PhoneNumber,ProviderNumber,34,28,"ProviderNumber, PhoneNumber"
Address1,ZipCode,31,30,"Address1, ZipCode"
MeasureCode,State,37,26,"State, MeasureCode"
City,ZipCode,33,29,"City, ZipCode"
EmergencyService,ZipCode,27,29,"ZipCode, EmergencyService"
Sample,Score,29,23,"Score, Sample"
HospitalName,ProviderNumber,24,28,"ProviderNumber, HospitalName"
HospitalOwner,State,26,11,"State, HospitalOwner"
City,CountyName,33,39,"City, CountyName"
HospitalOwner,ProviderNumber,27,28,"ProviderNumber, HospitalOwner"
City,EmergencyService,33,27,"City, EmergencyService"
HospitalName,HospitalOwner,24,27,"HospitalName, HospitalOwner"
HospitalType,ZipCode,31,30,"ZipCode, HospitalType"
EmergencyService,HospitalType,27,32,"HospitalType, EmergencyService"
Address1,HospitalOwner,31,27,"Address1, HospitalOwner"
Condition,Stateavg,31,47,"Condition, Stateavg"
HospitalName,State,23,26,"HospitalName, State"
HospitalOwner,HospitalType,27,32,"HospitalType, HospitalOwner"
HospitalType,State,32,26,"State, HospitalType"
ProviderNumber,ZipCode,28,30,"ProviderNumber, ZipCode"
Condition,MeasureName,31,37,"Condition, MeasureName"
Address1,HospitalType,31,32,"Address1, HospitalType"
HospitalOwner,ZipCode,48,30,"ZipCode, HospitalOwner"
State,ZipCode,26,30,"State, ZipCode"
City,PhoneNumber,32,34,"City, PhoneNumber"
CountyName,HospitalName,38,24,"HospitalName, CountyName"
HospitalName,HospitalType,24,30,"HospitalName, HospitalType"
Address1,CountyName,30,39,"Address1, CountyName"
City,HospitalOwner,33,97,"City, HospitalOwner"
Address1,ProviderNumber,31,28,"ProviderNumber, Address1"
PhoneNumber,State,33,24,"State, PhoneNumber"
EmergencyService,HospitalName,27,24,"HospitalName, EmergencyService"
EmergencyService,PhoneNumber,26,34,"PhoneNumber, EmergencyService"
PhoneNumber,ZipCode,59,30,"ZipCode, PhoneNumber"
CountyName,HospitalType,39,32,"CountyName, HospitalType"
HospitalOwner,PhoneNumber,25,34,"PhoneNumber, HospitalOwner"
CountyName,HospitalOwner,39,193,"CountyName, HospitalOwner"
MeasureCode,Stateavg,28,27,"MeasureCode, Stateavg"
CountyName,ProviderNumber,38,28,"ProviderNumber, CountyName"
HospitalName,PhoneNumber,24,33,"HospitalName, PhoneNumber"
CountyName,EmergencyService,39,27,"CountyName, EmergencyService"
CountyName,PhoneNumber,39,34,"CountyName, PhoneNumber"
Address1,EmergencyService,31,26,"Address1, EmergencyService"
HospitalType,PhoneNumber,32,34,"PhoneNumber, HospitalType"
EmergencyService,ProviderNumber,27,28,"ProviderNumber, EmergencyService"
