article_language,original_index,unique_index,count
eng,0,0,464.0
ENG,1,1,23.0
eng,2,0,464.0
pol,3,2,3.0
eng,4,0,464.0
eng,5,0,464.0
eng,6,0,464.0
English; ABSTRACT LANGUAGE:English,7,3,4.0
English,8,4,95.0
,9,5,
,10,5,
English,11,4,95.0
eng,12,0,464.0
,13,5,
eng,14,0,464.0
eng,15,0,464.0
eng,16,0,464.0
eng,17,0,464.0
eng,18,0,464.0
eng,19,0,464.0
eng,20,0,464.0
English,21,4,95.0
eng,22,0,464.0
eng,23,0,464.0
,24,5,
eng,25,0,464.0
eng,26,0,464.0
English,27,4,95.0
eng,28,0,464.0
English,29,4,95.0
kor,30,6,1.0
eng,31,0,464.0
English,32,4,95.0
eng,33,0,464.0
eng,34,0,464.0
,35,5,
English,36,4,95.0
eng,37,0,464.0
English,38,4,95.0
eng,39,0,464.0
,40,5,
eng,41,0,464.0
,42,5,
eng,43,0,464.0
,44,5,
eng,45,0,464.0
,46,5,
eng,47,0,464.0
eng,48,0,464.0
,49,5,
English,50,4,95.0
English; ABSTRACT LANGUAGE:English,51,3,4.0
eng,52,0,464.0
eng,53,0,464.0
,54,5,
ENG,55,1,23.0
eng,56,0,464.0
eng,57,0,464.0
,58,5,
eng,59,0,464.0
eng,60,0,464.0
eng,61,0,464.0
English,62,4,95.0
,63,5,
eng,64,0,464.0
eng,65,0,464.0
,66,5,
,67,5,
chi,68,7,3.0
eng,69,0,464.0
eng,70,0,464.0
eng,71,0,464.0
eng,72,0,464.0
English,73,4,95.0
eng,74,0,464.0
eng,75,0,464.0
,76,5,
,77,5,
eng,78,0,464.0
,79,5,
eng,80,0,464.0
eng,81,0,464.0
,82,5,
engspa,83,8,1.0
eng     por,84,9,1.0
,85,5,
eng,86,0,464.0
eng,87,0,464.0
eng,88,0,464.0
,89,5,
eng,90,0,464.0
fre,91,10,4.0
eng,92,0,464.0
English,93,4,95.0
eng,94,0,464.0
eng,95,0,464.0
,96,5,
,97,5,
eng,98,0,464.0
,99,5,
,100,5,
English,101,4,95.0
English,102,4,95.0
eng,103,0,464.0
eng,104,0,464.0
eng,105,0,464.0
,106,5,
eng,107,0,464.0
eng,108,0,464.0
eng,109,0,464.0
eng,110,0,464.0
English,111,4,95.0
eng,112,0,464.0
,113,5,
eng,114,0,464.0
,115,5,
,116,5,
,117,5,
,118,5,
English,119,4,95.0
eng,120,0,464.0
eng,121,0,464.0
eng,122,0,464.0
eng,123,0,464.0
eng,124,0,464.0
spa,125,11,4.0
,126,5,
,127,5,
eng,128,0,464.0
,129,5,
,130,5,
eng,131,0,464.0
,132,5,
,133,5,
,134,5,
eng,135,0,464.0
eng,136,0,464.0
,137,5,
,138,5,
eng,139,0,464.0
eng,140,0,464.0
eng,141,0,464.0
,142,5,
eng,143,0,464.0
eng,144,0,464.0
"Chinese     Chinese, English",145,12,1.0
,146,5,
eng,147,0,464.0
eng,148,0,464.0
eng,149,0,464.0
,150,5,
eng,151,0,464.0
dut,152,13,1.0
eng,153,0,464.0
English,154,4,95.0
eng,155,0,464.0
,156,5,
eng,157,0,464.0
cze,158,14,1.0
English,159,4,95.0
,160,5,
eng,161,0,464.0
,162,5,
,163,5,
eng,164,0,464.0
,165,5,
,166,5,
eng,167,0,464.0
,168,5,
,169,5,
eng,170,0,464.0
eng,171,0,464.0
eng,172,0,464.0
English,173,4,95.0
English; ABSTRACT LANGUAGE:English,174,3,4.0
eng,175,0,464.0
eng,176,0,464.0
,177,5,
eng,178,0,464.0
eng,179,0,464.0
English,180,4,95.0
ENG,181,1,23.0
,182,5,
Korean,183,15,1.0
,184,5,
English,185,4,95.0
,186,5,
,187,5,
,188,5,
English,189,4,95.0
,190,5,
eng,191,0,464.0
,192,5,
eng,193,0,464.0
,194,5,
eng,195,0,464.0
ENG,196,1,23.0
eng,197,0,464.0
eng,198,0,464.0
eng,199,0,464.0
eng,200,0,464.0
,201,5,
eng,202,0,464.0
English,203,4,95.0
eng,204,0,464.0
English,205,4,95.0
,206,5,
,207,5,
eng,208,0,464.0
ENG,209,1,23.0
eng,210,0,464.0
eng,211,0,464.0
dan,212,16,2.0
,213,5,
eng,214,0,464.0
eng,215,0,464.0
,216,5,
,217,5,
,218,5,
,219,5,
eng,220,0,464.0
,221,5,
,222,5,
eng,223,0,464.0
,224,5,
,225,5,
eng,226,0,464.0
eng,227,0,464.0
,228,5,
,229,5,
,230,5,
eng,231,0,464.0
eng,232,0,464.0
eng,233,0,464.0
eng,234,0,464.0
eng,235,0,464.0
eng,236,0,464.0
ger,237,17,6.0
eng,238,0,464.0
eng,239,0,464.0
eng,240,0,464.0
eng,241,0,464.0
eng,242,0,464.0
,243,5,
eng,244,0,464.0
,245,5,
eng,246,0,464.0
ENGPOR,247,18,1.0
eng,248,0,464.0
,249,5,
,250,5,
,251,5,
English,252,4,95.0
,253,5,
eng,254,0,464.0
eng,255,0,464.0
eng,256,0,464.0
,257,5,
eng,258,0,464.0
English,259,4,95.0
,260,5,
English,261,4,95.0
ger,262,17,6.0
eng,263,0,464.0
English,264,4,95.0
eng,265,0,464.0
eng,266,0,464.0
,267,5,
English,268,4,95.0
,269,5,
,270,5,
,271,5,
,272,5,
,273,5,
,274,5,
,275,5,
,276,5,
eng,277,0,464.0
eng,278,0,464.0
,279,5,
eng,280,0,464.0
,281,5,
eng,282,0,464.0
,283,5,
,284,5,
,285,5,
eng,286,0,464.0
,287,5,
eng,288,0,464.0
English,289,4,95.0
eng,290,0,464.0
eng,291,0,464.0
eng,292,0,464.0
,293,5,
,294,5,
eng,295,0,464.0
English,296,4,95.0
eng,297,0,464.0
English,298,4,95.0
eng,299,0,464.0
,300,5,
English,301,4,95.0
eng,302,0,464.0
,303,5,
,304,5,
eng,305,0,464.0
,306,5,
English,307,4,95.0
eng,308,0,464.0
English,309,4,95.0
,310,5,
English,311,4,95.0
ENG,312,1,23.0
,313,5,
eng,314,0,464.0
eng,315,0,464.0
English,316,4,95.0
,317,5,
eng,318,0,464.0
eng,319,0,464.0
,320,5,
eng,321,0,464.0
eng,322,0,464.0
ENG,323,1,23.0
,324,5,
,325,5,
eng,326,0,464.0
,327,5,
,328,5,
,329,5,
,330,5,
eng,331,0,464.0
,332,5,
chi,333,7,3.0
eng,334,0,464.0
eng,335,0,464.0
eng,336,0,464.0
,337,5,
eng,338,0,464.0
,339,5,
ENG,340,1,23.0
eng,341,0,464.0
,342,5,
eng,343,0,464.0
,344,5,
,345,5,
eng,346,0,464.0
eng,347,0,464.0
eng,348,0,464.0
eng,349,0,464.0
English,350,4,95.0
,351,5,
English,352,4,95.0
eng,353,0,464.0
eng,354,0,464.0
,355,5,
ENG,356,1,23.0
eng,357,0,464.0
eng,358,0,464.0
,359,5,
ENG,360,1,23.0
fre,361,10,4.0
eng,362,0,464.0
eng,363,0,464.0
,364,5,
eng,365,0,464.0
,366,5,
jpn,367,19,7.0
eng,368,0,464.0
English,369,4,95.0
eng,370,0,464.0
eng,371,0,464.0
,372,5,
English,373,4,95.0
,374,5,
eng,375,0,464.0
English,376,4,95.0
eng,377,0,464.0
,378,5,
,379,5,
eng,380,0,464.0
eng,381,0,464.0
jpn,382,19,7.0
,383,5,
eng,384,0,464.0
,385,5,
,386,5,
,387,5,
,388,5,
eng,389,0,464.0
eng,390,0,464.0
eng,391,0,464.0
spa,392,11,4.0
por,393,20,1.0
,394,5,
eng,395,0,464.0
eng,396,0,464.0
eng,397,0,464.0
,398,5,
eng,399,0,464.0
eng,400,0,464.0
eng,401,0,464.0
English,402,4,95.0
,403,5,
eng,404,0,464.0
eng,405,0,464.0
,406,5,
eng,407,0,464.0
,408,5,
German,409,21,2.0
eng,410,0,464.0
,411,5,
,412,5,
,413,5,
,414,5,
eng,415,0,464.0
eng,416,0,464.0
eng,417,0,464.0
eng,418,0,464.0
,419,5,
,420,5,
eng,421,0,464.0
,422,5,
eng,423,0,464.0
,424,5,
,425,5,
,426,5,
tur,427,22,1.0
,428,5,
English,429,4,95.0
,430,5,
eng,431,0,464.0
,432,5,
English,433,4,95.0
eng,434,0,464.0
eng,435,0,464.0
eng,436,0,464.0
English,437,4,95.0
,438,5,
eng,439,0,464.0
,440,5,
eng,441,0,464.0
eng,442,0,464.0
,443,5,
,444,5,
ENG,445,1,23.0
eng,446,0,464.0
English,447,4,95.0
eng,448,0,464.0
eng,449,0,464.0
eng,450,0,464.0
eng,451,0,464.0
eng,452,0,464.0
eng,453,0,464.0
English,454,4,95.0
pol,455,2,3.0
eng,456,0,464.0
eng,457,0,464.0
,458,5,
,459,5,
,460,5,
eng,461,0,464.0
eng,462,0,464.0
English,463,4,95.0
eng,464,0,464.0
eng,465,0,464.0
English,466,4,95.0
,467,5,
,468,5,
,469,5,
eng,470,0,464.0
eng,471,0,464.0
eng,472,0,464.0
eng,473,0,464.0
eng,474,0,464.0
eng,475,0,464.0
eng,476,0,464.0
ENG,477,1,23.0
eng,478,0,464.0
eng,479,0,464.0
eng,480,0,464.0
,481,5,
,482,5,
,483,5,
eng,484,0,464.0
eng,485,0,464.0
eng,486,0,464.0
,487,5,
,488,5,
,489,5,
,490,5,
eng,491,0,464.0
eng,492,0,464.0
,493,5,
jpn,494,19,7.0
eng,495,0,464.0
,496,5,
,497,5,
,498,5,
,499,5,
dan,500,16,2.0
English,501,4,95.0
,502,5,
,503,5,
,504,5,
eng,505,0,464.0
,506,5,
pol,507,2,3.0
English,508,4,95.0
,509,5,
,510,5,
eng,511,0,464.0
eng,512,0,464.0
,513,5,
,514,5,
eng,515,0,464.0
,516,5,
eng,517,0,464.0
eng,518,0,464.0
chi,519,7,3.0
engfre,520,23,1.0
,521,5,
eng,522,0,464.0
eng,523,0,464.0
eng,524,0,464.0
