article_pagination,original_index,unique_index,count
1187-9,0,0,1.0
,1,1,
283-4,2,2,1.0
"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",3,3,1.0
835-40,4,4,2.0
185-91,5,5,1.0
163-7,6,6,1.0
43-49,7,7,1.0
1158-78,8,8,1.0
158-61,9,9,1.0
317-325,10,10,1.0
10213-10224,11,11,1.0
711-5,12,12,1.0
S40,13,13,1.0
1245-50,14,14,1.0
919-21,15,15,1.0
185-90,16,16,2.0
Cd004797,17,17,1.0
257-8,18,18,1.0
991-5,19,19,1.0
1304-16,20,20,1.0
512-9 ST  - A performance improvement process to tackle tachysystole-,21,21,1.0
1530-9,22,22,1.0
2496-502,23,23,1.0
785-794,24,24,1.0
22-Dec,25,25,1.0
1892-900,26,26,1.0
1074-1077,27,27,1.0
e75079,28,28,1.0
W1-W4,29,29,1.0
384-8,30,30,1.0
2077-86,31,31,1.0
46,32,32,1.0
625-7,33,33,1.0
362-9,34,34,1.0
243-248,35,35,1.0
144-147,36,36,2.0
316-26; discussion 326-7,37,37,1.0
"20-6, 28",38,38,1.0
134-9,39,39,1.0
S398,40,40,1.0
1681-7,41,41,1.0
655-663,42,42,1.0
42-55,43,43,1.0
2331-2337,44,44,1.0
3582-9,45,45,1.0
,46,1,
CD002843,47,46,1.0
1518-25,48,47,1.0
viii284,49,48,1.0
151-158,50,49,1.0
324-326,51,50,1.0
984-98,52,51,1.0
597-601,53,52,1.0
18-30,54,53,1.0
715-727,55,54,1.0
427-35,56,55,2.0
34,57,56,2.0
,58,1,
3191-7,59,57,1.0
15-22,60,58,1.0
261-4,61,59,1.0
144-147,62,36,2.0
153-163,63,60,2.0
34,64,56,2.0
,65,1,
410-413,66,61,1.0
153-163,67,60,2.0
"453-5, 459",68,62,1.0
185-90,69,16,2.0
310-4,70,63,1.0
183-9,71,64,1.0
112-8,72,65,1.0
1455-1462,73,66,1.0
484-7,74,67,1.0
17-8,75,68,1.0
118-124 7p,76,69,1.0
1349-1353,77,70,1.0
9-Jun,78,71,1.0
1925-1929,79,72,1.0
167-71,80,73,1.0
13-29,81,74,1.0
,82,1,
222-8,83,75,1.0
159-63,84,76,1.0
1937-1958,85,77,1.0
152-5,86,78,1.0
38-41,87,79,1.0
10-May,88,80,1.0
135-138,89,81,1.0
261-3,90,82,1.0
93-7,91,83,1.0
341-6,92,84,1.0
481-489,93,85,1.0
SP26-7,94,86,1.0
315-20,95,87,1.0
