journal_title,original_index,unique_index,count
Proc R Soc Med,0,0,1.0
The Journal of infectious diseases,1,1,1.0
Indian journal of ophthalmology,2,2,1.0
,3,3,
Dermatologic clinics,4,4,1.0
,5,3,
Br Med Bull,6,5,1.0
American journal of respiratory and critical care medicine,7,6,2.0
Clinical Neuropsychologist,8,7,1.0
The British journal of radiology,9,8,1.0
Transportation Research Part D-Transport and Environment,10,9,1.0
International journal of clinical and experimental medicine,11,10,1.0
Acta Obstet Gynecol Scand,12,11,1.0
Heart Rhythm,13,12,1.0
,14,3,
British Journal of Dermatology.,15,13,1.0
Clinical Interventions In Aging,16,14,1.0
Cochrane Database Syst Rev,17,15,2.0
Acta Neurochirurgica,18,16,1.0
Medicine and science in sports and exercise,19,17,1.0
"Cancer prevention research (Philadelphia, Pa.)",20,18,1.0
,21,3,
Cardiovascular and interventional radiology,22,19,1.0
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,23,20,2.0
Scandinavian Journal of Gastroenterology,24,21,1.0
Global journal of health science,25,22,1.0
The Journal of clinical psychiatry,26,23,2.0
Metabolism: Clinical and Experimental,27,24,1.0
PLoS One,28,25,6.0
American Journal of Bioethics,29,26,1.0
The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,30,27,1.0
Eur. Heart J.,31,28,1.0
,32,3,
Neuroprotective Agents,33,29,1.0
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,34,30,2.0
Vulnerable Children and Youth Studies,35,31,1.0
Respiration; international review of thoracic diseases,36,32,2.0
Neurosurgery,37,33,1.0
Health Facilities Management,38,34,1.0
European journal of emergency medicine : official journal of the European Society for Emergency Medicine,39,35,1.0
Int. J. Radiat. Oncol. Biol. Phys.,40,36,1.0
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,41,37,1.0
Intensivmedizin und Notfallmedizin,42,38,1.0
Journal of the American Board of Family Medicine : JABFM,43,39,1.0
Energy and Buildings,44,40,1.0
Cancer research,45,41,1.0
,46,3,
Cochrane Database Syst. Rev.,47,42,3.0
The Journal of clinical psychiatry,48,23,2.0
Annals of Oncology,49,43,1.0
,50,3,
Annals of the Royal College of Surgeons of England,51,44,1.0
American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,52,45,1.0
Journal of science and medicine in sport / Sports Medicine Australia,53,46,1.0
,54,3,
Computers & chemical engineering,55,47,1.0
Journal of clinical anesthesia,56,48,1.0
,57,3,
Teachers College Press,58,49,1.0
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",59,50,2.0
Journal of geriatric oncology,60,51,1.0
Obesity surgery,61,52,1.0
J. Card. Surg.,62,53,1.0
Journal of Allergy and Clinical Immunology,63,54,1.0
J. Exp. Clin. Cancer Res.,64,55,1.0
Clinical evidence,65,56,1.0
Paediatrics and Child Health,66,57,1.0
AIDS Reviews,67,58,1.0
Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,68,59,1.0
Ophthalmic surgery and lasers,69,60,1.0
CANCER,70,61,2.0
European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,71,62,1.0
Journal of the neurological sciences,72,63,1.0
Transplantation,73,64,1.0
Indian Journal of Pathology and Microbiology,74,65,1.0
,75,3,
,76,3,
Archives De Pediatrie,77,66,1.0
Nepal Medical College journal : NMCJ,78,67,2.0
Transfusion,79,68,1.0
Eur J Cancer Care (Engl),80,69,1.0
Statistical methods in medical research,81,70,1.0
TEACHING Exceptional Children Plus,82,71,1.0
Actas urologicas espanolas,83,72,1.0
Einstein (Sao Paulo),84,73,1.0
"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",85,74,1.0
J Med Toxicol,86,75,1.0
,87,3,
Int J Gynaecol Obstet,88,76,1.0
Revista de Neurologia,89,77,1.0
J Cardiovasc Med (Hagerstown),90,78,1.0
Pathologie non allergique et exposition aux moisissures domestiques.,91,79,1.0
Nicotine Tob Res,92,80,1.0
Journal of Social Service Research,93,81,1.0
Am J Manag Care,94,82,1.0
Expert Opin Drug Metab Toxicol,95,83,1.0
Allergy: European Journal of Allergy and Clinical Immunology,96,84,1.0
J Dent Res,97,85,1.0
Am J Physiol Endocrinol Metab,98,86,1.0
Journal of the American Dietetic Association,99,87,1.0
,100,3,
Cognitive Processing,101,88,1.0
,102,3,
Fertility and sterility,103,89,1.0
Cancer chemotherapy and pharmacology,104,90,2.0
Psycho-oncology,105,91,2.0
,106,3,
,107,3,
Current opinion in pharmacology,108,92,1.0
The Cochrane Database Of Systematic Reviews,109,93,1.0
"Cancer immunology, immunotherapy : CII",110,94,1.0
BMJ Open,111,95,3.0
,112,3,
Industrial Robot: An International Journal,113,96,1.0
The Journal Of Rheumatology,114,97,1.0
,115,3,
Journal of applied physiology,116,98,1.0
,117,3,
G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,118,99,1.0
,119,3,
Anesthesiology (Hagerstown),120,100,1.0
Transactions of the Royal Society of Tropical Medicine and Hygiene,121,101,1.0
BMC public Health,122,102,1.0
International journal of clinical and experimental pathology,123,103,1.0
Int J Gynecol Cancer,124,104,1.0
"Neurologia (Barcelona, Spain)",125,105,1.0
,126,3,
Medicinski Glasnik,127,106,1.0
Scientific Session and Scientiftc Poster Abstracts,128,107,1.0
Curr. Vasc. Pharmacol.,129,108,1.0
Journal of the American Geriatrics Society,130,109,2.0
Am. J. Trop. Med. Hyg.,131,110,1.0
,132,3,
" BMJ 2006, 333:939",133,111,1.0
Annals of Internal Medicine,134,112,1.0
The Journals of Gerontology: Series A: Biological Sciences and Medical Sciences,135,113,1.0
Skeletal Radiology,136,114,1.0
Pharmacoeconomics,137,115,2.0
,138,3,
,139,3,
,140,3,
,141,3,
Health Technology Assessment Database,142,116,1.0
J Hand Surg Br,143,117,1.0
Journal of cardiovascular electrophysiology,144,118,1.0
Chinese Journal of New Drugs,145,119,1.0
,146,3,
Eur J Gen Pract,147,120,1.0
Gut,148,121,2.0
General dentistry,149,122,1.0
Food Control,150,123,1.0
