id,author_list,original_index,unique_index,count
235295,"{""A. G. Parks"",""J. F. McPartlin""}",0,0,1
498345,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}",1,1,1
789958,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}",2,2,1
169865,"{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}",3,3,1
803653,"{""Lauren C Pinter-Brown""}",4,4,1
98234,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}",5,5,1
823730,"{""B N Prichard"",""J W Black""}",6,6,1
729712,"{""St��_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}",7,7,1
396821,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}",8,8,1
340222,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}",9,9,1
184417,"{""J. L. Li"",""P. Newcomb""}",10,10,1
729686,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}",11,11,1
278396,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}",12,12,1
965082,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}",13,13,1
53321,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}",14,14,1
13601,"{""R S Lever"",""S A Holme""}",15,15,1
668310,"{""Andreas Kruse"",""Manh Hung Nguyen""}",16,16,1
282987,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}",17,17,1
478292,"{""Y Takagi"",""N Hashimoto"",""Y Goto""}",18,18,1
43736,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}",19,19,1
