Condition,original_index,unique_index,count
surgical infection prevention,0,0,299
surgical infection prevention,1,0,299
surgical infection prevention,2,0,299
surgical infection prevention,3,0,299
surgical infection prevention,4,0,299
surgical infection prevention,5,0,299
surgical infection prevention,6,0,299
surgical infection prevention,7,0,299
heart attack,8,1,269
heart attack,9,1,269
heart attack,10,1,269
heart attack,11,1,269
heart attack,12,1,269
heart attack,13,1,269
heart attack,14,1,269
heart failure,15,2,156
heart failure,16,2,156
heart failure,17,2,156
heart failure,18,2,156
heart attack,19,1,269
heart attack,20,1,269
heart attaxk,21,3,3
hearx axxack,22,4,2
heart attack,23,1,269
heart attack,24,1,269
heart attack,25,1,269
heart failure,26,2,156
heart failure,27,2,156
heart failure,28,2,156
heart failure,29,2,156
pneumonia,30,5,235
pneumonia,31,5,235
pneumonia,32,5,235
pneumonia,33,5,235
pneumonia,34,5,235
pneumonia,35,5,235
surgical infection prevention,36,0,299
surgical infection prevention,37,0,299
surgical infection prevention,38,0,299
surgical infection prevention,39,0,299
surgical infection prevention,40,0,299
surgical infection prevention,41,0,299
surgical infection prevention,42,0,299
surgical infection prevention,43,0,299
heart attack,44,1,269
heart attack,45,1,269
heart attack,46,1,269
heart attack,47,1,269
heart attack,48,1,269
heart attack,49,1,269
heart attack,50,1,269
heart failure,51,2,156
heart failure,52,2,156
heart failure,53,2,156
heart failure,54,2,156
pneumonia,55,5,235
pneumonia,56,5,235
pneumonia,57,5,235
pneumonia,58,5,235
pneumonia,59,5,235
pneumonia,60,5,235
surgical infection prevention,61,0,299
surgical infection prevention,62,0,299
surgical infection prevention,63,0,299
surgical infection prevention,64,0,299
surgical infection prevention,65,0,299
surgical infection prevention,66,0,299
surgical infection prevention,67,0,299
surgical infection prevention,68,0,299
heart attack,69,1,269
heart attack,70,1,269
heart attack,71,1,269
heart attack,72,1,269
hearx axxack,73,4,2
heart attack,74,1,269
heart attack,75,1,269
heart failure,76,2,156
heart failure,77,2,156
heart failure,78,2,156
heart failure,79,2,156
pneumonia,80,5,235
pneumonia,81,5,235
pneumonia,82,5,235
pneumonia,83,5,235
pneumonia,84,5,235
pneumonia,85,5,235
surgical infection prevention,86,0,299
surgical infection prevention,87,0,299
surgical infection prevention,88,0,299
surgical infection prevention,89,0,299
surgical infection prevention,90,0,299
surgical infection prevention,91,0,299
surgical infection prevention,92,0,299
surgical infection prevention,93,0,299
heart attack,94,1,269
heart attack,95,1,269
heart attack,96,1,269
heart attack,97,1,269
heart attack,98,1,269
heart attack,99,1,269
heart attack,100,1,269
heart failure,101,2,156
heart failure,102,2,156
heart failure,103,2,156
heart failure,104,2,156
pneumonia,105,5,235
pneumonia,106,5,235
pneumonia,107,5,235
pneumonia,108,5,235
pneumonia,109,5,235
pneumonia,110,5,235
surgical infection prevention,111,0,299
surgical infection prevention,112,0,299
surgical infection prevention,113,0,299
surgical infection prevention,114,0,299
surgical infection prevention,115,0,299
surgical infection prevention,116,0,299
surgical infection prevention,117,0,299
surgical infection prevention,118,0,299
heart attack,119,1,269
heart attack,120,1,269
heart attack,121,1,269
heart attack,122,1,269
heart attack,123,1,269
heart attack,124,1,269
heart attack,125,1,269
heart failure,126,2,156
heaxt failuxe,127,6,1
