HospitalName,original_index,unique_index,count
callahan eye foundation hospital,0,0,25
callahan eye foundation hospital,1,0,25
callahan eye foundation hospital,2,0,25
callahan eye foundation hospital,3,0,25
callahan eye foundation hospital,4,0,25
callahan eye foundation hospital,5,0,25
callahan eye foundation hospital,6,0,25
callahan eye foundation hospital,7,0,25
helen keller memorial hospital,8,1,25
helen keller memorial hospital,9,1,25
helen keller memorial hospital,10,1,25
helen keller memorial hospital,11,1,25
helen keller memorial hospital,12,1,25
helen keller memorial hospital,13,1,25
helen keller memorial hospital,14,1,25
helen keller memorial hospital,15,1,25
helen keller memorial hospital,16,1,25
helen keller memorial hospital,17,1,25
helen keller memorial hospital,18,1,25
southeast alabama medical center,19,2,24
southeast alabama medical center,20,2,24
southeast alabama medical center,21,2,24
southeast alabama medical center,22,2,24
southeast alabama medical center,23,2,24
southeast alabama medical center,24,2,24
southeast alabama medical center,25,2,24
southeast alabama medxcal center,26,3,1
southeast alabama medical center,27,2,24
southeast alabama medical center,28,2,24
southeast alabama medical center,29,2,24
southeast alabama medical center,30,2,24
southeast alabama medical center,31,2,24
southeast alabama medical center,32,2,24
southeast alabama medical center,33,2,24
southeast alabama medical center,34,2,24
southeast alabama medical center,35,2,24
southeast alabama medical center,36,2,24
southeast alabama medical center,37,2,24
southeast alabama medical center,38,2,24
southeast alabama medical center,39,2,24
southeast alabama medical center,40,2,24
southeast alabama medical center,41,2,24
southeast alabama medical center,42,2,24
southeast alabama medical center,43,2,24
marshall medical center south,44,4,25
marshall medical center south,45,4,25
marshall medical center south,46,4,25
marshall medical center south,47,4,25
marshall medical center south,48,4,25
marshall medical center south,49,4,25
marshall medical center south,50,4,25
marshall medical center south,51,4,25
marshall medical center south,52,4,25
marshall medical center south,53,4,25
marshall medical center south,54,4,25
marshall medical center south,55,4,25
marshall medical center south,56,4,25
marshall medical center south,57,4,25
marshall medical center south,58,4,25
marshall medical center south,59,4,25
marshall medical center south,60,4,25
marshall medical center south,61,4,25
marshall medical center south,62,4,25
marshall medical center south,63,4,25
marshall medical center south,64,4,25
marshall medical center south,65,4,25
marshall medical center south,66,4,25
marshall medical center south,67,4,25
marshall medical center south,68,4,25
eliza coffee memorial hospital,69,5,25
eliza coffee memorial hospital,70,5,25
eliza coffee memorial hospital,71,5,25
eliza coffee memorial hospital,72,5,25
eliza coffee memorial hospital,73,5,25
eliza coffee memorial hospital,74,5,25
eliza coffee memorial hospital,75,5,25
eliza coffee memorial hospital,76,5,25
eliza coffee memorial hospital,77,5,25
eliza coffee memorial hospital,78,5,25
eliza coffee memorial hospital,79,5,25
eliza coffee memorial hospital,80,5,25
eliza coffee memorial hospital,81,5,25
eliza coffee memorial hospital,82,5,25
eliza coffee memorial hospital,83,5,25
eliza coffee memorial hospital,84,5,25
eliza coffee memorial hospital,85,5,25
eliza coffee memorial hospital,86,5,25
eliza coffee memorial hospital,87,5,25
eliza coffee memorial hospital,88,5,25
eliza coffee memorial hospital,89,5,25
eliza coffee memorial hospital,90,5,25
eliza coffee memorial hospital,91,5,25
eliza coffee memorial hospital,92,5,25
eliza coffee memorial hospital,93,5,25
mizell memorial hospital,94,6,25
mizell memorial hospital,95,6,25
mizell memorial hospital,96,6,25
mizell memorial hospital,97,6,25
mizell memorial hospital,98,6,25
mizell memorial hospital,99,6,25
mizell memorial hospital,100,6,25
mizell memorial hospital,101,6,25
mizell memorial hospital,102,6,25
mizell memorial hospital,103,6,25
mizell memorial hospital,104,6,25
mizell memorial hospital,105,6,25
mizell memorial hospital,106,6,25
mizell memorial hospital,107,6,25
mizell memorial hospital,108,6,25
mizell memorial hospital,109,6,25
mizell memorial hospital,110,6,25
mizell memorial hospital,111,6,25
mizell memorial hospital,112,6,25
mizell memorial hospital,113,6,25
mizell memorial hospital,114,6,25
mizell memorial hospital,115,6,25
mizell memorial hospital,116,6,25
mizell memorial hospital,117,6,25
mizell memorial hospital,118,6,25
crenshaw community hospital,119,7,24
crenshaw community hospital,120,7,24
crenshaw community hospital,121,7,24
crenshaw community hospital,122,7,24
crenshaw community hospital,123,7,24
crenshaw community hospital,124,7,24
crenshaw community hospital,125,7,24
crenshaw community hospital,126,7,24
crenshaw community hospital,127,7,24
crenshaw community hospital,128,7,24
crenshaw community hospital,129,7,24
crenshaw community hospital,130,7,24
crenshaw cxmmunity hxspital,131,8,1
crenshaw community hospital,132,7,24
crenshaw community hospital,133,7,24
crenshaw community hospital,134,7,24
crenshaw community hospital,135,7,24
crenshaw community hospital,136,7,24
crenshaw community hospital,137,7,24
crenshaw community hospital,138,7,24
crenshaw community hospital,139,7,24
crenshaw community hospital,140,7,24
crenshaw community hospital,141,7,24
crenshaw community hospital,142,7,24
crenshaw community hospital,143,7,24
hartselle medical center,144,9,25
hartselle medical center,145,9,25
hartselle medical center,146,9,25
hartselle medical center,147,9,25
hartselle medical center,148,9,25
hartselle medical center,149,9,25
hartselle medical center,150,9,25
hartselle medical center,151,9,25
hartselle medical center,152,9,25
hartselle medical center,153,9,25
hartselle medical center,154,9,25
hartselle medical center,155,9,25
hartselle medical center,156,9,25
hartselle medical center,157,9,25
hartselle medical center,158,9,25
hartselle medical center,159,9,25
hartselle medical center,160,9,25
hartselle medical center,161,9,25
hartselle medical center,162,9,25
hartselle medical center,163,9,25
hartselle medical center,164,9,25
hartselle medical center,165,9,25
hartselle medical center,166,9,25
hartselle medical center,167,9,25
hartselle medical center,168,9,25
marshall medical center north,169,10,24
marshall medical center north,170,10,24
marshall medical cenxer norxh,171,11,1
marshall medical center north,172,10,24
marshall medical center north,173,10,24
marshall medical center north,174,10,24
marshall medical center north,175,10,24
marshall medical center north,176,10,24
marshall medical center north,177,10,24
marshall medical center north,178,10,24
marshall medical center north,179,10,24
marshall medical center north,180,10,24
marshall medical center north,181,10,24
marshall medical center north,182,10,24
marshall medical center north,183,10,24
marshall medical center north,184,10,24
marshall medical center north,185,10,24
marshall medical center north,186,10,24
marshall medical center north,187,10,24
marshall medical center north,188,10,24
marshall medical center north,189,10,24
marshall medical center north,190,10,24
marshall medical center north,191,10,24
marshall medical center north,192,10,24
marshall medical center north,193,10,24
st vincents east,194,12,25
st vincents east,195,12,25
st vincents east,196,12,25
st vincents east,197,12,25
st vincents east,198,12,25
st vincents east,199,12,25
st vincents east,200,12,25
st vincents east,201,12,25
st vincents east,202,12,25
st vincents east,203,12,25
st vincents east,204,12,25
st vincents east,205,12,25
st vincents east,206,12,25
st vincents east,207,12,25
st vincents east,208,12,25
st vincents east,209,12,25
st vincents east,210,12,25
st vincents east,211,12,25
st vincents east,212,12,25
st vincents east,213,12,25
st vincents east,214,12,25
st vincents east,215,12,25
st vincents east,216,12,25
st vincents east,217,12,25
st vincents east,218,12,25
dekalb regional medical center,219,13,24
dekalb regional medical center,220,13,24
dekalb regional medical center,221,13,24
dekalb regional medical center,222,13,24
dekalb regional medical center,223,13,24
dekalb regional medical center,224,13,24
dekalb regional medical center,225,13,24
