Address1,Address2,original_index,unique_index,count
1720 university blvd,empty,0,0,24
1720 university blvd,empty,1,0,24
1720 university blvd,empty,2,0,24
1720 university blvd,empty,3,0,24
1720 university blvd,empty,4,0,24
1720 university blvd,empty,5,0,24
1720 university blvd,empty,6,0,24
1720 university blvd,empty,7,0,24
1300 south montgomery avenue,empty,8,1,25
1300 south montgomery avenue,empty,9,1,25
1300 south montgomery avenue,empty,10,1,25
1300 south montgomery avenue,empty,11,1,25
1300 south montgomery avenue,empty,12,1,25
1300 south montgomery avenue,empty,13,1,25
1300 south montgomery avenue,empty,14,1,25
1300 south montgomery avenue,empty,15,1,25
1300 south montgomery avenue,empty,16,1,25
1300 south montgomery avenue,empty,17,1,25
1300 south montgomery avenue,empty,18,1,25
1108 ross clark circle,empty,19,2,25
1108 ross clark circle,empty,20,2,25
1108 ross clark circle,empty,21,2,25
1108 ross clark circle,empty,22,2,25
1108 ross clark circle,empty,23,2,25
1108 ross clark circle,empty,24,2,25
1108 ross clark circle,empty,25,2,25
1108 ross clark circle,empty,26,2,25
1108 ross clark circle,empty,27,2,25
1108 ross clark circle,empty,28,2,25
1108 ross clark circle,empty,29,2,25
1108 ross clark circle,empty,30,2,25
1108 ross clark circle,empty,31,2,25
1108 ross clark circle,empty,32,2,25
1108 ross clark circle,empty,33,2,25
1108 ross clark circle,empty,34,2,25
1108 ross clark circle,empty,35,2,25
1108 ross clark circle,empty,36,2,25
1108 ross clark circle,empty,37,2,25
1108 ross clark circle,empty,38,2,25
1108 ross clark circle,empty,39,2,25
1108 ross clark circle,empty,40,2,25
1108 ross clark circle,empty,41,2,25
1108 ross clark circle,empty,42,2,25
1108 ross clark circle,empty,43,2,25
2505 u s highway 431 north,empty,44,3,24
2505 u s highway 431 north,empty,45,3,24
2505 u s highway 431 north,empty,46,3,24
2505 u s highway 431 north,empty,47,3,24
2505 u s highway 431 north,empty,48,3,24
2505 u s highway 431 north,empty,49,3,24
2505 u s highway 431 north,empty,50,3,24
2505 u s highway 431 north,empty,51,3,24
2505 u s highway 431 north,empty,52,3,24
2505 u s highway 431 north,empty,53,3,24
2505 u s highway 431 north,empty,54,3,24
2505 u s highway 431 north,empty,55,3,24
2505 u s highway 431 north,empty,56,3,24
2505xuxsxhighwayx431xnorth,empty,57,4,1
2505 u s highway 431 north,empty,58,3,24
2505 u s highway 431 north,empty,59,3,24
2505 u s highway 431 north,empty,60,3,24
2505 u s highway 431 north,empty,61,3,24
2505 u s highway 431 north,empty,62,3,24
2505 u s highway 431 north,empty,63,3,24
2505 u s highway 431 north,empty,64,3,24
2505 u s highway 431 north,empty,65,3,24
2505 u s highway 431 north,empty,66,3,24
2505 u s highway 431 north,empty,67,3,24
2505 u s highway 431 north,empty,68,3,24
205 marengo street,empty,69,5,25
205 marengo street,empty,70,5,25
205 marengo street,empty,71,5,25
205 marengo street,empty,72,5,25
205 marengo street,empty,73,5,25
205 marengo street,empty,74,5,25
205 marengo street,empty,75,5,25
205 marengo street,empty,76,5,25
205 marengo street,empty,77,5,25
205 marengo street,empty,78,5,25
205 marengo street,empty,79,5,25
205 marengo street,empty,80,5,25
205 marengo street,empty,81,5,25
205 marengo street,empty,82,5,25
205 marengo street,empty,83,5,25
205 marengo street,empty,84,5,25
205 marengo street,empty,85,5,25
205 marengo street,empty,86,5,25
205 marengo street,empty,87,5,25
205 marengo street,empty,88,5,25
205 marengo street,empty,89,5,25
205 marengo street,empty,90,5,25
205 marengo street,empty,91,5,25
205 marengo street,empty,92,5,25
205 marengo street,empty,93,5,25
702xnxmainxst,empty,94,6,1
702 n main st,empty,95,7,23
702 n main st,empty,96,7,23
702 n main st,empty,97,7,23
702 n main st,empty,98,7,23
702 n main st,empty,99,7,23
702 n main st,empty,100,7,23
702 n main st,empty,101,7,23
702 n main st,empty,102,7,23
702 n main st,empty,103,7,23
702 n main st,empty,104,7,23
702 n main st,empty,105,7,23
702 x maix st,empty,106,8,1
702 n main st,empty,107,7,23
702 n main st,empty,108,7,23
702 n main st,empty,109,7,23
702 n main st,empty,110,7,23
702 n main st,empty,111,7,23
702 n main st,empty,112,7,23
702 n main st,empty,113,7,23
702 n main st,empty,114,7,23
702 n main st,empty,115,7,23
702 n main st,empty,116,7,23
702 n main st,empty,117,7,23
702 n main st,empty,118,7,23
101 hospital circle,empty,119,9,25
101 hospital circle,empty,120,9,25
101 hospital circle,empty,121,9,25
101 hospital circle,empty,122,9,25
101 hospital circle,empty,123,9,25
101 hospital circle,empty,124,9,25
101 hospital circle,empty,125,9,25
101 hospital circle,empty,126,9,25
101 hospital circle,empty,127,9,25
101 hospital circle,empty,128,9,25
101 hospital circle,empty,129,9,25
101 hospital circle,empty,130,9,25
101 hospital circle,empty,131,9,25
101 hospital circle,empty,132,9,25
101 hospital circle,empty,133,9,25
101 hospital circle,empty,134,9,25
101 hospital circle,empty,135,9,25
101 hospital circle,empty,136,9,25
101 hospital circle,empty,137,9,25
101 hospital circle,empty,138,9,25
101 hospital circle,empty,139,9,25
101 hospital circle,empty,140,9,25
101 hospital circle,empty,141,9,25
101 hospital circle,empty,142,9,25
101 hospital circle,empty,143,9,25
201 pine street northwest,empty,144,10,24
201 pine street northwest,empty,145,10,24
201 pine street northwest,empty,146,10,24
201 pine street northwest,empty,147,10,24
201 pine street northwest,empty,148,10,24
201 pine street northwest,empty,149,10,24
201 pine street northwest,empty,150,10,24
201 pine street northwest,empty,151,10,24
201 pine street northwest,empty,152,10,24
201 pine street northwest,empty,153,10,24
201 pine street northwest,empty,154,10,24
201 pine street northwest,empty,155,10,24
201 pine street northwest,empty,156,10,24
201 pine street northwest,empty,157,10,24
201 pine street northwest,empty,158,10,24
201 pine street northwest,empty,159,10,24
201 pine street northwest,empty,160,10,24
201 pine sxreex norxhwesx,empty,161,11,1
201 pine street northwest,empty,162,10,24
201 pine street northwest,empty,163,10,24
201 pine street northwest,empty,164,10,24
201 pine street northwest,empty,165,10,24
201 pine street northwest,empty,166,10,24
201 pine street northwest,empty,167,10,24
201 pine street northwest,empty,168,10,24
8000 alabama highway 69,empty,169,12,24
8000 alabama highway 69,empty,170,12,24
8000 alabama highway 69,empty,171,12,24
8000 alabama highway 69,empty,172,12,24
8000 alabama highway 69,empty,173,12,24
8000 alabama highway 69,empty,174,12,24
8000 alabama xigxway 69,empty,175,13,1
8000 alabama highway 69,empty,176,12,24
8000 alabama highway 69,empty,177,12,24
8000 alabama highway 69,empty,178,12,24
8000 alabama highway 69,empty,179,12,24
8000 alabama highway 69,empty,180,12,24
8000 alabama highway 69,empty,181,12,24
8000 alabama highway 69,empty,182,12,24
8000 alabama highway 69,empty,183,12,24
8000 alabama highway 69,empty,184,12,24
8000 alabama highway 69,empty,185,12,24
8000 alabama highway 69,empty,186,12,24
8000 alabama highway 69,empty,187,12,24
8000 alabama highway 69,empty,188,12,24
8000 alabama highway 69,empty,189,12,24
8000 alabama highway 69,empty,190,12,24
8000 alabama highway 69,empty,191,12,24
8000 alabama highway 69,empty,192,12,24
8000 alabama highway 69,empty,193,12,24
50 medical park east drive,empty,194,14,25
50 medical park east drive,empty,195,14,25
50 medical park east drive,empty,196,14,25
50 medical park east drive,empty,197,14,25
50 medical park east drive,empty,198,14,25
50 medical park east drive,empty,199,14,25
50 medical park east drive,empty,200,14,25
50 medical park east drive,empty,201,14,25
50 medical park east drive,empty,202,14,25
50 medical park east drive,empty,203,14,25
50 medical park east drive,empty,204,14,25
50 medical park east drive,empty,205,14,25
50 medical park east drive,empty,206,14,25
50 medical park east drive,empty,207,14,25
50 medical park east drive,empty,208,14,25
50 medical park east drive,empty,209,14,25
50 medical park east drive,empty,210,14,25
50 medical park east drive,empty,211,14,25
50 medical park east drive,empty,212,14,25
50 medical park east drive,empty,213,14,25
50 medical park east drive,empty,214,14,25
50 medical park east drive,empty,215,14,25
50 medical park east drive,empty,216,14,25
50 medical park east drive,empty,217,14,25
50 medical park east drive,empty,218,14,25
200 med center drive,empty,219,15,25
200 med center drive,empty,220,15,25
200 med center drive,empty,221,15,25
200 med center drive,empty,222,15,25
200 med center drive,empty,223,15,25
200 med center drive,empty,224,15,25
200 med center drive,empty,225,15,25
200 med center drive,empty,226,15,25
200 med center drive,empty,227,15,25
200 med center drive,empty,228,15,25
200 med center drive,empty,229,15,25
200 med center drive,empty,230,15,25
200 med center drive,empty,231,15,25
200 med center drive,empty,232,15,25
200 med center drive,empty,233,15,25
200 med center drive,empty,234,15,25
200 med center drive,empty,235,15,25
200 med center drive,empty,236,15,25
200 med center drive,empty,237,15,25
200 med center drive,empty,238,15,25
200 med center drive,empty,239,15,25
200 med center drive,empty,240,15,25
200 med center drive,empty,241,15,25
200 med center drive,empty,242,15,25
200 med center drive,empty,243,15,25
