City,State,original_index,unique_index,count
birmingham,al,0,0,75
birmingham,al,1,0,75
birmingham,al,2,0,75
birminghxm,al,3,1,1
birmingham,al,4,0,75
birmingham,al,5,0,75
birmingham,al,6,0,75
birmingxam,al,7,2,1
sheffield,al,8,3,24
sheffield,al,9,3,24
sheffxeld,al,10,4,1
sheffield,al,11,3,24
sheffield,al,12,3,24
sheffield,al,13,3,24
sheffield,al,14,3,24
sheffield,al,15,3,24
sheffield,al,16,3,24
sheffield,al,17,3,24
sheffield,al,18,3,24
dothan,al,19,5,41
dothan,al,20,5,41
dothan,al,21,5,41
dothan,al,22,5,41
dothan,al,23,5,41
dothan,al,24,5,41
dothan,al,25,5,41
dothan,al,26,5,41
dothan,al,27,5,41
dothan,al,28,5,41
dothan,al,29,5,41
dothan,al,30,5,41
dothan,al,31,5,41
dothan,al,32,5,41
dothan,al,33,5,41
dothan,al,34,5,41
dothan,al,35,5,41
dothan,al,36,5,41
dothan,al,37,5,41
dothan,al,38,5,41
dothan,al,39,5,41
dothan,al,40,5,41
dothan,al,41,5,41
dothan,xl,42,6,1
dothan,al,43,5,41
boaz,al,44,7,22
boaz,al,45,7,22
boaz,xl,46,8,2
boaz,al,47,7,22
boaz,al,48,7,22
boaz,al,49,7,22
boaz,xl,50,8,2
boaz,al,51,7,22
boaz,al,52,7,22
boaz,al,53,7,22
boaz,al,54,7,22
boaz,al,55,7,22
boxz,al,56,9,1
boaz,al,57,7,22
boaz,al,58,7,22
boaz,al,59,7,22
boaz,al,60,7,22
boaz,al,61,7,22
boaz,al,62,7,22
boaz,al,63,7,22
boaz,al,64,7,22
boaz,al,65,7,22
boaz,al,66,7,22
boaz,al,67,7,22
boaz,al,68,7,22
florence,al,69,10,21
florence,al,70,10,21
florence,al,71,10,21
florence,al,72,10,21
florence,al,73,10,21
florence,al,74,10,21
florence,al,75,10,21
florence,al,76,10,21
florence,al,77,10,21
florence,al,78,10,21
fxorence,al,79,11,1
florence,al,80,10,21
florence,al,81,10,21
florence,al,82,10,21
florence,xl,83,12,1
florence,al,84,10,21
florence,al,85,10,21
florence,al,86,10,21
florence,al,87,10,21
florxncx,al,88,13,1
florence,al,89,10,21
florence,al,90,10,21
florence,al,91,10,21
florence,al,92,10,21
flxrence,al,93,14,1
opp,al,94,15,24
opp,al,95,15,24
opp,al,96,15,24
opp,al,97,15,24
opp,xl,98,16,1
opp,al,99,15,24
opp,al,100,15,24
opp,al,101,15,24
opp,al,102,15,24
opp,al,103,15,24
opp,al,104,15,24
opp,al,105,15,24
opp,al,106,15,24
opp,al,107,15,24
opp,al,108,15,24
opp,al,109,15,24
opp,al,110,15,24
opp,al,111,15,24
opp,al,112,15,24
opp,al,113,15,24
opp,al,114,15,24
opp,al,115,15,24
opp,al,116,15,24
opp,al,117,15,24
opp,al,118,15,24
luverne,ax,119,17,2
luverne,al,120,18,23
luverne,al,121,18,23
luverne,al,122,18,23
luverne,al,123,18,23
luverne,al,124,18,23
luverne,al,125,18,23
luverne,al,126,18,23
luverne,al,127,18,23
luverne,al,128,18,23
luverne,al,129,18,23
luverne,al,130,18,23
luverne,al,131,18,23
luverne,al,132,18,23
luverne,al,133,18,23
luverne,al,134,18,23
luverne,al,135,18,23
luverne,al,136,18,23
luverne,al,137,18,23
luverne,al,138,18,23
luverne,al,139,18,23
luverne,ax,140,17,2
luverne,al,141,18,23
luverne,al,142,18,23
luverne,al,143,18,23
hartselle,al,144,19,24
hartselle,al,145,19,24
hartselle,al,146,19,24
hartselle,al,147,19,24
hartselle,al,148,19,24
hartselle,al,149,19,24
hartselle,al,150,19,24
hartselle,al,151,19,24
hartselle,al,152,19,24
hartselle,al,153,19,24
hartselle,al,154,19,24
hartselle,al,155,19,24
hartselle,al,156,19,24
hartselle,al,157,19,24
hartselle,al,158,19,24
hartselle,al,159,19,24
hartselle,al,160,19,24
hartselle,al,161,19,24
hartselle,al,162,19,24
hartselle,al,163,19,24
hartselle,al,164,19,24
hartselle,ax,165,20,1
hartselle,al,166,19,24
hartselle,al,167,19,24
hartselle,al,168,19,24
guntersville,al,169,21,23
guntersville,al,170,21,23
guntersville,al,171,21,23
guntersville,al,172,21,23
guntersville,al,173,21,23
guntersville,al,174,21,23
guntersville,al,175,21,23
guntersville,al,176,21,23
guntersville,al,177,21,23
guntersville,al,178,21,23
guntersville,al,179,21,23
guntxrsvillx,al,180,22,1
guntersville,al,181,21,23
guntersville,xl,182,23,1
guntersville,al,183,21,23
guntersville,al,184,21,23
guntersville,al,185,21,23
guntersville,al,186,21,23
guntersville,al,187,21,23
guntersville,al,188,21,23
guntersville,al,189,21,23
guntersville,al,190,21,23
guntersville,al,191,21,23
guntersville,al,192,21,23
guntersville,al,193,21,23
birmingham,al,194,0,75
birmingham,al,195,0,75
birmingham,al,196,0,75
birmingham,al,197,0,75
birmingham,al,198,0,75
birmingham,al,199,0,75
birmingham,al,200,0,75
birmingham,al,201,0,75
birmingham,al,202,0,75
birmingham,al,203,0,75
birmingham,al,204,0,75
birmingham,al,205,0,75
birmingham,al,206,0,75
birmixgham,al,207,24,1
birmingham,al,208,0,75
birmingham,al,209,0,75
birmingham,al,210,0,75
birmingham,al,211,0,75
bxrmxngham,al,212,25,1
birmingham,al,213,0,75
birmingham,al,214,0,75
birmingham,al,215,0,75
birmingham,al,216,0,75
birmingham,al,217,0,75
birmingham,al,218,0,75
fort payne,al,219,26,24
fort payne,al,220,26,24
fort payne,al,221,26,24
fort payne,al,222,26,24
fort payne,al,223,26,24
fort payne,al,224,26,24
fort payne,al,225,26,24
fort payne,al,226,26,24
fort payne,al,227,26,24
fort payxe,ax,228,27,1
fort payne,al,229,26,24
fort payne,al,230,26,24
fort payne,al,231,26,24
fort payne,al,232,26,24
fort payne,al,233,26,24
fort payne,al,234,26,24
fort payne,al,235,26,24
fort payne,al,236,26,24
fort payne,al,237,26,24
fort payne,al,238,26,24
fort payne,al,239,26,24
fort payne,al,240,26,24
fort payne,al,241,26,24
fort payne,al,242,26,24
fort payne,al,243,26,24
thomasville,al,244,28,25
thomasville,al,245,28,25
thomasville,al,246,28,25
thomasville,al,247,28,25
thomasville,al,248,28,25
thomasville,al,249,28,25
thomasville,al,250,28,25
thomasville,al,251,28,25
thomasville,al,252,28,25
thomasville,al,253,28,25
thomasville,al,254,28,25
thomasville,al,255,28,25
thomasville,al,256,28,25
thomasville,al,257,28,25
thomasville,al,258,28,25
thomasville,al,259,28,25
thomasville,al,260,28,25
thomasville,al,261,28,25
thomasville,al,262,28,25
thomasville,al,263,28,25
thomasville,al,264,28,25
thomasville,al,265,28,25
thomasville,al,266,28,25
thomasville,al,267,28,25
thomasville,al,268,28,25
alabaster,al,269,29,24
alabaster,al,270,29,24
alabaster,al,271,29,24
alabaster,al,272,29,24
alabaster,al,273,29,24
alabaster,al,274,29,24
alabaster,al,275,29,24
alabaster,al,276,29,24
alabaster,al,277,29,24
alabaster,xl,278,30,1
alabaster,al,279,29,24
alabaster,al,280,29,24
alabaster,al,281,29,24
alabaster,al,282,29,24
alabaster,al,283,29,24
alabaster,al,284,29,24
alabaster,al,285,29,24
alabaster,al,286,29,24
alabaster,al,287,29,24
alabaster,al,288,29,24
alabaster,al,289,29,24
alabaster,al,290,29,24
alabaster,al,291,29,24
alabaster,al,292,29,24
alabaster,al,293,29,24
birmingham,al,294,0,75
birmingham,al,295,0,75
birmingham,al,296,0,75
birmingham,al,297,0,75
birmingham,al,298,0,75
birmingham,al,299,0,75
birmingham,al,300,0,75
birmingham,al,301,0,75
birmingham,al,302,0,75
birmingham,al,303,0,75
birmingham,al,304,0,75
birmingham,al,305,0,75
birmingham,al,306,0,75
birmingham,al,307,0,75
birmingham,al,308,0,75
birmingham,al,309,0,75
birmingham,al,310,0,75
axxistox,al,311,31,1
anniston,al,312,32,26
anniston,al,313,32,26
anniston,al,314,32,26
anniston,al,315,32,26
anniston,al,316,32,26
anniston,al,317,32,26
anniston,al,318,32,26
anniston,al,319,32,26
anniston,al,320,32,26
anniston,al,321,32,26
anniston,al,322,32,26
anniston,al,323,32,26
anniston,al,324,32,26
anniston,al,325,32,26
anniston,al,326,32,26
anniston,al,327,32,26
anniston,al,328,32,26
anniston,al,329,32,26
anniston,al,330,32,26
dothan,al,331,5,41
dothan,al,332,5,41
dothan,al,333,5,41
dothan,al,334,5,41
dothan,al,335,5,41
dothan,al,336,5,41
dothan,al,337,5,41
dothan,al,338,5,41
dothan,al,339,5,41
dothan,al,340,5,41
dothan,al,341,5,41
dothan,al,342,5,41
dothan,al,343,5,41
dothan,al,344,5,41
dothan,al,345,5,41
dothan,al,346,5,41
dothan,al,347,5,41
birmingham,al,348,0,75
birmingham,al,349,0,75
birmingham,al,350,0,75
birmingham,al,351,0,75
birmingham,al,352,0,75
decatur,al,353,33,1
winfield,al,354,34,23
winfield,al,355,34,23
winfield,ax,356,35,1
winfield,al,357,34,23
winfield,al,358,34,23
winfield,al,359,34,23
winfield,al,360,34,23
winfield,al,361,34,23
winfield,al,362,34,23
winfield,al,363,34,23
winfield,al,364,34,23
winfield,al,365,34,23
winfield,al,366,34,23
winfielx,al,367,36,1
winfield,al,368,34,23
winfield,al,369,34,23
winfield,al,370,34,23
winfield,al,371,34,23
winfield,al,372,34,23
winfield,al,373,34,23
winfield,al,374,34,23
winfield,al,375,34,23
winfield,al,376,34,23
winfield,al,377,34,23
winfield,al,378,34,23
mobile,al,379,37,12
mobile,al,380,37,12
mobile,al,381,37,12
mobile,al,382,37,12
mobile,al,383,37,12
mobile,al,384,37,12
mobile,al,385,37,12
mobile,xl,386,38,1
mobile,al,387,37,12
mobile,al,388,37,12
mobile,al,389,37,12
mobile,al,390,37,12
mobile,al,391,37,12
prattville,al,392,39,19
prattville,al,393,39,19
prattville,al,394,39,19
prattville,al,395,39,19
prattville,al,396,39,19
prattville,al,397,39,19
prattville,al,398,39,19
prattville,al,399,39,19
prattville,al,400,39,19
prattville,al,401,39,19
prattville,ax,402,40,1
prattville,al,403,39,19
prattville,al,404,39,19
prattville,al,405,39,19
prattville,al,406,39,19
prattville,al,407,39,19
prattville,al,408,39,19
prattville,al,409,39,19
prattville,al,410,39,19
prattville,al,411,39,19
russellville,al,412,41,2
russellville,al,413,41,2
sylacauga,al,414,42,18
sylacauga,al,415,42,18
sylacauga,al,416,42,18
sylacauga,al,417,42,18
sylacauga,al,418,42,18
sylacauga,al,419,42,18
sylacauga,al,420,42,18
sylacauga,al,421,42,18
sylacauga,al,422,42,18
sylacauga,al,423,42,18
sylacauga,al,424,42,18
sylacauga,al,425,42,18
sylacauga,al,426,42,18
sylacauga,al,427,42,18
sylacauga,al,428,42,18
sylacauga,al,429,42,18
sylacauga,al,430,42,18
sylacauga,al,431,42,18
anchorage,ak,432,43,17
anchorage,ak,433,43,17
anchorage,ak,434,43,17
anchorage,ak,435,43,17
anchorage,ak,436,43,17
anchoraxe,ak,437,44,1
anchorage,ak,438,43,17
anchorage,ak,439,43,17
anchorage,ak,440,43,17
anchorage,ak,441,43,17
anchorage,ak,442,43,17
anchorage,ak,443,43,17
anchorage,ak,444,43,17
anchorage,ak,445,43,17
anchorage,ak,446,43,17
anchorage,ak,447,43,17
anchorage,ak,448,43,17
anchorage,ak,449,43,17
bethel,ak,450,45,2
bethel,ak,451,45,2
sheffield,al,452,3,24
sheffield,al,453,3,24
sheffield,al,454,3,24
sheffield,al,455,3,24
sheffield,al,456,3,24
sheffield,al,457,3,24
sheffield,al,458,3,24
sheffield,al,459,3,24
sheffield,al,460,3,24
sheffield,al,461,3,24
sheffield,al,462,3,24
sheffield,al,463,3,24
sheffield,al,464,3,24
