Condition,MeasureCode,original_index,unique_index,count
surgical infection prevention,scip-card-2,0,0,36
surgical infection prevention,scip-inf-1,1,1,38
surgical infection prevention,scip-inf-2,2,2,37
surgical infection prevention,scip-inf-3,3,3,36
surgical infection prevention,scip-inf-4,4,4,35
surgical infection prevention,scip-inf-6,5,5,37
surgical infection prevention,scip-vte-1,6,6,36
surgical infection prevention,scip-vte-2,7,7,38
heart attack,ami-1,8,8,36
heart attack,ami-2,9,9,38
heart attack,ami-3,10,10,38
heart attack,ami-4,11,11,36
heart attack,ami-5,12,12,37
heart attack,ami-7a,13,13,38
heart attack,ami-8a,14,14,38
heart failure,hf-1,15,15,34
heart failure,hf-2,16,16,37
heart failure,hf-3,17,17,40
heart failure,hf-4,18,18,38
heart attack,ami-1,19,8,36
heart attack,ami-2,20,9,38
heart attaxk,ami-3,21,19,1
hearx axxack,ami-4,22,20,1
heart attack,ami-5,23,12,37
heart attack,ami-7a,24,13,38
heart attack,ami-8a,25,14,38
heart failure,hf-1,26,15,34
heart failure,hf-2,27,16,37
heart failure,hf-3,28,17,40
heart failure,hf-4,29,18,38
pneumonia,pn-2,30,21,40
pneumonia,pn-3b,31,22,38
pneumonia,pn-4,32,23,37
pneumonia,pn-5c,33,24,37
pneumonia,pn-6,34,25,36
pneumonia,pn-7,35,26,40
surgical infection prevention,scip-card-2,36,0,36
surgical infection prevention,scip-inf-1,37,1,38
surgical infection prevention,scip-inf-2,38,2,37
surgical infection prevention,scip-inf-3,39,3,36
surgical infection prevention,scip-inf-4,40,4,35
surgical infection prevention,scip-inf-6,41,5,37
surgical infection prevention,scip-vte-1,42,6,36
surgical infection prevention,scip-vte-2,43,7,38
heart attack,ami-1,44,8,36
heart attack,ami-2,45,9,38
heart attack,ami-3,46,10,38
heart attack,ami-4,47,11,36
heart attack,ami-5,48,12,37
heart attack,ami-7a,49,13,38
heart attack,ami-8a,50,14,38
heart failure,hf-1,51,15,34
heart failure,hf-2,52,16,37
heart failure,hf-3,53,17,40
heart failure,hf-4,54,18,38
pneumonia,pn-2,55,21,40
pneumonia,pn-3b,56,22,38
pneumonia,pn-4,57,23,37
pneumonia,pn-5c,58,24,37
pneumonia,pn-6,59,25,36
pneumonia,pn-7,60,26,40
surgical infection prevention,scip-card-2,61,0,36
surgical infection prevention,scip-inf-1,62,1,38
surgical infection prevention,scip-inf-2,63,2,37
surgical infection prevention,scip-inf-3,64,3,36
surgical infection prevention,scip-inf-4,65,4,35
surgical infection prevention,scip-inf-6,66,5,37
surgical infection prevention,scip-vte-1,67,6,36
surgical infection prevention,scip-vte-2,68,7,38
heart attack,ami-1,69,8,36
heart attack,ami-2,70,9,38
heart attack,ami-3,71,10,38
heart attack,ami-4,72,11,36
hearx axxack,ami-5,73,27,1
heart attack,ami-7a,74,13,38
heart attack,ami-8a,75,14,38
heart failure,hf-1,76,15,34
heart failure,hf-2,77,16,37
heart failure,hf-3,78,17,40
heart failure,hf-4,79,18,38
pneumonia,pn-2,80,21,40
pneumonia,pn-3b,81,22,38
pneumonia,pn-4,82,23,37
pneumonia,pn-5c,83,24,37
pneumonia,pn-6,84,25,36
pneumonia,pn-7,85,26,40
surgical infection prevention,scip-card-2,86,0,36
surgical infection prevention,scip-inf-1,87,1,38
surgical infection prevention,scip-inf-2,88,2,37
surgical infection prevention,scip-inf-3,89,3,36
surgical infection prevention,scip-inf-4,90,4,35
surgical infection prevention,scip-inf-6,91,5,37
surgical infection prevention,scip-vte-1,92,6,36
surgical infection prevention,scip-vte-2,93,7,38
heart attack,ami-1,94,8,36
heart attack,ami-2,95,9,38
heart attack,ami-3,96,10,38
heart attack,axi-4,97,28,1
heart attack,ami-5,98,12,37
heart attack,ami-7a,99,13,38
heart attack,ami-8a,100,14,38
heart failure,hfx1,101,29,2
heart failure,hf-2,102,16,37
heart failure,hf-3,103,17,40
heart failure,hf-4,104,18,38
pneumonia,pn-2,105,21,40
pneumonia,pn-3b,106,22,38
pneumonia,pn-4,107,23,37
pneumonia,pnx5c,108,30,1
pneumonia,pn-6,109,25,36
pneumonia,pn-7,110,26,40
surgical infection prevention,scip-card-2,111,0,36
surgical infection prevention,scip-inf-1,112,1,38
surgical infection prevention,scip-inf-2,113,2,37
surgical infection prevention,scip-inf-3,114,3,36
surgical infection prevention,scip-inf-4,115,4,35
surgical infection prevention,scip-inf-6,116,5,37
surgical infection prevention,scip-vte-1,117,6,36
surgical infection prevention,scip-vte-2,118,7,38
heart attack,ami-1,119,8,36
heart attack,axi-2,120,31,1
heart attack,ami-3,121,10,38
heart attack,ami-4,122,11,36
heart attack,ami-5,123,12,37
heart attack,ami-7a,124,13,38
heart attack,ami-8a,125,14,38
heart failure,hf-1,126,15,34
heaxt failuxe,hf-2,127,32,1
heart failure,hf-3,128,17,40
heart failure,hf-4,129,18,38
pneumonia,pn-2,130,21,40
