Condition,MeasureName,original_index,unique_index,count
surgical infection prevention,surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,0,0,1
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,1,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,2,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),3,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,4,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),5,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,6,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,7,7,38
heart attack,heart attack patients given aspirin at arrival,8,8,33
heart attack,heart attack patients given aspirin at discharge,9,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),10,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,11,11,38
heart attack,heart attack patients given beta blocker at discharge,12,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,13,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,14,14,37
heart failure,heart failure patients given discharge instructions,15,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,16,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),17,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,18,18,36
heart attack,heart attack patients given aspirin at arrival,19,8,33
heart attack,heart attack patients given aspirin at discharge,20,9,38
heart attaxk,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),21,19,1
hearx axxack,heart attack patients given smoking cessation advice/counseling,22,20,1
heart attack,heart attack patients given beta blocker at discharge,23,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,24,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,25,14,37
heart failure,heart failure patients given discharge instructions,26,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,27,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),28,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,29,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,30,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,31,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,32,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,33,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),34,25,36
pneumonia,pneumonia patients assessed and given influenza vaccination,35,26,36
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36,27,33
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,37,1,39
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,38,2,38
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),39,3,37
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,40,4,33
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),41,5,35
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,42,6,37
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,43,7,38
heart attack,heart attack patients given aspirin at arrival,44,8,33
heart attack,heart attack patients given aspirin at discharge,45,9,38
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),46,10,38
heart attack,heart attack patients given smoking cessation advice/counseling,47,11,38
heart attack,heart attack patients given beta blocker at discharge,48,12,37
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,49,13,38
heart attack,heart attack patients given pci within 90 minutes of arrival,50,14,37
heart failure,heart failure patients given discharge instructions,51,15,37
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,52,16,38
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),53,17,38
heart failure,heart failure patients given smoking cessation advice/counseling,54,18,36
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,55,21,41
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,56,22,38
pneumonia,pneumonia patients given smoking cessation advice/counseling,57,23,39
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,58,24,37
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),59,25,36
