MeasureName,Sample,original_index,unique_index,count
surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery,empty,0,0,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,1,1,4
surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,2,2,4
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,3,3,4
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,4,4,3
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,5,5,4
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,6,6,4
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,7,7,4
heart attack patients given aspirin at arrival,33 patients,8,8,1
heart attack patients given aspirin at discharge,13 patients,9,9,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),4 patients,10,10,1
heart attack patients given smoking cessation advice/counseling,4 patients,11,11,2
heart attack patients given beta blocker at discharge,14 patients,12,12,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,13,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,14,14,23
heart failure patients given discharge instructions,114 patients,15,15,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,149 patients,16,16,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),3x patients,17,17,1
heart failure patients given smoking cessation advice/counseling,41 patients,18,18,2
heart attack patients given aspirin at arrival,270 patients,19,19,1
heart attack patients given aspirin at discharge,516 patients,20,20,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71 patients,21,21,1
heart attack patients given smoking cessation advice/counseling,244 patients,22,22,1
heart attack patients given beta blocker at discharge,441 patients,23,23,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,24,13,28
heart attack patients given pci within 90 minutes of arrival,40 patients,25,24,1
heart failure patients given discharge instructions,455 patients,26,25,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,514 patients,27,26,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),165 patients,28,27,1
heart failure patients given smoking cessation advice/counseling,110 patients,29,28,1
pneumonia patients assessed and given pneumococcal vaccination,191 patients,30,29,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,125 patients,31,30,1
pneumonia patients given smoking cessation advice/counseling,107 patients,32,31,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,196 patients,33,32,1
pneumonia patients given the most appropriate initial antibiotic(s),147 patients,34,33,1
pneumonia patients assessed and given influenza vaccination,160 patients,35,34,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,79 patients,36,35,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,399 patients,37,36,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,405 patients,38,37,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),385 patients,39,38,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,136 patients,40,39,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),537 patients,41,40,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,185 patients,42,41,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,184 patients,43,42,1
heart attack patients given aspirin at arrival,20 patients,44,43,1
heart attack patients given aspirin at discharge,5 patients,45,44,3
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),2 patients,46,45,4
heart attack patients given smoking cessation advice/counseling,0 patients,47,46,14
heart attack patients given beta blocker at discharge,5 patients,48,47,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,49,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,50,14,23
heart failure patients given discharge instructions,110 patients,51,48,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,160 patients,52,49,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),69 patients,53,50,2
heart failure patients given smoking cessation advice/counseling,34 patients,54,51,1
pneumonia patients assessed and given pneumococcal vaccination,172 patients,55,52,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,120 patients,56,53,1
pneumonia patients given smoking cessation advice/counseling,98 patients,57,54,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,211 patients,58,55,1
pneumonia patients given the most appropriate initial antibiotic(s),175 patients,59,56,1
pneumonia patients assessed and given influenza vaccination,118 patients,60,57,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,14 patients,61,58,2
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,168 patients,62,59,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,167 patients,63,60,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),158 patients,64,61,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,65,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),237 patients,66,63,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,76 patients,67,64,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,76 patients,68,65,2
heart attack patients given aspirin at arrival,159 patients,69,66,1
heart attack patients given aspirin at discharge,247 patients,70,67,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),43 patients,71,68,1
heart attack patients given smoking cessation advice/counseling,103 patients,72,69,1
heart attack patients given beta blocker at discharge,227 patients,73,70,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,74,13,28
heart attack patients given pci within 90 minutes of arrival,61 patients,75,71,1
heart failure patients given discharge instructions,217 patients,76,72,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,259 patients,77,73,2
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),84 patients,78,74,2
heart failure patients given smoking cessation advice/counseling,53 patients,79,75,1
pneumonia patients assessed and given pneumococcal vaccination,174 patients,80,76,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,137 patients,81,77,1
pneumonia patients given smoking cessation advice/counseling,65 patients,82,78,2
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,200 patients,83,79,1
pneumonia patients given the most appropriate initial antibiotic(s),138 patients,84,80,1
pneumonia patients assessed and given influenza vaccination,85 patients,85,81,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,107 patients,86,82,2
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,457 patients,87,83,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,462 patients,88,84,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),439 patients,89,85,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,130 patients,90,86,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),619 paxienxs,91,87,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242 patients,92,88,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,242 patients,93,89,1
xeart attack patients given aspirin at arrival,5 patients,94,90,1
heart attack patients given aspirin at discharge,2 patients,95,91,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,96,92,6
heart attack patients given smoking cessation advice/counseling,0 patients,97,46,14
heart attack patients given beta blocker at discharge,2 patients,98,93,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,99,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,100,14,23
heart failure patients given discharge instructions,59 patients,101,94,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,76 patients,102,95,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),14 patients,103,96,1
heart failure patients given smoking cessation advice/counseling,8 patients,104,97,2
pneumonia patients assessed and given pneumococcal vaccination,85 patients,105,98,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,64 patients,106,99,1
pneumonia patients given smoking cessation advice/counseling,28 patients,107,100,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,87 patients,108,101,1
pneumonia patients given the most appropriate initial antibiotic(s),57 patients,109,102,2
