ProviderNumber,Address1,original_index,unique_index,count
10018,1720 university blvd,0,0,24
10018,1720 university blvd,1,0,24
10018,1720 university blvd,2,0,24
10018,1720 university blvd,3,0,24
10018,1720 university blvd,4,0,24
10018,1720 university blvd,5,0,24
10018,1720 university blvd,6,0,24
10018,1720 university blvd,7,0,24
10019,1300 south montgomery avenue,8,1,24
10019,1300 south montgomery avenue,9,1,24
10019,1300 south montgomery avenue,10,1,24
10019,1300 south montgomery avenue,11,1,24
10019,1300 south montgomery avenue,12,1,24
1xx19,1300 south montgomery avenue,13,2,1
10019,1300 south montgomery avenue,14,1,24
10019,1300 south montgomery avenue,15,1,24
10019,1300 south montgomery avenue,16,1,24
10019,1300 south montgomery avenue,17,1,24
10019,1300 south montgomery avenue,18,1,24
10001,1108 ross clark circle,19,3,25
10001,1108 ross clark circle,20,3,25
10001,1108 ross clark circle,21,3,25
10001,1108 ross clark circle,22,3,25
10001,1108 ross clark circle,23,3,25
10001,1108 ross clark circle,24,3,25
10001,1108 ross clark circle,25,3,25
10001,1108 ross clark circle,26,3,25
10001,1108 ross clark circle,27,3,25
10001,1108 ross clark circle,28,3,25
10001,1108 ross clark circle,29,3,25
10001,1108 ross clark circle,30,3,25
10001,1108 ross clark circle,31,3,25
10001,1108 ross clark circle,32,3,25
10001,1108 ross clark circle,33,3,25
10001,1108 ross clark circle,34,3,25
10001,1108 ross clark circle,35,3,25
10001,1108 ross clark circle,36,3,25
10001,1108 ross clark circle,37,3,25
10001,1108 ross clark circle,38,3,25
10001,1108 ross clark circle,39,3,25
10001,1108 ross clark circle,40,3,25
10001,1108 ross clark circle,41,3,25
10001,1108 ross clark circle,42,3,25
10001,1108 ross clark circle,43,3,25
10005,2505 u s highway 431 north,44,4,23
x0005,2505 u s highway 431 north,45,5,1
10005,2505 u s highway 431 north,46,4,23
10005,2505 u s highway 431 north,47,4,23
10005,2505 u s highway 431 north,48,4,23
10005,2505 u s highway 431 north,49,4,23
10005,2505 u s highway 431 north,50,4,23
10005,2505 u s highway 431 north,51,4,23
10005,2505 u s highway 431 north,52,4,23
10005,2505 u s highway 431 north,53,4,23
10005,2505 u s highway 431 north,54,4,23
10005,2505 u s highway 431 north,55,4,23
10005,2505 u s highway 431 north,56,4,23
10005,2505xuxsxhighwayx431xnorth,57,6,1
10005,2505 u s highway 431 north,58,4,23
10005,2505 u s highway 431 north,59,4,23
10005,2505 u s highway 431 north,60,4,23
10005,2505 u s highway 431 north,61,4,23
10005,2505 u s highway 431 north,62,4,23
10005,2505 u s highway 431 north,63,4,23
10005,2505 u s highway 431 north,64,4,23
10005,2505 u s highway 431 north,65,4,23
10005,2505 u s highway 431 north,66,4,23
10005,2505 u s highway 431 north,67,4,23
10005,2505 u s highway 431 north,68,4,23
10006,205 marengo street,69,7,24
10006,205 marengo street,70,7,24
10006,205 marengo street,71,7,24
10006,205 marengo street,72,7,24
10006,205 marengo street,73,7,24
10006,205 marengo street,74,7,24
10006,205 marengo street,75,7,24
10006,205 marengo street,76,7,24
10006,205 marengo street,77,7,24
10006,205 marengo street,78,7,24
10006,205 marengo street,79,7,24
10006,205 marengo street,80,7,24
1000x,205 marengo street,81,8,1
10006,205 marengo street,82,7,24
10006,205 marengo street,83,7,24
10006,205 marengo street,84,7,24
10006,205 marengo street,85,7,24
10006,205 marengo street,86,7,24
10006,205 marengo street,87,7,24
10006,205 marengo street,88,7,24
10006,205 marengo street,89,7,24
10006,205 marengo street,90,7,24
10006,205 marengo street,91,7,24
10006,205 marengo street,92,7,24
10006,205 marengo street,93,7,24
10007,702xnxmainxst,94,9,1
10007,702 n main st,95,10,23
10007,702 n main st,96,10,23
10007,702 n main st,97,10,23
10007,702 n main st,98,10,23
10007,702 n main st,99,10,23
10007,702 n main st,100,10,23
10007,702 n main st,101,10,23
10007,702 n main st,102,10,23
10007,702 n main st,103,10,23
10007,702 n main st,104,10,23
10007,702 n main st,105,10,23
10007,702 x maix st,106,11,1
10007,702 n main st,107,10,23
10007,702 n main st,108,10,23
10007,702 n main st,109,10,23
10007,702 n main st,110,10,23
10007,702 n main st,111,10,23
10007,702 n main st,112,10,23
10007,702 n main st,113,10,23
10007,702 n main st,114,10,23
10007,702 n main st,115,10,23
10007,702 n main st,116,10,23
10007,702 n main st,117,10,23
10007,702 n main st,118,10,23
10008,101 hospital circle,119,12,25
10008,101 hospital circle,120,12,25
10008,101 hospital circle,121,12,25
10008,101 hospital circle,122,12,25
10008,101 hospital circle,123,12,25
10008,101 hospital circle,124,12,25
10008,101 hospital circle,125,12,25
10008,101 hospital circle,126,12,25
10008,101 hospital circle,127,12,25
10008,101 hospital circle,128,12,25
10008,101 hospital circle,129,12,25
10008,101 hospital circle,130,12,25
10008,101 hospital circle,131,12,25
10008,101 hospital circle,132,12,25
10008,101 hospital circle,133,12,25
10008,101 hospital circle,134,12,25
10008,101 hospital circle,135,12,25
10008,101 hospital circle,136,12,25
10008,101 hospital circle,137,12,25
10008,101 hospital circle,138,12,25
10008,101 hospital circle,139,12,25
10008,101 hospital circle,140,12,25
10008,101 hospital circle,141,12,25
10008,101 hospital circle,142,12,25
10008,101 hospital circle,143,12,25
10009,201 pine street northwest,144,13,24
10009,201 pine street northwest,145,13,24
10009,201 pine street northwest,146,13,24
10009,201 pine street northwest,147,13,24
10009,201 pine street northwest,148,13,24
10009,201 pine street northwest,149,13,24
10009,201 pine street northwest,150,13,24
10009,201 pine street northwest,151,13,24
10009,201 pine street northwest,152,13,24
10009,201 pine street northwest,153,13,24
10009,201 pine street northwest,154,13,24
10009,201 pine street northwest,155,13,24
10009,201 pine street northwest,156,13,24
10009,201 pine street northwest,157,13,24
10009,201 pine street northwest,158,13,24
10009,201 pine street northwest,159,13,24
10009,201 pine street northwest,160,13,24
10009,201 pine sxreex norxhwesx,161,14,1
10009,201 pine street northwest,162,13,24
10009,201 pine street northwest,163,13,24
10009,201 pine street northwest,164,13,24
10009,201 pine street northwest,165,13,24
10009,201 pine street northwest,166,13,24
10009,201 pine street northwest,167,13,24
10009,201 pine street northwest,168,13,24
10010,8000 alabama highway 69,169,15,24
10010,8000 alabama highway 69,170,15,24
10010,8000 alabama highway 69,171,15,24
10010,8000 alabama highway 69,172,15,24
10010,8000 alabama highway 69,173,15,24
10010,8000 alabama highway 69,174,15,24
10010,8000 alabama xigxway 69,175,16,1
10010,8000 alabama highway 69,176,15,24
10010,8000 alabama highway 69,177,15,24
10010,8000 alabama highway 69,178,15,24
10010,8000 alabama highway 69,179,15,24
10010,8000 alabama highway 69,180,15,24
10010,8000 alabama highway 69,181,15,24
10010,8000 alabama highway 69,182,15,24
10010,8000 alabama highway 69,183,15,24
10010,8000 alabama highway 69,184,15,24
10010,8000 alabama highway 69,185,15,24
10010,8000 alabama highway 69,186,15,24
10010,8000 alabama highway 69,187,15,24
10010,8000 alabama highway 69,188,15,24
10010,8000 alabama highway 69,189,15,24
10010,8000 alabama highway 69,190,15,24
10010,8000 alabama highway 69,191,15,24
10010,8000 alabama highway 69,192,15,24
10010,8000 alabama highway 69,193,15,24
10011,50 medical park east drive,194,17,24
10011,50 medical park east drive,195,17,24
10011,50 medical park east drive,196,17,24
10011,50 medical park east drive,197,17,24
10011,50 medical park east drive,198,17,24
10011,50 medical park east drive,199,17,24
10011,50 medical park east drive,200,17,24
10011,50 medical park east drive,201,17,24
10011,50 medical park east drive,202,17,24
10011,50 medical park east drive,203,17,24
10011,50 medical park east drive,204,17,24
10011,50 medical park east drive,205,17,24
10011,50 medical park east drive,206,17,24
10011,50 medical park east drive,207,17,24
10011,50 medical park east drive,208,17,24
10011,50 medical park east drive,209,17,24
10011,50 medical park east drive,210,17,24
10011,50 medical park east drive,211,17,24
10011,50 medical park east drive,212,17,24
x00xx,50 medical park east drive,213,18,1
10011,50 medical park east drive,214,17,24
10011,50 medical park east drive,215,17,24
10011,50 medical park east drive,216,17,24
10011,50 medical park east drive,217,17,24
10011,50 medical park east drive,218,17,24
10012,200 med center drive,219,19,25
10012,200 med center drive,220,19,25
10012,200 med center drive,221,19,25
10012,200 med center drive,222,19,25
10012,200 med center drive,223,19,25
10012,200 med center drive,224,19,25
10012,200 med center drive,225,19,25
10012,200 med center drive,226,19,25
10012,200 med center drive,227,19,25
10012,200 med center drive,228,19,25
10012,200 med center drive,229,19,25
10012,200 med center drive,230,19,25
10012,200 med center drive,231,19,25
10012,200 med center drive,232,19,25
10012,200 med center drive,233,19,25
10012,200 med center drive,234,19,25
10012,200 med center drive,235,19,25
10012,200 med center drive,236,19,25
10012,200 med center drive,237,19,25
10012,200 med center drive,238,19,25
10012,200 med center drive,239,19,25
10012,200 med center drive,240,19,25
10012,200 med center drive,241,19,25
10012,200 med center drive,242,19,25
10012,200 med center drive,243,19,25
x00x5,33700 highway 43,244,20,1
10015,33700 highway 43,245,21,21
10015,33700 highway 43,246,21,21
10015,33700 highway 43,247,21,21
10015,33700 highway 43,248,21,21
10015,33700 highway 43,249,21,21
10015,33700 highway 43,250,21,21
10015,33700 highway 43,251,21,21
10015,33700 highway 43,252,21,21
1xx15,33700 highway 43,253,22,1
10015,33700 highway 43,254,21,21
10015,33700 highway 43,255,21,21
10015,33700 highway 43,256,21,21
10015,33700 highway 43,257,21,21
