column_1_name,column_2_name,column_1_count,column_2_count,dependency
City,HospitalName,32,19,"HospitalName, City"
Condition,MeasureCode,40,29,"Condition, MeasureCode"
Address1,HospitalName,23,24,"HospitalName, Address1"
EmergencyService,HospitalOwner,19,21,"HospitalOwner, EmergencyService"
City,State,29,21,"City, State"
City,ZipCode,31,122,"City, ZipCode"
Sample,Score,30,33,"Score, Sample"
HospitalName,ProviderNumber,22,27,"ProviderNumber, HospitalName"
Address1,Address2,23,0,"Address1, Address2"
Condition,Sample,38,38,"Condition, Sample"
CountyName,ZipCode,63,26,"ZipCode, CountyName"
HospitalOwner,HospitalType,24,31,"HospitalType, HospitalOwner"
Condition,MeasureName,33,1,"Condition, MeasureName"
State,ZipCode,40,54,"State, ZipCode"
MeasureName,Sample,36,76,"MeasureName, Sample"
Address1,ProviderNumber,28,28,"ProviderNumber, Address1"
MeasureCode,MeasureName,19,19,"MeasureCode, MeasureName"
