completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
2344,3071,5415,00:15.646,1,"ProviderNumber, HospitalName"
3719,3243,6962,00:26.547,1,"ProviderNumber, Address1"
3029,3460,6489,00:20.076,1,"HospitalName, Address1"
3188,3206,6394,00:26.828,1,"HospitalName, City"
1058,2519,3577,00:08.963,1,"Address1, Address2"
2613,2614,5227,00:28.083,1,"City, State"
2653,2977,5630,00:21.042,1,"City, ZipCode"
2154,2573,4727,00:14.292,1,"State, ZipCode"
3576,2993,6569,00:22.299,1,"ZipCode, CountyName"
2189,2045,4234,00:15.168,1,"HospitalType, HospitalOwner"
1593,1966,3559,00:10.882,1,"HospitalOwner, EmergencyService"
3526,2749,6275,00:21.679,1,"Condition, MeasureCode"
1863,4370,6233,00:11.674,1,"Condition, MeasureName"
4691,16673,21364,00:37.961,6,"Condition, Sample"
3461,4246,7707,00:20.462,1,"MeasureCode, MeasureName"
6268,3288,9556,00:38.274,1,"MeasureCode, Stateavg"
7776,33732,41508,00:59.470,8,"MeasureName, Sample"
3248,17918,21166,00:25.522,7,"Score, Sample"
