column_1,column_2,column_1_name,column_2_name,dependency
1,2,src,flight,"The source/provider column (e.g., different data collectors such as 'flightstats' vs 'ifly') may determine how the route/flight identifier is encoded or normalized. Multiple sources can produce the same route/flight identifier value, indicating a mapping dependency between provider and identifier formatting/values."
2,3,flight,sched_dep_time,"A trip/route code (e.g., origin-destination and airline) determines which departure time value appears; the departure-time text is tied to the specific route/itinerary shown by the route identifier."
2,4,flight,act_dep_time,"The value is a route/identifier column (structured like an airline+flight+origin+destination). The time columns appear to be the scheduled/actual timestamps for successive legs or checkpoints along that same route; for the same route identifier, the sequence of times follows the same pattern (e.g., “1:05 p.m.” → “1:19 p.m.” → “2:35 p.m.” → “3:13 p.m.”)."
2,5,flight,sched_arr_time,The route/segment identifier in column 2 determines the associated observed/planned departure timestamp recorded in column 5 (the timestamp format/value pair is consistent for the same route).
2,6,flight,act_arr_time,A trip/route code determines which final/other time value appears; the time text is part of the schedule pattern for the itinerary encoded in the route identifier.
3,4,sched_dep_time,act_dep_time,"Column 4 (arrival time/date) is determined by column 3 (departure time/date) for the same trip segment, implying a consistent duration/ordering relationship (arrival occurs after departure for the same itinerary)."
3,5,sched_dep_time,sched_arr_time,"The time columns form an ordered timeline (start/checkpoint times), where later columns represent events occurring after earlier ones. The relative ordering and typical fixed offsets between checkpoints are consistent within a record."
3,6,sched_dep_time,act_arr_time,"The time columns form an ordered timeline (start/checkpoint times), where later columns represent events occurring after earlier ones. The relative ordering and typical fixed offsets between checkpoints are consistent within a record."
4,5,act_dep_time,sched_arr_time,"The time columns form an ordered timeline (start/checkpoint times), where later columns represent events occurring after earlier ones. The relative ordering and typical fixed offsets between checkpoints are consistent within a record."
4,6,act_dep_time,act_arr_time,"Another milestone/estimate time field is dependent on the middle time field through the same event itinerary sequencing, implying a structured time progression between them."
5,6,sched_arr_time,act_arr_time,"The value is a route/identifier column (structured like an airline+flight+origin+destination). The time columns appear to be the scheduled/actual timestamps for successive legs or checkpoints along that same route; for the same route identifier, the sequence of times follows the same pattern (e.g., “1:05 p.m.” → “1:19 p.m.” → “2:35 p.m.” → “3:13 p.m.”)."
