completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
6266,10076,16342,00:31.417,3,"flight, sched_dep_time"
6946,10076,17022,00:34.698,3,"flight, sched_dep_time"
6828,10076,16904,00:35.735,3,"flight, sched_dep_time"
4073,16962,21035,00:24.109,5,"flight, act_dep_time"
5149,16962,22111,00:28.444,5,"flight, act_dep_time"
7202,16962,24164,00:41.040,5,"flight, act_dep_time"
6360,13439,19799,00:33.489,4,"flight, sched_arr_time"
7217,13439,20656,00:39.686,4,"flight, sched_arr_time"
7671,17217,24888,00:39.980,5,"flight, act_arr_time"
11335,13439,24774,00:59.989,4,"flight, sched_arr_time"
5768,17217,22985,00:31.213,5,"flight, act_arr_time"
15293,17565,32858,01:18.282,6,"sched_dep_time, act_dep_time"
14196,17565,31761,01:13.908,6,"sched_dep_time, act_dep_time"
5694,11384,17078,00:30.111,4,"sched_dep_time, sched_arr_time"
22493,17565,40058,01:55.686,6,"sched_dep_time, act_dep_time"
6166,11384,17550,00:32.331,4,"sched_dep_time, sched_arr_time"
5451,18603,24054,00:31.374,6,"sched_dep_time, act_arr_time"
6681,18603,25284,00:39.105,6,"sched_dep_time, act_arr_time"
14949,18603,33552,01:16.847,6,"sched_dep_time, act_arr_time"
9907,20871,30778,00:52.366,7,"act_dep_time, sched_arr_time"
4630,18706,23336,00:30.268,6,"act_dep_time, act_arr_time"
10001,20871,30872,00:54.129,7,"act_dep_time, sched_arr_time"
5837,20871,26708,00:36.887,7,"act_dep_time, sched_arr_time"
6145,20392,26537,00:38.471,7,"sched_arr_time, act_arr_time"
7108,20392,27500,00:41.029,7,"sched_arr_time, act_arr_time"
9823,20392,30215,00:53.517,7,"sched_arr_time, act_arr_time"
