article_jissue,original_index,unique_index,count
12.0,0,0,22.0
,1,1,
4.0,2,2,98.0
0.0,3,3,200.0
4.0,4,2,98.0
4.0,5,2,98.0
2.0,6,4,109.0
1.0,7,5,107.0
7.0,8,6,35.0
938.0,9,7,1.0
5.0,10,8,78.0
6.0,11,9,54.0
6.0,12,9,54.0
5.0,13,8,78.0
8.0,14,10,20.0
5.0,15,8,78.0
,16,1,
4.0,17,2,98.0
3.0,18,11,103.0
6.0,19,9,54.0
12.0,20,0,22.0
0.0,21,3,200.0
6.0,22,9,54.0
15.0,23,12,4.0
7.0,24,6,35.0
2.0,25,4,109.0
12.0,26,0,22.0
11.0,27,13,24.0
9.0,28,14,28.0
9.0,29,14,28.0
6.0,30,9,54.0
17.0,31,15,5.0
0.0,32,3,200.0
,33,1,
2.0,34,4,109.0
3.0,35,11,103.0
2.0,36,4,109.0
2.0,37,4,109.0
10.0,38,16,27.0
3.0,39,11,103.0
1.0,40,5,107.0
10.0,41,16,27.0
7.0,42,6,35.0
1.0,43,5,107.0
12.0,44,0,22.0
10.0,45,16,27.0
0.0,46,3,200.0
,47,1,
11.0,48,13,24.0
0.0,49,3,200.0
2.0,50,4,109.0
5.0,51,8,78.0
11.0,52,13,24.0
6.0,53,9,54.0
3.0,54,11,103.0
,55,1,
6.0,56,9,54.0
0.0,57,3,200.0
0.0,58,3,200.0
12.0,59,0,22.0
1.0,60,5,107.0
2.0,61,4,109.0
2.0,62,4,109.0
1.0,63,5,107.0
,64,1,
,65,1,
0.0,66,3,200.0
3.0,67,11,103.0
3.0,68,11,103.0
3.0,69,11,103.0
2.0,70,4,109.0
2.0,71,4,109.0
1.0,72,5,107.0
7.0,73,6,35.0
3.0,74,11,103.0
1.0,75,5,107.0
3.0,76,11,103.0
10.0,77,16,27.0
17.0,78,15,5.0
9.0,79,14,28.0
2.0,80,4,109.0
1.0,81,5,107.0
3.0,82,11,103.0
4.0,83,2,98.0
2.0,84,4,109.0
0.0,85,3,200.0
4.0,86,2,98.0
1.0,87,5,107.0
1.0,88,5,107.0
3.0,89,11,103.0
3.0,90,11,103.0
1.0,91,5,107.0
4.0,92,2,98.0
5.0,93,8,78.0
1.0,94,5,107.0
3.0,95,11,103.0
0.0,96,3,200.0
5.0,97,8,78.0
3.0,98,11,103.0
3.0,99,11,103.0
0.0,100,3,200.0
3.0,101,11,103.0
2.0,102,4,109.0
2.0,103,4,109.0
4.0,104,2,98.0
3.0,105,11,103.0
3.0,106,11,103.0
2.0,107,4,109.0
2.0,108,4,109.0
2.0,109,4,109.0
9.0,110,14,28.0
10.0,111,16,27.0
0.0,112,3,200.0
4.0,113,2,98.0
4.0,114,2,98.0
0.0,115,3,200.0
1.0,116,5,107.0
0.0,117,3,200.0
3.0,118,11,103.0
0.0,119,3,200.0
5.0,120,8,78.0
2.0,121,4,109.0
,122,1,
11.0,123,13,24.0
2.0,124,4,109.0
4.0,125,2,98.0
0.0,126,3,200.0
1.0,127,5,107.0
4.0,128,2,98.0
6.0,129,9,54.0
7.0,130,6,35.0
6.0,131,9,54.0
0.0,132,3,200.0
0.0,133,3,200.0
1.0,134,5,107.0
12.0,135,0,22.0
11.0,136,13,24.0
3.0,137,11,103.0
2.0,138,4,109.0
0.0,139,3,200.0
5.0,140,8,78.0
0.0,141,3,200.0
4.0,142,2,98.0
6.0,143,9,54.0
3.0,144,11,103.0
4.0,145,2,98.0
5.0,146,8,78.0
1.0,147,5,107.0
4.0,148,2,98.0
3.0,149,11,103.0
2.0,150,4,109.0
12.0,151,0,22.0
