article_title,original_index,unique_index,count
Late repair of injuries of the anal sphincter,0,0,1.0
Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,1,1,1.0
Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,2,2,1.0
"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",3,3,1.0
Diagnosis and Management of Cutaneous B-cell Lymphoma.,4,4,1.0
"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",5,5,1.0
Activation and blockade of beta adrenoceptors in common cardiac disorders,6,6,1.0
Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,7,7,1.0
Awareness of deficits and on-road driving performance,8,8,1.0
A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,9,9,1.0
Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,10,10,1.0
Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,11,11,1.0
Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,12,12,1.0
Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,13,13,1.0
Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,14,14,1.0
Latex allergy in atopic children.,15,15,1.0
"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",16,16,1.0
"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",17,17,1.0
Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,18,18,1.0
Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,19,19,1.0
"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.",20,20,1.0
A performance improvement process to tackle tachysystole,21,21,1.0
Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,22,22,1.0
Effects of chemotherapy in AIDS-associated non-Hodgkin's lymphoma on Kaposi's sarcoma herpesvirus DNA in blood.,23,23,1.0
Serum MMPs 7-9 and their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,24,24,1.0
Examining waiting placement in hospital: utilization and the lived experience.,25,25,1.0
"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.",26,26,1.0
Diminished A-cell secretion in the early phase of type I diabetes mellitus,27,27,1.0
Strong stability and host specific bacterial community in faeces of ponies.,28,28,1.0
"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""",29,29,1.0
[A case of giant Brunner's gland hyperplasia combined with adenomyomatous hyperplasia].,30,30,1.0
Efficacy and safety of the low-molecular weight heparin enoxaparin compared with unfractionated heparin across the acute coronary syndrome spectrum: a meta-analysis.,31,31,1.0
Optimal Starting Age for School Attendance: FY76 Issue Analysis,32,32,1.0
Bone density and body composition in young women with chronic fatigue syndrome.,33,33,1.0
Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,34,34,1.0
"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.",35,35,1.0
Successful treatment of lung cancer by multimodal endobronchial interventions,36,36,1.0
Fat and neurosurgery: does obesity affect outcome after intracranial surgery?,37,37,1.0
Out of harm's way: curbing violence in the ED,38,38,1.0
The incidence of contrast-induced nephropathy in trauma patients.,39,39,1.0
Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,40,40,1.0
Brain BDNF levels elevation induced by physical training is reduced after unilateral common carotid artery occlusion in rats.,41,41,1.0
Multiresistance of clinically relevant gram-positive cocci,42,42,1.0
ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,43,43,1.0
Methodology to estimate building energy consumption using EnergyPlus Benchmark Models,44,44,1.0
Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,45,45,1.0
"Norton, Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement",46,46,1.0
"Strategies for partner notification for sexually transmitted infections, including HIV.",47,47,1.0
