journal_issn,original_index,unique_index,count
0035-9157 (Print) 0035-9157,0,0,1.0
1537-6613,1,1,1.0
0301-4738,2,2,1.0
,3,3,
1558-0520,4,4,1.0
,5,3,
0007-1420,6,5,1.0
,7,3,
1385-4046,8,6,1.0
,9,3,
1361-9209,10,7,1.0
1940-5901,11,8,1.0
0001-6349 (Print) 0001-6349,12,9,1.0
1547-5271,13,10,1.0
,14,3,
0007-0963,15,11,1.0
1178-1998,16,12,1.0
1469-493X,17,13,6.0
Jan-68,18,14,1.0
0195-9131,19,15,1.0
1940-6215,20,16,1.0
,21,3,
1432-086X,22,17,1.0
1527-7755,23,18,2.0
,24,3,
1916-9736,25,19,1.0
1555-2101,26,20,2.0
,27,3,
1932-6203,28,21,7.0
15265161 (ISSN),29,22,1.0
1598-9992,30,23,1.0
0195-668X,31,24,1.0
,32,3,
0077-8923,33,25,2.0
1532-8511,34,26,2.0
1745-0128 1745-0136,35,27,1.0
0025-7931,36,28,1.0
1524-4040,37,29,1.0
0899-6210,38,30,1.0
1473-5695,39,31,1.0
0360-3016,40,32,1.0
1559-7016,41,33,1.0
0175-3851,42,34,1.0
1557-2625,43,35,1.0
0378-7788,44,36,1.0
1538-7445,45,37,1.0
,46,3,
1469-493X,47,13,6.0
1555-2101,48,20,2.0
,49,3,
,50,3,
0035-8843,51,38,1.0
1537-7385,52,39,1.0
1878-1861,53,40,1.0
,54,3,
0098-1354,55,41,1.0
0952-8180,56,42,1.0
,57,3,
0-8077-4913-3,58,43,1.0
1433-7347,59,44,2.0
1879-4076,60,45,1.0
0960-8923,61,46,1.0
-7977,62,47,1.0
0091-6749 (Print),63,48,1.0
1756-9966,64,49,1.0
1752-8526,65,50,1.0
,66,3,
1139-6121,67,51,1.0
1001-5515,68,52,1.0
1082-3069,69,53,1.0
0008-543X,70,54,2.0
1474-5151,71,55,1.0
1878-5883,72,56,1.0
0041-1337,73,57,1.0
0377-4929,74,58,1.0
,75,3,
,76,3,
0929-693X,77,59,1.0
,78,3,
0041-1132,79,60,1.0
0961-5423 (Print) 0961-5423,80,61,1.0
0962-2802,81,62,1.0
"1553-9318, 1553-9318",82,63,1.0
1699-7980,83,64,1.0
1679-4508,84,65,1.0
9788480000000,85,66,1.0
1556-9039,86,67,1.0
,87,3,
0020-7292,88,68,1.0
0210-0010,89,69,1.0
1558-2027,90,70,2.0
1776-2588,91,71,1.0
1462-2203,92,72,2.0
1540-7314 0148-8376,93,73,1.0
1088-0224,94,74,2.0
1742-5255,95,75,1.0
,96,3,
0022-0345,97,76,3.0
0193-1849,98,77,1.0
1878-3570,99,78,1.0
,100,3,
1612-4782     1612-4790,101,79,1.0
,102,3,
1556-5653,103,80,1.0
1432-0843,104,81,2.0
1057-9249,105,82,1.0
,106,3,
,107,3,
1471-4892,108,83,1.0
1469-493X,109,13,6.0
1432-0851,110,84,1.0
2044-6055,111,85,4.0
,112,3,
0143-991X,113,86,1.0
0315-162X,114,87,1.0
,115,3,
0021-8987,116,88,1.0
,117,3,
2115-7863(Electronic);2115-8789(Print),118,89,1.0
,119,3,
Mar-22,120,90,2.0
1878-3503,121,91,1.0
1471-2458,122,92,1.0
1936-2625,123,93,1.0
1048-891X (Print)     1048-891x,124,94,1.0
1578-1968,125,95,1.0
,126,3,
1840-0132 1840-2445 (electronic),127,96,1.0
1051-0443,128,97,1.0
-7518,129,98,1.0
Feb-14,130,99,2.0
Feb-37,131,100,1.0
,132,3,
,133,3,
,134,3,
1079-5006,135,101,1.0
1432-2161,136,102,1.0
,137,3,
,138,3,
,139,3,
,140,3,
,141,3,
,142,3,
0266-7681 (Print) 0266-7681,143,103,1.0
1540-8167,144,104,1.0
,145,3,
,146,3,
1381-4788,147,105,1.0
0017-5749,148,106,2.0
0363-6771,149,107,1.0
0956-7135,150,108,1.0
1873-3514,151,109,1.0
0028-2162,152,110,1.0
,153,3,
00913960 (ISSN),154,111,1.0
1424-7860,155,112,1.0
,156,3,
1092-8529,157,113,1.0
Jan-15,158,114,1.0
1790-8019,159,115,1.0
,160,3,
2249-782X,161,116,1.0
,162,3,
,163,3,
0927-3972,164,117,1.0
,165,3,
,166,3,
1751-7311,167,118,1.0
,168,3,
,169,3,
0742-3071,170,119,1.0
,171,3,
1532-4281,172,120,1.0
0393-5264,173,121,2.0
0362-2436,174,122,1.0
0077-8923,175,25,2.0
0077-8923 (Print) 0077-8923,176,123,1.0
1930-7381,177,124,1.0
0273-1223,178,125,1.0
1938-2367,179,126,1.0
0390-6078,180,127,2.0
1467-9450,181,128,1.0
,182,3,
,183,3,
0954-0121,184,129,1.0
,185,3,
,186,3,
1078-6791,187,130,1.0
2158-0979,188,131,1.0
0033-8389 DO  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,189,132,1.0
1090-1981,190,133,2.0
0090-4481,191,134,1.0
,192,3,
1460-2105,193,135,3.0
14402440,194,136,1.0
,195,3,
1434-4726,196,137,1.0
1471-2288,197,138,1.0
1528-1140,198,139,1.0
0885-3282,199,140,1.0
1129-2377,200,141,1.0
978-1-2673-2110-7,201,142,2.0
0264-0414,202,143,1.0
,203,3,
1460-2385,204,144,2.0
1096-0023,205,145,1.0
,206,3,
,207,3,
0004-0010 (Print) 0004-0010,208,146,1.0
1097-4598,209,147,1.0
1873-5347,210,148,1.0
0340-0131,211,149,1.0
0041-5782 (Print) 0041-5782,212,150,1.0
,213,3,
1879-0461,214,151,1.0
,215,3,
0033-3549,216,152,1.0
1462-8910,217,153,1.0
,218,3,
,219,3,
0895-6111,220,154,1.0
,221,3,
,222,3,
0307-0565,223,155,1.0
,224,3,
,225,3,
1945-7170,226,156,2.0
0277-3732,227,157,1.0
1555-7855,228,158,1.0
,229,3,
87567555,230,159,1.0
1532-2939,231,160,1.0
1532-1916,232,161,1.0
0002-9378 (Print) 0002-9378,233,162,1.0
1466-187X,234,163,1.0
Jan-47,235,164,1.0
1567-5688,236,165,1.0
Mar-17,237,166,1.0
2044-6055,238,85,4.0
0933-7407,239,167,1.0
1471-2474,240,168,1.0
1433-2981,241,169,1.0
2044-6055,242,85,4.0
1873-1465,243,170,2.0
1662-8063,244,171,1.0
,245,3,
1469-7661,246,172,1.0
1982-4335,247,173,1.0
1879-0038,248,174,1.0
1088-0224,249,74,2.0
,250,3,
1049-2089,251,175,2.0
1475-925X,252,176,1.0
1088-3371,253,177,1.0
0090-0028,254,178,1.0
1467-1107,255,179,3.0
1672-0733,256,180,1.0
0143-005X,257,181,2.0
1530-0293,258,182,1.0
,259,3,
0361-073X     1096-4657,260,183,1.0
,261,3,
0340-2592,262,184,1.0
0091-7435,263,185,2.0
,264,3,
1075-2730,265,186,1.0
0003-990X,266,187,1.0
,267,3,
1569-9285,268,188,1.0
,269,3,
-10475,270,189,1.0
0042-9007,271,190,1.0
0007-1250 1472-1465,272,191,1.0
0091-0562,273,192,1.0
-8906,274,193,1.0
,275,3,
,276,3,
0016-5085,277,194,1.0
1879-1379,278,195,1.0
978-1-4503-3459-4,279,196,1.0
1526-632X,280,197,1.0
0901-5027,281,198,1.0
1943-569X,282,199,1.0
,283,3,
,284,3,
,285,3,
1754-9485,286,200,1.0
,287,3,
1932-6203,288,21,7.0
0022-9032,289,201,1.0
0301-5548,290,202,1.0
2072-6643,291,203,1.0
1473-0502,292,204,1.0
1749-8546,293,205,1.0
1573-3955     1875-631X,294,206,1.0
1423-0380,295,207,3.0
,296,3,
0300-8878,297,208,1.0
,298,3,
1532-8201,299,209,1.0
,300,3,
1089-7690,301,210,1.0
0949-2658 (Print) 0949-2658,302,211,2.0
,303,3,
0048-7848 (Print) 0048-7848,304,212,1.0
0030-1876 (Print) 0030-1876,305,213,1.0
,306,3,
,307,3,
0017-5749,308,106,2.0
,309,3,
,310,3,
,311,3,
1439-6327,312,214,1.0
,313,3,
,314,3,
1527-1315,315,215,1.0
,316,3,
,317,3,
0144-6665,318,216,1.0
1467-1107,319,179,3.0
420980,320,217,1.0
0250-832X,321,218,1.0
1578-2735,322,219,1.0
1432-1262,323,220,1.0
,324,3,
,325,3,
1074-7931,326,221,1.0
,327,3,
1744-7623,328,222,1.0
,329,3,
1533-7731,330,223,1.0
1179-1969,331,224,1.0
,332,3,
,333,3,
0109-2502,334,225,1.0
1047-9511,335,226,1.0
1079-0713,336,227,1.0
NCT00227591/ClinicalTrials.gov NCT00509899/ClinicalTrials.gov NCT00599547/ClinicalTrials.gov NCT00631462/ClinicalTrials.gov NCT00934544/ClinicalTrials.gov NCT00952289/ClinicalTrials.gov NCT01420770/ClinicalTrials.gov NCT01437787/ClinicalTrials.gov,337,228,1.0
1466-4860,338,229,1.0
,339,3,
1099-1166,340,230,1.0
0065-1419 (Print)     0065-1419,341,231,1.0
,342,3,
0353-9466,343,232,1.0
,344,3,
1360-7863,345,233,1.0
0091-7435,346,185,2.0
1463-1318,347,234,1.0
1539-6304,348,235,1.0
,349,3,
0020-7640,350,236,1.0
0012-835X,351,237,1.0
,352,3,
1471-2407,353,238,1.0
1438-8359,354,239,1.0
,355,3,
1873-5126,356,240,1.0
0041-4301,357,241,1.0
,358,3,
-4928,359,242,1.0
1442-2050,360,243,1.0
0750-7658,361,244,1.0
0022-4707,362,245,1.0
1090-2422,363,246,1.0
,364,3,
2314-6141,365,247,2.0
1750-497X,366,248,1.0
0021-4892,367,249,1.0
0020-1383,368,250,1.0
9518398,369,251,1.0
0007-0912,370,252,2.0
1539-3704,371,253,2.0
0301-4215,372,254,2.0
,373,3,
,374,3,
0172-6390,375,255,1.0
,376,3,
1932-6203,377,21,7.0
0098-4108 (Print)     0098-4108 (Linking),378,256,1.0
,379,3,
1526-7598,380,257,2.0
0092-8240,381,258,1.0
0022-9776,382,259,1.0
,383,3,
1473-0480,384,260,1.0
1879-1026,385,261,1.0
,386,3,
,387,3,
,388,3,
1060-0280,389,262,1.0
1170-7690,390,263,1.0
Feb-62,391,264,1.0
0214-1221,392,265,1.0
0102-6933,393,266,1.0
,394,3,
1469-0756,395,267,1.0
