completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
2470,10076,12546,00:12.284,3,"flight, sched_dep_time"
10234,16712,26946,00:43.064,5,"flight, act_dep_time"
5137,13463,18600,00:23.996,4,"flight, sched_arr_time"
5375,17262,22637,00:25.920,5,"flight, act_arr_time"
3288,17607,20895,02:14.732,6,"sched_dep_time, act_dep_time"
1362,11428,12790,00:08.483,4,"sched_dep_time, sched_arr_time"
16491,17607,34098,03:05.322,6,"sched_dep_time, act_dep_time"
5353,18669,24022,00:23.943,6,"sched_dep_time, act_arr_time"
13842,17607,31449,02:52.923,6,"sched_dep_time, act_dep_time"
11799,18669,30468,00:47.996,6,"sched_dep_time, act_arr_time"
6816,20948,27764,00:29.775,7,"act_dep_time, sched_arr_time"
2067,18832,20899,00:13.285,6,"act_dep_time, act_arr_time"
6252,20948,27200,00:28.527,7,"act_dep_time, sched_arr_time"
12488,20948,33436,00:49.848,7,"act_dep_time, sched_arr_time"
8870,20098,28968,00:39.005,7,"sched_arr_time, act_arr_time"
11970,20098,32068,00:49.330,7,"sched_arr_time, act_arr_time"
10840,20098,30938,00:45.719,7,"sched_arr_time, act_arr_time"
