act_arr_time,original_index,unique_index,count
9:32 a.m.,0,0,8.0
,1,1,
,2,1,
9:28 a.m.,3,2,13.0
2:50 p.m.,4,3,15.0
,5,1,
9:45 a.m.,6,4,22.0
7:39 p.m.,7,5,14.0
4:09 p.m.,8,6,16.0
9:05 a.m.,9,7,13.0
1:40 p.m.,10,8,13.0
11:01 a.m.,11,9,8.0
11:56 a.m.,12,10,10.0
8:06 a.m.,13,11,9.0
3:30 p.m.,14,12,3.0
1:27 p.m.,15,13,13.0
2:10 p.m.,16,14,9.0
11:06 a.m.,17,15,21.0
7:40 a.m.,18,16,11.0
2:27 p.m.,19,17,15.0
2:46 p.m.,20,18,15.0
3:33 p.m.,21,19,8.0
10:36 a.m.,22,20,9.0
8:53 p.m.,23,21,11.0
3:16 p.m.,24,22,15.0
7:51 a.m.,25,23,15.0
9:31 a.m.,26,24,8.0
7:55 p.m.,27,25,10.0
9:53 p.m.,28,26,10.0
3:04 p.m.,29,27,21.0
12:50 p.m.,30,28,9.0
,31,1,
,32,1,
,33,1,
10:04 a.m.,34,29,13.0
11:44 a.m.,35,30,14.0
,36,1,
,37,1,
3:43 p.m.,38,31,11.0
5:43 p.m.,39,32,11.0
11:06 a.m.,40,15,21.0
1:43 p.m.,41,33,15.0
3:13 p.m.,42,34,19.0
10:16 a.m.,43,35,8.0
6:43 p.m.,44,36,14.0
4:56 p.m.,45,37,12.0
6:15 p.m.,46,38,11.0
3:14 p.m.,47,39,14.0
6:19 a.m.,48,40,15.0
11:12 a.m.,49,41,14.0
9:22 a.m.,50,42,15.0
,51,1,
9:14 a.m.,52,43,12.0
11:30 a.m.,53,44,5.0
9:29 a.m.,54,45,17.0
10:31 p.m.,55,46,4.0
5:14 p.m.,56,47,4.0
,57,1,
4:54 p.m.,58,48,5.0
11:11 a.m.,59,49,4.0
12/2/11 6:35 a.m.,60,50,4.0
7:04 a.m.,61,51,5.0
,62,1,
6:25 p.m.,63,52,10.0
,64,1,
,65,1,
1:11 p.m.,66,53,12.0
9:56 a.m.,67,54,17.0
9:29 a.m.,68,45,17.0
7:37 p.m.,69,55,7.0
1:36 p.m.,70,56,5.0
,71,1,
,72,1,
4:43 p.m.,73,57,4.0
4:08 p.m.,74,58,5.0
,75,1,
8:50 a.m.,76,59,8.0
5:00 p.m.,77,60,9.0
,78,1,
,79,1,
11:50 a.m.,80,61,16.0
3:13 p.m.,81,34,19.0
1:23 p.m.,82,62,5.0
3:09 p.m.,83,63,7.0
1:55 p.m.,84,64,5.0
5:22 p.m.,85,65,5.0
1:11 p.m.,86,53,12.0
,87,1,
,88,1,
2:39 p.m.,89,66,7.0
