act_dep_time,original_index,unique_index,count
7:16 a.m.,0,0,22.0
7:58 p.m.,1,1,5.0
,2,2,
6:54 a.m.,3,3,21.0
12:41 p.m.,4,4,8.0
,5,2,
7:25 a.m.,6,5,22.0
4:29 p.m.,7,6,13.0
12:12 p.m.,8,7,23.0
6:08 a.m.,9,8,9.0
10:55 a.m.,10,9,25.0
8:04 a.m.,11,10,32.0
10:18 a.m.,12,11,7.0
8:04 a.m.,13,10,32.0
2:04 p.m.,14,12,22.0
10:10 a.m.,15,13,12.0
12:13 p.m.,16,14,19.0
7:39 a.m.,17,15,25.0
6:57 a.m.,18,16,22.0
11:52 a.m.,19,17,22.0
11:05 a.m.,20,18,10.0
3:36 p.m.,21,19,27.0
7:21 a.m.,22,20,11.0
6:55 p.m.,23,21,8.0
12:11 p.m.,24,22,20.0
6:56 a.m.,25,23,12.0
7:30 a.m.,26,24,11.0
5:08 p.m.,27,25,8.0
8:23 p.m.,28,26,21.0
11:01 a.m.,29,27,9.0
10:54 a.m.,30,28,11.0
,31,2,
,32,2,
,33,2,
7:22 a.m.,34,29,33.0
8:51 a.m.,35,30,13.0
,36,2,
8:39 p.m.,37,31,8.0
2:44 p.m.,38,32,22.0
3:27 p.m.,39,33,12.0
7:22 a.m.,40,29,33.0
12:10 p.m.,41,34,11.0
1:19 p.m.,42,35,12.0
8:56 a.m.,43,36,13.0
3:36 p.m.,44,19,27.0
11:40 a.m.,45,37,4.0
4:12 p.m.,46,38,21.0
7:31 a.m.,47,39,29.0
6:10 a.m.,48,40,23.0
7:39 a.m.,49,15,25.0
7:16 a.m.,50,0,22.0
,51,2,
6:54 a.m.,52,3,21.0
8:48 a.m.,53,41,5.0
9:00 a.m.,54,42,5.0
7:59 p.m.,55,43,13.0
3:50 p.m.,56,44,10.0
,57,2,
11:41 a.m.,58,45,11.0
10:53 a.m.,59,46,11.0
11:29 p.m.,60,47,4.0
6:10 a.m.,61,40,23.0
,62,2,
4:10 p.m.,63,48,12.0
,64,2,
,65,2,
10:11 a.m.,66,49,13.0
8:26 a.m.,67,50,19.0
7:25 a.m.,68,5,22.0
4:29 p.m.,69,6,13.0
10:54 a.m.,70,28,11.0
,71,2,
,72,2,
3:04 p.m.,73,51,21.0
12:13 p.m.,74,14,19.0
,75,2,
6:09 a.m.,76,52,16.0
11:45 a.m.,77,53,13.0
,78,2,
,79,2,
10:19 a.m.,80,54,23.0
2:03 p.m.,81,55,4.0
8:07 a.m.,82,56,13.0
12:56 p.m.,83,57,14.0
12:14 p.m.,84,58,12.0
2:43 p.m.,85,59,12.0
12:07 p.m.,86,60,6.0
,87,2,
,88,2,
11:06 a.m.,89,61,14.0
1:43 p.m.,90,62,9.0
,91,2,
7:22 a.m.,92,29,33.0
6:47 p.m.,93,63,7.0
6:56 p.m.,94,64,17.0
12:12 p.m.,95,7,23.0
,96,2,
2:04 p.m.,97,12,22.0
,98,2,
6:57 a.m.,99,16,22.0
7:31 a.m.,100,39,29.0
5:09 p.m.,101,65,11.0
7:39 a.m.,102,15,25.0
4:44 p.m.,103,66,4.0
4:37 p.m.,104,67,11.0
8:23 p.m.,105,26,21.0
,106,2,
7:30 a.m.,107,24,11.0
11:02 a.m.,108,68,12.0
1:48 p.m.,109,69,23.0
12:42 p.m.,110,70,14.0
,111,2,
12:11 a.m.,112,71,5.0
4:28 p.m.,113,72,12.0
9:06 p.m.,114,73,4.0
8:29 p.m.,115,74,7.0
7:23 a.m.,116,75,24.0
8:52 a.m.,117,76,17.0
8:37 a.m.,118,77,11.0
1:41 p.m.,119,78,4.0
,120,2,
7:41 a.m.,121,79,14.0
,122,2,
5:38 p.m.,123,80,14.0
1:50 p.m. (+8:00),124,81,4.0
11:47 a.m.,125,82,13.0
8:40 p.m.,126,83,12.0
3:04 p.m.,127,51,21.0
,128,2,
,129,2,
2:44 p.m.,130,32,22.0
3:28 p.m.,131,84,17.0
7:22 a.m.,132,29,33.0
12:11 p.m.,133,22,20.0
8:04 a.m.,134,10,32.0
,135,2,
1:20 p.m.,136,85,12.0
8:55 a.m.,137,86,4.0
3:38 p.m.,138,87,12.0
8:04 a.m.,139,10,32.0
4:12 p.m.,140,38,21.0
11:52 a.m.,141,17,22.0
,142,2,
11:55 a.m.,143,88,13.0
10:55 a.m.,144,9,25.0
6:58 a.m.,145,89,12.0
,146,2,
6:11 a.m.,147,90,11.0
7:40 a.m.,148,91,22.0
7:32 a.m.,149,92,14.0
7:16 a.m.,150,0,22.0
7:42 p.m.,151,93,9.0
6:54 a.m.,152,3,21.0
8:49 a.m.,153,94,7.0
9:01 a.m.,154,95,14.0
