flight,act_arr_time,original_index,unique_index,count
AA-3859-IAH-ORD,9:32 a.m.,0,0,8.0
AA-1733-ORD-PHX,,1,1,
AA-1640-MIA-MCO,,2,2,
AA-518-MIA-JFK,9:28 a.m.,3,3,13.0
AA-3756-ORD-SLC,2:50 p.m.,4,4,15.0
AA-204-LAX-MCO,,5,5,
AA-3468-CVG-MIA,9:45 a.m.,6,6,15.0
AA-484-DFW-MIA,7:39 p.m.,7,7,14.0
AA-446-DFW-PHL,4:09 p.m.,8,8,16.0
AA-466-IAH-MIA,9:05 a.m.,9,9,13.0
AA-1886-BOS-MIA,1:40 p.m.,10,10,11.0
AA-2957-DFW-CVG,11:01 a.m.,11,11,8.0
AA-1664-MIA-ATL,11:56 a.m.,12,12,9.0
AA-3979-CVG-ORD,8:06 a.m.,13,13,9.0
AA-1279-DFW-PHX,3:30 p.m.,14,14,3.0
AA-616-DFW-DTW,1:27 p.m.,15,15,11.0
AA-4344-ORD-DTW,2:10 p.m.,16,16,9.0
AA-2525-DFW-MIA,11:06 a.m.,17,17,13.0
AA-404-MIA-MCO,7:40 a.m.,18,18,11.0
AA-271-MIA-LAX,2:27 p.m.,19,19,15.0
AA-2050-ORD-MIA,2:46 p.m.,20,20,15.0
AA-4330-CVG-ORD,3:33 p.m.,21,21,8.0
AA-1434-DFW-MCO,10:36 a.m.,22,22,9.0
AA-4307-ORD-DTW,8:53 p.m.,23,23,11.0
AA-3-JFK-LAX,3:16 p.m.,24,24,15.0
AA-3842-MSP-ORD,7:51 a.m.,25,25,15.0
AA-643-MIA-ORD,9:31 a.m.,26,26,8.0
AA-1007-MIA-PHX,7:55 p.m.,27,27,8.0
AA-1221-MCO-ORD,9:53 p.m.,28,28,10.0
AA-400-DFW-JFK,3:04 p.m.,29,29,14.0
AA-4198-ORD-CLE,12:50 p.m.,30,30,9.0
AA-1522-SFO-ORD,,31,31,
AA-3823-LAX-DEN,,32,32,
AA-2312-DFW-DTW,,33,33,
AA-1165-JFK-MIA,10:04 a.m.,34,34,13.0
AA-431-MIA-SFO,11:44 a.m.,35,35,14.0
AA-649-ORD-SNA,,36,36,
AA-3063-SLC-LAX,,37,37,
AA-3804-PHL-ORD,3:43 p.m.,38,38,11.0
AA-1917-JFK-MCO,5:43 p.m.,39,39,11.0
AA-2268-PHX-ORD,11:06 a.m.,40,40,8.0
AA-4277-CVG-JFK,1:43 p.m.,41,41,15.0
AA-789-ORD-DEN,3:13 p.m.,42,42,11.0
AA-415-BOS-ORD,10:16 a.m.,43,43,8.0
AA-85-JFK-SFO,6:43 p.m.,44,44,14.0
AA-1544-SAN-ORD,4:56 p.m.,45,45,12.0
AA-3786-IAH-ORD,6:15 p.m.,46,46,11.0
AA-222-LAX-BOS,3:14 p.m.,47,47,14.0
AA-3809-PHX-LAX,6:19 a.m.,48,48,15.0
AA-59-JFK-SFO,11:12 a.m.,49,49,14.0
AA-3859-IAH-ORD,9:22 a.m.,50,50,15.0
CO-1586-IAH-MCO,,51,51,
AA-518-MIA-JFK,9:14 a.m.,52,52,6.0
UA-397-JFK-SFO,11:30 a.m.,53,53,5.0
UA-3925-IAD-ORF,9:29 a.m.,54,54,4.0
AA-1733-ORD-PHX,10:31 p.m.,55,55,4.0
UA-2830-MCO-CLT,5:14 p.m.,56,56,4.0
CO-58-DEN-IAH,,57,57,
AA-1544-SAN-ORD,4:54 p.m.,58,58,5.0
UA-5487-SFO-MRY,11:11 a.m.,59,59,4.0
