flight,sched_arr_time,original_index,unique_index,count
AA-3859-IAH-ORD,9:40 a.m.,0,0,18.0
AA-1733-ORD-PHX,10:30 p.m.,1,1,19.0
AA-1640-MIA-MCO,7:25 p.m.,2,2,20.0
AA-518-MIA-JFK,9:25 a.m.,3,3,16.0
AA-3756-ORD-SLC,2:45 p.m.,4,4,19.0
AA-204-LAX-MCO,12/02/2011 6:55 a.m.,5,5,1.0
AA-3468-CVG-MIA,9:55 a.m.,6,6,18.0
AA-484-DFW-MIA,7:55 p.m.,7,7,17.0
AA-446-DFW-PHL,3:50 p.m.,8,8,18.0
AA-466-IAH-MIA,9:20 a.m.,9,9,17.0
AA-1886-BOS-MIA,2:20 p.m.,10,10,5.0
AA-2957-DFW-CVG,11:05 a.m.,11,11,17.0
AA-1664-MIA-ATL,12:10 p.m.,12,12,19.0
AA-3979-CVG-ORD,8:00 a.m.,13,13,17.0
AA-1279-DFW-PHX,2:35 p.m.,14,14,17.0
AA-616-DFW-DTW,12:35 p.m.,15,15,19.0
AA-4344-ORD-DTW,2:00 p.m.,16,16,8.0
AA-2525-DFW-MIA,11:10 a.m.,17,17,15.0
AA-404-MIA-MCO,7:45 a.m.,18,18,17.0
AA-271-MIA-LAX,2:25 p.m.,19,19,18.0
AA-2050-ORD-MIA,2:45 p.m.,20,20,20.0
AA-4330-CVG-ORD,4:00 p.m.,21,21,10.0
AA-1434-DFW-MCO,10:35 a.m.,22,22,16.0
AA-4307-ORD-DTW,9:10 p.m.,23,23,19.0
AA-3-JFK-LAX,3:15 p.m.,24,24,18.0
AA-3842-MSP-ORD,7:30 a.m.,25,25,17.0
AA-643-MIA-ORD,9:35 a.m.,26,26,16.0
AA-1007-MIA-PHX,8:05 p.m.,27,27,5.0
AA-1221-MCO-ORD,9:45 p.m.,28,28,19.0
AA-400-DFW-JFK,2:59 p.m.,29,29,14.0
AA-4198-ORD-CLE,12:55 p.m.,30,30,18.0
AA-1522-SFO-ORD,12/02/2011 5:50 a.m.,31,31,1.0
AA-3823-LAX-DEN,12/02/2011 12:15 a.m.,32,32,1.0
AA-2312-DFW-DTW,11:50 p.m.,33,33,19.0
AA-1165-JFK-MIA,10:34 a.m.,34,34,15.0
AA-431-MIA-SFO,11:50 a.m.,35,35,18.0
AA-649-ORD-SNA,3:50 p.m.,36,36,16.0
AA-3063-SLC-LAX,9:20 p.m.,37,37,7.0
AA-3804-PHL-ORD,4:05 p.m.,38,38,19.0
AA-1917-JFK-MCO,5:55 p.m.,39,39,18.0
AA-2268-PHX-ORD,11:35 a.m.,40,40,18.0
AA-4277-CVG-JFK,2:15 p.m.,41,41,19.0
AA-789-ORD-DEN,2:35 p.m.,42,42,20.0
AA-415-BOS-ORD,10:40 a.m.,43,43,7.0
AA-85-JFK-SFO,6:30 p.m.,44,44,19.0
AA-1544-SAN-ORD,5:25 p.m.,45,45,7.0
AA-3786-IAH-ORD,6:40 p.m.,46,46,20.0
AA-222-LAX-BOS,3:30 p.m.,47,47,17.0
AA-3809-PHX-LAX,6:40 a.m.,48,48,18.0
AA-59-JFK-SFO,10:45 a.m.,49,49,19.0
AA-3859-IAH-ORD,,50,50,
CO-1586-IAH-MCO,10:15 p.m.,51,51,9.0
AA-518-MIA-JFK,,52,52,
UA-397-JFK-SFO,,53,53,
UA-3925-IAD-ORF,,54,54,
AA-1733-ORD-PHX,,55,55,
UA-2830-MCO-CLT,,56,56,
CO-58-DEN-IAH,2:50 p.m.,57,57,10.0
AA-1544-SAN-ORD,,58,58,
UA-5487-SFO-MRY,,59,59,
AA-204-LAX-MCO,,60,60,
UA-414-LAX-SFO,,61,61,
CO-1614-LAX-IAH,5:35 a.m.,62,62,10.0
UA-2726-FLL-PHL,,63,63,
CO-52-IAH-LAX,9:21 a.m.,64,64,7.0
CO-1090-BOS-IAH,1:16 p.m.,65,65,12.0
AA-616-DFW-DTW,,66,66,
UA-3515-IAD-MSP,,67,67,
AA-3468-CVG-MIA,,68,68,
AA-484-DFW-MIA,,69,69,
AA-1886-BOS-MIA,,70,70,
CO-62-IAH-EWR,7:03 p.m.,71,71,12.0
CO-1561-PHX-IAH,11:35 a.m.,72,72,9.0
UA-2314-ATL-PHL,,73,73,
AA-446-DFW-PHL,,74,74,
CO-1023-IAH-DEN,1:17 p.m.,75,75,10.0
AA-466-IAH-MIA,,76,76,
UA-3050-PHX-CLT,,77,77,
CO-89-IAH-EWR,10:20 a.m.,78,78,10.0
CO-1088-CLE-IAH,10:54 a.m.,79,79,9.0
AA-1664-MIA-ATL,,80,80,
AA-1279-DFW-PHX,,81,81,
UA-854-SFO-IAH,,82,82,
UA-382-IAD-LAX,,83,83,
AA-4344-ORD-DTW,,84,84,
UA-257-JFK-SFO,,85,85,
UA-2945-PHL-CLT,,86,86,
CO-63-EWR-IAH,8:22 p.m.,87,87,8.0
CO-47-IAH-LAX,8:56 p.m.,88,88,7.0
AA-2050-ORD-MIA,,89,89,
UA-248-PHX-ORD,,90,90,
AA-4330-CVG-ORD,4:00 p.m.,91,21,10.0
AA-1434-DFW-MCO,,92,91,
AA-1640-MIA-MCO,,93,92,
AA-4307-ORD-DTW,,94,93,
AA-3-JFK-LAX,,95,94,
CO-1694-LAX-IAH,12/2/11 12:21 a.m.,96,95,4.0
UA-843-LAX-ORD,,97,96,
CO-1193-EWR-MCO,12:18 p.m.,98,97,22.0
AA-3842-MSP-ORD,,99,98,
AA-643-MIA-ORD,,100,99,
AA-1007-MIA-PHX,,101,100,
AA-2525-DFW-MIA,,102,101,
UA-2906-PHL-MCO,,103,102,
UA-938-DEN-ORD,,104,103,
AA-1221-MCO-ORD,,105,104,
CO-16-LAX-EWR,6:44 p.m.,106,105,12.0
UA-2515-DFW-CLT,,107,106,
AA-400-DFW-JFK,,108,107,
UA-664-ORD-PHL,,109,108,
AA-3756-ORD-SLC,,110,109,
UA-37-EWR-MCO,4:17 p.m.,111,110,9.0
AA-1522-SFO-ORD,,112,111,
UA-233-LAX-JFK,,113,112,
AA-3823-LAX-DEN,,114,113,
AA-2312-DFW-DTW,,115,114,
AA-1165-JFK-MIA,,116,115,
AA-431-MIA-SFO,,117,116,
